Newfoundland and Labrador,,
Employer,Address,Positions approved
Aker Solutions AIM,"215 Water Street, Box 20, Suite 511, St. John's, NL  A1C 6C9",3
Aker Solutions Asset Integrity Management,"2 Vanguard Court, St. John's, NL  A1A 5N7",3
Amaguk Inn,"PO Box 129, Hopedale, NL  A0P 1G0",1
Arup Canada,"17 Duffy Place, St. John's, NL  A1B 4M7",4
Astaldi Canada Inc.,"358 Hamilton River Road, PO Box 177, STN C, Happy Valley-Goose Bay, NL  A0P 1C0",2
Atlantic Grocery Distributors,"1 Hope Avenue, Bay Roberts, NL  A0A 1G0",7
Bistro Sofia Inc.,"320 Water Street, St. John's, NL  A1C 6E8",2
Bogarts Jewelry Ltd.,"40 Aberdeen Avenue, Suite 106, St. John's, NL  A1A 5T3",1
Braven NL Inc.,"PO Box 6207, STN C, St. John's, NL  A1C 6J9",10
Burger King,"520 Topsail Road, St. John's, NL  A1E 2C5",1
Buy N' Fly Ltd o/a IGA Supermarket,"208 Humber Avenue, PO Box 392, Labrador City, NL  A2V 1L1",1
Carol Automobile Ltd.,"55 Avalon Drive, PO Box 304, Labrador City, NL  A2V 2K6",2
CBS Foods Ltd,"152 Conception Bay Highway, Conception Bay South, NL  A1W 3A6",3
Central Health Authority,"50 Union Street, Grand Falls-Windsor, NL  A2A 2E1",1
Coastal Shipping Ltd,"PO Box 910, Lewisporte, NL  A0G 3A0",1
Conche Seafoods Ltd.,"PO Box 29, Cape Broyle, NL  A0A 1P0",1
Dovre Canada Limited,"5 Hill O'Chips, St. John's, NL  A1C 0A8",2
Eastern Regional Health Authority,"Waterfront Bridge Road, St. John's, NL  A1E 4J8",2
Exceed (XCD) Canada Limited,"49 LeMarchant Road, Unit 304, St. John's, NL  A1C 2G9",1
Exxon Mobil Canada Energy,"100 New Gower Street, Suite 1000, St. John's, NL  A1C 6K3",1
Exxonmobil Canada,"215 Water Street, St. John's, NL  A1C 6C9",1
Fibreglass Works Ltd.,"Box 135, Centreville, NL  A0G 4P0",3
Frontier Season 1,"PO Box 6207, STN C, St. John's, NL  A1C 6J9",12
House-Man Limited,"15 First Avenue, Wabush, NL  A0R 1B0",2
India Gate Restaurant,"286 Duckworth Street, St. John's, NL  A1C 1H3",1
Iron Ore Company Of Canada,"2 Avalon Drive, Labrador City, NL  A2V 2Y6",1
Jill Dreaddy Danceco,"73 Waterford Bridge Road, St. John's, NL  A1E 1C5",1
Jungle Jim's Gander,"PO Box 202, Gander, NL  A1V 1W6",2
