Terre-Neuve-et-Labrador,,
Employeur,Adresse,Postes approuvés
Aker Solutions AIM,"215, rue Water, CP 20, bureau 511, St. John's (NL)  A1C 6C9",3
Aker Solutions Asset Integrity Management,"2 Vanguard Court, St. John's (NL)  A1A 5N7",3
Amaguk Inn,"CP 129, Hopedale (NL)  A0P 1G0",1
Arup Canada,"17 Duffy Place, St. John's (NL)  A1B 4M7",4
Astaldi Canada Inc.,"358 Hamilton River Road, CP 177, SUCC C, Happy Valley-Goose Bay (NL)  A0P 1C0",2
Atlantic Grocery Distributors,"1, avenue Hope, Bay Roberts (NL)  A0A 1G0",7
Bistro Sofia Inc.,"320, rue Water, St. John's (NL)  A1C 6E8",2
Bogarts Jewelry Ltd.,"40, avenue Aberdeen, bureau 106, St. John's (NL)  A1A 5T3",1
Braven NL Inc.,"CP 6207, SUCC C, St. John's (NL)  A1C 6J9",10
Burger King,"520 Topsail Road, St. John's (NL)  A1E 2C5",1
Buy N' Fly Ltd o/a IGA Supermarket,"208, avenue Humber, CP 392, Labrador City (NL)  A2V 1L1",1
Carol Automobile Ltd.,"55 Avalon Drive, CP 304, Labrador City (NL)  A2V 2K6",2
CBS Foods Ltd,"152 Conception Bay Highway, Conception Bay South (NL)  A1W 3A6",3
Central Health Authority,"50, rue Union, Grand Falls-Windsor (NL)  A2A 2E1",1
Coastal Shipping Ltd,"CP 910, Lewisporte (NL)  A0G 3A0",1
Conche Seafoods Ltd.,"CP 29, Cape Broyle (NL)  A0A 1P0",1
Dovre Canada Limited,"5 Hill O'Chips, St. John's (NL)  A1C 0A8",2
Eastern Regional Health Authority,"Waterfront Bridge Road, St. John's (NL)  A1E 4J8",2
Exceed (XCD) Canada Limited,"49 LeMarchant Road, unité 304, St. John's (NL)  A1C 2G9",1
Exxon Mobil Canada Energy,"100, rue New Gower, St. John's (NL)  A1C 6K3",1
Exxonmobil Canada,"215, rue Water, St. John's (NL)  A1C 6C9",1
Fibreglass Works Ltd.,"CP 135, Centreville (NL)  A0G 4P0",3
Frontier Season 1,"CP 6207, SUCC C, St. John's (NL)  A1C 6J9",12
