Terre-Neuve-et-Labrador,,
Employeur,Adresse," Postes
demandés"
Central Health Authority,"50, rue Union, Grand Falls-Windsor (NL)  A2A 2E1",4
Jill Dreaddy Danceco,"73 Waterford Bridge Road, St. John's (NL)  A1E 1C5",2
Labrador-Grenfell Regional Health Authority,"C.P. 7000, Succursale C, Happy Valley-Goose Bay (NL)  A0P 1C0",1
Swiss Chalet,"75 Kelsey Drive, St. John's (NL)  A1B 0C7",1
Transocean Canada Drilling Services,"Kenmount Business Centre, Bureau 302, St. John's (NL)  A1B 3V7",1
Île-du-Prince-Édouard,,
Employeur,Adresse," Postes
demandés"
Confederation Cove Mussel Company Ltd.,"10, avenue Borden, Borden-Carleton (PE)  C0B 1K0",3
HZPC Americas Corp.,"19 Regis Duffy Drive, Charlottetown (PE)  C1E 0K5",1
Pedro's Island Eatery,"11 York Point Road, Cornwall (PE)  C0A 1H0",1
Nouvelle-Écosse,,
Employeur,Adresse," Postes
demandés"
Big Stop Restaurant Truro Heights,"1660 Highway 1, Falmouth (NS)  B0P 1L0",1
Blue Ocean Contact Centers,"7051 Bayers Road, Bureau 400, Halifax (NS)  B3L 4V2",1
Bruce Automotive Group,"394, rue Main, Middleton (NS)  B0S 1P0",1
Cape Breton District Health Authority,"1482, rue George, Sydney (NS)  B1P 1P3",1
English Canada World Org.,"1190, rue Barrington, Halifax (NS)  B3H 2R4",1
Enterprise Offshore Crewing Ltd.,"11 Morris Drive, Bureau 206, Darmouth (NS)  B3H 1M2",1
Gem Health Care,"1046, rue Barrington, 3e étage, Halifax (NS)  B3H 2R1",1
GoodLeaf Community Farms Ltd.,"173 Dr. Bernie MacDonald Drive, Bible Hill (NS)  B6L 2H5",1
Grace Note Child Care Centre,"7071 Bayers Road, Bureau 264, Halifax (NS)  B3L 2C2",1
Guysborough Antigonish Strait Health Authority,"25, rue Bay, Antigonish (NS)  B2G 2G5",1
Mountain Lea Lodge,"170, rue Church, RR 1, Bridgetown (NS)  B0S 1C0",1
Nu-Air Ventilation Systems Inc.,"16, rue Nelson, C.P. 2758, Windsor (NS)  B0N 2T0",1
Port Hawkesbury Paper LP,"C.P. 9500, Port Hawkesbury (NS)  B9A 1A1",1
Showcase Hair Design,"5982 Spring Garden Road, Halifax (NS)  B3H 1Y7",1
Nouveau-Brunswick,,
Employeur,Adresse," Postes
demandés"
Apple Blossom Florist,"170, rue Main, Fredericton (NB)  E3A 1C8",1
Coast Tire & Auto Service Ltd.,"130, rue Somerset, Bureau 150, Saint John (NB)  E2K 2X4",1
Ferme Bourgeois Farms Inc.,"1209 rue Principale, Memramcook (NB)  E4K 2S6",3
Gable Enterprises Ltd.,"1006, route 124, Norton (NB)  E5T 1X3",1
Horizon Health Network,"135, avenue Macbeath, Moncton (NB)  E1C 6Z8",1
Université de Moncton,"165, avenue Massey, Moncton (NB)  E1A 3E9",1
Volution Online Ltd.,"10, rue Buchanan, St. Stephen (NB)  E3L 1X9",1
Québec,,
Employeur,Adresse," Postes
demandés"
167811 Canada Inc.,"2300, avenue Victoria, Lachine (QC)  H8S 1Z3",1
4046200 Canada Inc. (SURPLUS),"9500, rue Meilleur, Bureau 555, Montréal (QC)  H2N 2B7",1
