Newfoundland and Labrador,,
Employer ,Address,Positions
Aker Solutions AIM,"Box 20, 215 Water Street, Suite 511, St. John's, NL  A1C 6C9",2
Ashland Farms Inc.,"21 Juniper Avenue, Cormack, NL  A8A 2M9",2
Atlantic Grocery Distributors,"P.O. Box 807, 1 Hope Avenue,, Bay Roberts, NL  A0A 1G0",4
Birdhouse Garden Market,"P.O. Box 1719, Stn B, Happy Valley - Goose Bay, NL  A0P 1E0",1
Carol Automobile Ltd.,"P.O. Box 304, Labrador City, NL  A2V 2K6",2
CBS Foods Ltd,"152 Conception Bay Highway, Conception Bay South, NL  A1W 3A6",2
Christopher's Trucking,"P.O. Box 149,  Main Street, Forteau, NL  A0K 2P0",1
Clarenville Medical Arts Clinic,"105 Manitoba Drive, Clarenville, NL  A5A 1K5",1
College of the North Atlantic,"P.O. Box 5400, Stephenville, NL  A2N 2Z6",1
Connors Farm,"29 Patrick's Path, Torbay, NL  A1E 1J7",1
Creative Discovery Children's Centre,"31 Doyles Road, Goulds, NL  A1S 1A2",1
DOF Subsea Canada Corp.,"26 Allston Street, Unit 2, Mount Pearl, NL  A1N 0A1",29
Dovre Canada Limited,"215 Water Street, Suite 606, St. John's, NL  A1C 6C9",1
Exceed (XCD) Canada Limited,"49 LeMarchant Road, Unit 304, St. John's, NL  A1C 2G9",10
Exxonmobil Canada,"100 New Gower Street, Suite 1000 Cabot Place, St. John's, NL  A1C 6K3",1
First Baptist Church,"1 Ambassador Place, Mount Pearl, NL  A1N 5C3",1
Glenview Farm,"156 Old Bay Bulls Road, St. John's, NL  A1G 1E1",2
Harvey's Restaurant (Store #2637),"45 Ridgewood Drive, Paradise, NL  A1L 1K9",2
Hibernia Management & Development Company Ltd.,"100 NEW GOWER STREET, ST. JOHN'S, NL  A1C 6K3",1
House-Man Limited,"P.O. Box 1299, 15 First Avenue, Wabush, NL  A0R 1B0",2
India Gate Restaurant,"286 Duckworth Street, St. John's, NL   A1C 1H3",1
Inuksuk Fisheries Ltd.,"85 Thorburn Road, Suite 202, St. John's, NL  A1B 3M2",1
Jill Dreaddy Danceco,"641 Conception Bay Highway, Conception Bay South, NL  A1X 7L5",2
Jungle Jims Restaurant,"97 Dogberry Hill Road EXT, Portugal Cove, NL  A1M 1E3",3
Jungle Jim's Restaurant,"38 Pearson Street, Suite 276, St. John's, NL  A1A 3R1",1
Kiewit-Kvaerner Contractors,"240 Waterford Bridge Road, St. John's, NL  A1E 1E2",30
Labrador-Grenfell Regional Health Authority,"P.O. Box 7000, Stn C, Happy Valley - Goose Bay, NL  A0P 1C0",2
Larch Grove Farm Ltd.,"405 Veterans Drive, Cormack, NL  A8A 2R7",1
Maersk Supply Service,"100 New Gower Street, Suite 803, St. John's, NL  A1C 6K3",9
Magic Wok Eatery,"402 Water Street, P.O. Box 944, St. John's, NL  A1C 1C9",1
