Province/Territoire,Employeur,Adresse,Profession sous CNP 2011,Postes demandés
Terre-Neuve-et-Labrador,Bogarts Jewelry Ltd.,"St. John's, NL A1A 5T3","5243-Ensembliers de théâtre, dessinateurs de mode, concepteurs d'expositions et autres concepteurs artistiques",1
,Carol Automobile Ltd.,"Labrador City, NL A2V 2K6","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,Normie's Enterprises Inc,"Corner Brook, NL A2H 6T2",6322-Cuisiniers,4
,Oriental Star Restaurant Inc. c/o China House Restaurant,"St. Johns, NL A1A 2H1",6322-Cuisiniers,2
,ProActive Physiotheraphy Inc,"St John's, NL A1A 5T3",3142-Physiothérapeutes,1
,Rainbow Daycare Company Ltd.,"St. John's, NL A1N 3J5",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,Redwood Construction Limited,"St. John's, NL A1B 4B7",7271-Charpentiers-menuisiers,1
,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",7532-Matelots de pont et matelots de salle des machines du transport par voies navigables,3
,Tai Sun Restaurant,"Grand Falls-Windsor, NL A2A 1X2",6321-Chefs,2
,Uncle Li Restaurant Inc,"Clarenville, NL A5A 0C3",631-Directeurs de la restauration et des services alimentaires,1
Île-du-Prince-Édouard,Direct NutriSciences Inc.,"Milton Station, PE C1E 0T8",2243-Techniciens et mécaniciens d'instruments industriels,1
,MacDougall Steel Erectors Inc.,"Borden-Carleton, PE C0B 1X0",2253-Technologues et techniciens en dessin,1
,MacPherson Builders Inc.,"Belfast R.R. #1, PE C0A 1A0",7271-Charpentiers-menuisiers,5
,Mr. Sushi Inc.,"Charlottetown, PE C1A 4K6",6322-Cuisiniers,1
,PEI Ocean View Resort Inc.,"Summerside, PE C1N 2V5",6321-Chefs,3
,Richie Foods,"Charlottetown, PE C1A 4N5",6311-Superviseurs des services alimentaires,1
,W P Griffin Inc,"Elmsdale, PE C0B 1K0",8431-Ouvriers agricoles,4
Nouvelle-Écosse,3043177 Nova Scotia Limited(Frontier Technology),"Dartmouth, NS B3B 1T4",2174-Programmeurs et développeurs en médias interactifs,1
,Alex Oh Sushi & Rolls Ltd,"Halifax, NS B3J 2K4",6322-Cuisiniers,1
,Anson Caregivers Inc.,"Dartmouth, NS B2Y 4B8",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,5
,Baan Thai Restaurant Ltd,"Halifax, NS B3J 1J7",6322-Cuisiniers,1
,Baby Panda Asian Cuisine,"Windsor, NS B0N 2T0",6322-Cuisiniers,1
,Berkeley Holdings,"Halifax, NS B3K 4W3",6322-Cuisiniers,1
,Capital Seafood International Incorporated,"Eastern Passage, NS B3G 1M5",2141-Ingénieurs d'industrie et de fabrication,1
,Coastal Restoration & Masonry Limited,"Goodwood, NS B3T 1P3",7281-Briqueteurs-maçons,1
,Craig Nichols Farms Ltd,"Aylesford, NS B0P 1C0",8431-Ouvriers agricoles,1
,den Haan Enterprises Ltd,"Lawrencetown, NS B0S 1M0",8432-Ouvriers de pépinières et de serres,4
,Digby Backpackers Inn,"Digby, NS B0V 1A0",632-Directeurs des services d'hébergement,1
