Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes Demandes
Terre-Neuve-et-Labrador,    Haut salaire,Bailey Veterinary Surgical Specialty Ltd.,"Mount Pearl, NL A1N 3J7",3114-Vétérinaires,1
,,Green Food Industries Inc.,"St. John's, NL A1B 1W3",6322-Cuisiniers,2
,,Hantang International Inc.,"St. John's, NL A1B 3A1",1225-Agents aux achats,1
,   Bas salaire,Avalon Tech & Tailor,"St John's, NL A1B 3W8","6342-Tailleurs, couturiers, fourreurs et modistes",1
,,Hillcorp Investments Inc.,"Happy Valley - Goose Bay, NL A0P 1E0",1212-Superviseurs de commis de finance et d'assurance,1
Île-du-Prince-Édouard,    Haut salaire,Edward Newtech Ltd.,"Charlottetown, PE C1A 4K7","0512-Directeurs - édition, cinéma, radiotélédiffusion et arts de la scène",1
,   Bas salaire,Zion Development,"Charlottetown, PE C1A 4T8","4412-Aides familiaux résidents, aides de maintien à domicile et personnel assimilé",1
,  Agriculture primaire,Maritime Pet Foods Inc.,"Stanchel, PE C0A 1E0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,,Matos Winery Inc.,"St. Catherines, PE C0A 1H1",8431-Ouvriers agricoles,1
,,Vanco Farms Ltd,"Mount Albion, PE C1B 0R4",8431-Ouvriers agricoles,1
,,Waynecroft Farms,"Miscouche, PE C0B 1T0",8431-Ouvriers agricoles,1
,Résident permanent seulement,101185 PEI Inc,"Kensington, PE C0B 1M0",6322-Cuisiniers,1
Nouvelle-Écosse,    Haut salaire,Antares Computers Limited,"Bridgewater, NS B4V 2S7","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,,Copernicus Studios Inc.,"Halifax, NS B3J 3P1",5241-Designers graphiques et illustrateurs,1
,,GTL Transportation Inc.,"Dartmouth, NS B3B 1X0",7511-Conducteurs de camions de transport,4
,,NS Medical Examiner Service,"Dartmouth, NS B3B 0J2",5221-Photographes,1
,,Pantel International Inc,"Dartmouth, NS B3B 1W1",2174-Programmeurs et développeurs en médias interactifs,1
