Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes Demandes
Terre-Neuve-et-Labrador,    Haut salaire,Transocean Canada Drilling Company,"St. John's, NL A1A 0P9",2145-Ingénieurs de l'extraction et du raffinage du pétrole,1
,   Bas salaire,Labrador Professional Dental Clinic,"Goose Bay, NL A0P 1C0",3411-Assistants dentaires,1
Nouvelle-Écosse,    Haut salaire,European Natural Stone & Marble Products Ltd.,"Halifax, NS B3M 4K8",9211-Surveillants dans la transformation des métaux et des minerais,1
,   Bas salaire,Les Enterprises Samson Enterprises Ltee,"Arichat, NS B0E 1A0",9531-Monteurs de bateaux et contrôleurs de montage de bateaux,1
,  Agriculture primaire,Eyking Brothers Farm Limited,"Millville, NS B1Y 2E2",8431-Ouvriers agricoles,4
Nouveau-Brunswick,    Haut salaire,Blue Cross Life,"Moncton, NB E1C 8L3","2161-Mathématiciens, statisticiens et actuaires",1
Québec,    Haut salaire,001 Traduction Canada Inc.,"Montreal, QC H2Y 2W8","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,,4318366 CANADA INC.,"Montréal, QC H3R 2H7",6322-Cuisiniers,1
,,9218-2666 Québec Inc.,"Montreal, QC H4A 1E2",6322-Cuisiniers,1
,,9223-7932 Québec Inc.,"Westmount, QC H3Z 1T3","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,9252-0618 Québec Inc.,"Montréal, QC H4P 1P5",6321-Chefs,1
,,9275-9042 Quebec Inc.,"Beauharnois, QC J6N 1V9",6321-Chefs,1
,,9330-4236 Quebec Inc.,"L'Anse-à-Beaufils, QC G0C 1G0",0631-Directeurs de la restauration et des services alimentaires,1
,,Centre de Médecine Sportive Repentigny inc.,"Repentigny, QC J6A 2T4",3125-Autres professionnels en diagnostic et en traitement de la santé,1
,,CISSS de l'Abitibi-Témiscamingue,"Rouyn-Noranda, QC J9X 2B2",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,1
,,Compagnie immobilière et commerciale C.I.M.C.O,"Montreal, QC H3B 1S6",0621-Directeurs - commerce de détail et de gros,1
,,Distribution G.V.A inc.,"Laval, QC H7M 2Y5",0113-Directeurs des achats,1
,,Equalit.ie Inc.,"Montreal, QC H2T 1X3",1222-Adjoints de direction,1
,,Ficodis Inc.,"Montréal, QC H2Y 2R6",1225-Agents aux achats,1
,,Javeq Tech Inc.,"Montréal, QC H3C 1K7",6341-Coiffeurs et barbiers,1
,,L'atelier moderne concepts bois Inc.,"Terrebonne, QC J6X 4K4",6211-Superviseurs des ventes - commerce de détail,1
,,Métal Pless inc.,"Plessisville, QC G6L 1W4","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Pizzeria Redpizza inc.,"Montreal, QC H8N 2N8",6322-Cuisiniers,1
,,PureLoad Software Canada Inc.,"Saint-Pie, QC J0H 1W0",2171-Analystes et consultants en informatique,1
,,Restaurant Prima Luna Inc.,"Montreal, QC H1E 2Z6",0631-Directeurs de la restauration et des services alimentaires,1
,,Sailor Production Inc.,"Montreal, QC H2T 2S2","5227-Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène",1
,,Société Conseil Groupe LGS,"Québec, QC G1V 4K5",2174-Programmeurs et développeurs en médias interactifs,1
,   Bas salaire,3521893 Canada Inc,"Montreal, QC H2T 1R2",7332-Réparateurs et préposés à l'entretien d'appareils,1
,,Auberge Handfield Inc.,"St-Marc-sur-Richelieu, QC J0L 2E0","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
,,Club de soccer Énergie Centre Mauricie,"Shawinigan, QC G9N 0E2",5252-Entraîneurs,1
,,Écopierre Inc.,"Montreal, QC H8T 2V3","9414-Opérateurs de machines dans le façonnage et la finition des produits en béton, en argile ou en pierre",1
,,Groupe Vétéri Médic Inc.,"Brossard, QC J4Y 1A2",3114-Vétérinaires,1
,,Immo Minko Gestion Immobilière Inc.,"Montréal, QC H4M 1E4",6733-Concierges et surintendants d'immeubles,1
,,Landr Audio Inc,"Montréal, QC H2T 1A8","1123-Professionnels en publicité, en marketing et en relations publiques",1
,,MX Windsor Inc.,"Coaticook, QC J1A 2S2",9423-Opérateurs de machines de transformation du caoutchouc et personnel assimilé,1
,  Agriculture primaire,624899 Nouveau-Brunswick ltée,"St-Lambert, QC G0S 2W0",8431-Ouvriers agricoles,2
Ontario,    Haut salaire,1904390 Ontario Inc,"Brampton, ON L6T 5K1",1221-Agents d'administration,1
,,2001733 Ontario Ltd,"London, ON N6A 1A3",6322-Cuisiniers,1
,,2224973 Ontario Inc.,"Hamilton, ON L8K 1C7",1221-Agents d'administration,1
,,2241889 Ontario Inc.,"Iron Bridge, ON P0R 1H0","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,,2256027 Ontario Inc.,"Vaughan, ON L4K 4Y5",1311-Techniciens en comptabilité et teneurs de livres,1
