Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandes
Terre-Neuve-et-Labrador,   Bas salaire,White Crescent Variety Inc.,"Happy Valley- Goose Bay, NL A0P 1E0",6421-Vendeurs - commerce de détail,1
Nouvelle-Écosse,    Haut salaire,N&N Electric Motor Specialists Ltd,"Dartmouth, NS B3A 1H8",2242-Électroniciens d'entretien (biens domestiques et commerciaux),1
,,,,7333-Électromécaniciens,1
,   Bas salaire,3226198 Nova Scotia Ltd,"Centreville, NS B0P 1J0",7312-Mécaniciens d'équipement lourd,1
Nouveau-Brunswick,    Haut salaire,Quality Transportation Services (NB) Ltd,"Jacksonville, NB E7M 3S1",7511-Conducteurs de camions de transport,5
,,UC Education Inc.,"Frederitcon, NB E3B 1B1","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
,   Bas salaire,Fenety Convenience Store Ltd.  o/a Blue Canoe,"Waasis, NB E3B 9E1",6322-Cuisiniers,3
,,Violette Motors Ltd.,"Edmundston, NB E7C 0C1","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,  Agriculture primaire,Cavendish Farms Corp,"Dieppe, NB E1A 6X4",8431-Ouvriers agricoles,6
Québec,    Haut salaire,9320-0228 Quebec Inc.,"Ancienne Lorette, QC G2E 5G3",6322-Cuisiniers,1
,,ARTITALIA GROUP INC,"Montreal, QC H1E 7J8",7311-Mécaniciens de chantier et mécaniciens industriels,1
,,CVCM Inc.,"Québec, QC G1V 0E9",6411-Représentants des ventes et des comptes - commerce de gros (non-technique),1
,,ÉCOLE DE PILOTAGE SAINT-HUBERT INC.,"Saint-Hubert, QC J3Y 8Y9","2271-Pilotes, navigateurs et instructeurs de pilotage du transport aérien",1
,,Environnement routier NRJ Inc.,"Lachine, QC H8R 1K6",7312-Mécaniciens d'équipement lourd,1
,,Makki & Mittsu Inc,"Montréal, QC H2V 4G9",6321-Chefs,1
,,Ministères Enseignemoi,"Waterloo, QC J0E 2N0",5225-Techniciens en enregistrement audio et vidéo,1
,,MMS Laser,"Victoriaville, QC G6T 2A9",7237-Soudeurs et opérateurs de machines à souder et à braser,3
,,Odotech Inc.,"MONTRÉAL, QC H3V 1A2",2281-Techniciens de réseau informatique,1
,,Optimacell Inc o/a Mobile Snap,"LAVAL, QC H7P 6E4",7246-Installateurs et réparateurs de matériel de télécommunications,2
,,Productions Double Negative Montréal Ltée,"MONTRÉAL, QC H2Y 1A6",5241-Designers graphiques et illustrateurs,1
,,PRODUITS D'ACIER HASON INC. (LES),"LANORAIE, QC J0K 1E0",7237-Soudeurs et opérateurs de machines à souder et à braser,3
