Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandés
Terre-Neuve-et-Labrador,   Bas salaire,Barry Mackinnon Restaurant Inc,"Corner Brook, NL A2H 7K5",6311-Superviseurs des services alimentaires,1
Île-du-Prince-Édouard,  Agriculture primaire,Victoria Potato Farm Inc,"Crapaud, PE C0A 1J0",8431-Ouvriers agricoles,1
Nouvelle-Écosse,    Haut salaire,3091914 Nova Scotia Limited,"Halifax, NS B3K 1H8",1221-Agents d'administration,1
,   Bas salaire,Sackville Recycling Ltd.,"Lower Sackville, NS B4C 2R8",7452-Manutentionnaires,2
Nouveau-Brunswick,    Haut salaire,Medical Offices of Dr J H Steeves,"Rothesay, NB E2H 1A8",3111-Médecins spécialistes,1
,   Bas salaire,611179 NB Inc.,"Moncton, NB E1G 2W5",6312-Gouvernants principaux,1
,,Eastern Outdoors Inc.,"Dipper Harbour, NB E5J 1Y2",6532-Guides d'activités récréatives et sportives de plein air,1
Québec,    Haut salaire,137377 Canada Inc.,"Boucherville, QC J4B 7M4",2281-Techniciens de réseau informatique,1
,,4355768 Canada Inc.,"Québec, QC G1K 8G3",2175-Concepteurs et développeurs Web,1
,,6450113 Canada Inc.,"Montréal, QC H4A 3J3",6322-Cuisiniers,1
,,9139249 Canada Inc,"Montréal, QC H2X 2H5","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,9168-1346 Québec Inc.,"Montréal, QC H3H 1J3",6322-Cuisiniers,1
,,9170-9154 Québec Inc,"Pierrefonds, QC H8Z 2B4",7301-Entrepreneurs et contremaîtres en mécanique,2
,,9197-7330 Québec inc.,"Montréal, QC H3B 1H9","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,9246-6135 Québec Inc.,"Sherbrooke, QC J1J 2E8",6322-Cuisiniers,1
,,9281-5059 Québec inc.,"Lebel-sur-Quevillon, QC J0Y 1X0","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
,,9305-6828 Québec Inc.,"Laval, QC H7V 4A7",3131-Pharmaciens,1
,,CIDMA inc.,"Montréal, QC H4C 3C5",2175-Concepteurs et développeurs Web,1
,,Cinesite Inc.,"Montréal, QC H2Y 0A3",5241-Designers graphiques et illustrateurs,1
,,Club Aquatique Rosemont-La-Petite-Patrie,"Montréal, QC H2G 1N6","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
,,CONSEILLERS EN GESTION ET INFORMATIQUE CGI INC,"Montreal, QC H3G 1T4",2174-Programmeurs et développeurs en médias interactifs,1
,,Distribution G.V.A inc.,"Laval, QC H7M 2Y5",0113-Directeurs des achats,1
,,Integra Services d'Immigration Canadiens Inc.,"Montréal, QC H2L 3X1",2147-Ingénieurs informaticiens (sauf ingénieurs et concepteurs en logiciel),1
,,JMJ Aéronautique Inc.,"Saint-Hubert, QC J3Y 8Y9","2271-Pilotes, navigateurs et instructeurs de pilotage du transport aérien",1
,,KDS Commerce Inc.,"Laval, QC H7P 3V3",2281-Techniciens de réseau informatique,1
,,Kinova Inc.,"Boisbriand, QC J7H 1M7",2132-Ingénieurs mécaniciens,1
,,Les Coiffeurs Magazines Inc.,"Westmount, QC H3Z 1P6","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
,,Modlum Lighting Canada Inc.,"Montreal, QC H4R 1X1","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,,Municipalité de L'Île - d'Anticosti,"Port-Menier, QC G0G 2Y0",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,,NEWREST MONTRÉAL CORPORATION,"Dorval, QC H9P 1K6",6552-Autres préposés aux services d'information et aux services à la clientèle,1
,,Nunetworx Communications Inc.,"Montréal, QC H2N 1L5",2173-Ingénieurs et concepteurs en logiciel,1
,,Office d'Investissement des Régimes de Pension du secteur public,"Montréal, QC H3B 5E9","0122-Directeurs de banque, du crédit et d'autres services de placements",1
,,Valbo Inc.,"Montréal, QC H1E 1P4",1241-Adjoints administratifs,1
,,Waff World Gifts Inc.,"Montreal, QC H4R 2E9",5241-Designers graphiques et illustrateurs,1
,,ZHONGDE CONSULTING LTD,"Montréal, QC H3H 2E7",0621-Directeurs - commerce de détail et de gros,1
,   Bas salaire,6173306 Canada Inc.,"Amos, QC J9T 1H3",6311-Superviseurs des services alimentaires,1
,,9310-6508 Québec inc.,"Montréal, QC H3H 2M4",6322-Cuisiniers,1
,,Artemur Inc,"Chicoutimi, QC G7H 1V5",9471-Opérateurs d'équipement d'impression sans plaque,1
,,Au pain quotidien St-Laurent inc.,"Montréal, QC H3L 2P4",6332-Boulangers-pâtissiers,1
,,Botan Construction Inc.,"Montreal, QC H4G 1V1",0712-Gestionnaires et rénovateurs en construction domiciliaire,1
,,C. OUI CONSTRUCTIONS INC.,"St-Lin-Laurentides, QC J5M 2P6","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
,,Dépanneur Vieux Montréal (2016) Inc.,"Montréal, QC H2Y 1S6",6322-Cuisiniers,1
,,Hôtel Motel Nordic,"Chibougamau, QC G8P 1R6",6525-Réceptionnistes d'hôtel,1
,,Laboratoire dentaire Joly et Lanois inc.,"Mirabel, QC J7J 0C3",3223-Technologues et techniciens dentaires et auxiliaires dans les laboratoires dentaires,1
,  Agriculture primaire,624899 Nouveau-Brunswick ltée,"St-Lambert, QC G0S 2W0",8431-Ouvriers agricoles,2
Ontario,    Haut salaire,1397764 ONTARIO INC.,"Bradford, ON L3Z 2M8",7281-Briqueteurs-maçons,1
,,1533665 Ontario Ltd.,"Concord, ON L4K 4Z7",7311-Mécaniciens de chantier et mécaniciens industriels,1
,,2097181 Ontario Ltd.,"Caledon, ON L7C 3T4","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,2224973 Ontario Inc.,"Hamilton, ON L8K 1C7",6211-Superviseurs des ventes - commerce de détail,1
,,2347191 Ontario Inc.,"North York, ON M2M 2M6",0621-Directeurs - commerce de détail et de gros,1
,,2347401 Ontario Inc./ O/A Asian Food Centre,"Brampton, ON L7A 3Y6",6322-Cuisiniers,1
,,7892985 Canada Corporation,"North York, ON M2R 3B6",7511-Conducteurs de camions de transport,1
,,8048975 Canada Inc.,"Mississauga, ON L4W 1B9","7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",2
