Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes Approuvés
Terre-Neuve-et-Labrador,    Haut salaire,Coastal Shipping Ltd,"Lewisporte, NL A0G 3A0","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,,Empowered Homes Inc.,"St. John's, NL A1B 3X5","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,NARL Refining Ltd Partnership,"Come By Chance, NL A0B 1N0","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,,,,2134-Ingénieurs chimistes,2
,,Nunavut Excavating 2007 Inc,"Mount Pearl, NL A1N 0C9",7271-Charpentiers-menuisiers,2
,,,,7312-Mécaniciens d'équipement lourd,2
,,Solace Power Incorporated,"Mount Pearl, NL A1N 5E7",2133-Ingénieurs électriciens et électroniciens,1
,,Transocean Canada Drilling Company,"St. John's, NL A1A 0P9",2145-Ingénieurs de l'extraction et du raffinage du pétrole,2
,,,,8222-Entrepreneurs et surveillants du forage et des services reliés à l'extraction de pétrole et de gaz,2
,,Vale Newfoundland and Labrador Limited,"St. John's, NL A1C 1K4",0811-Directeurs de l'exploitation des ressources naturelles et de la pêche,1
,,Western Regional Integrated Health Authority,"Corner Brook, NL A2H 6J7",3111-Médecins spécialistes,3
,,,,3112-Omnipraticiens et médecins en médecine familiale,1
,   Bas salaire,Quinlan Brothers Ltd,"St. John's, NL A1C 6C9",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,50
,,Torbay Fun Foods Ltd.,"St. John's, NL A1A 4L6",6322-Cuisiniers,1
,  Agriculture primaire,Hillside Holsteins Farm Limited,"Harcourt, NL A5A 3A2","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,,New World Dairy Inc.,"St. David's, NL A0N 1X0",8431-Ouvriers agricoles,3
,,Sunrise Dairy Limited,"Musgravetown, NL A0C 1Z0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Île-du-Prince-Édouard,    Haut salaire,Bulk Carriers (P.E.I.) Limited,"Cornwall, PE C0A 1H0",7511-Conducteurs de camions de transport,20
,,Canadian Nectar Products Inc.,"Charlottetown, PE C1A 4B1",1241-Adjoints administratifs,1
,,Health PEI,"Charlottetown, PE C1A 7N8",3111-Médecins spécialistes,1
,,PEI Ocean View Resort Inc.,"Summerside, PE C1N 2V5",6321-Chefs,3
,,Seafood Express (PEI) Limited,"Charlottetown, PE C1A 7M8",7511-Conducteurs de camions de transport,10
,   Bas salaire,King's BBQ & Chinese Food Ltd.,"Charlottetown, PE C1E 1E7",6322-Cuisiniers,1
,,Royal Star Foods Ltd.,"Tignish, PE C0B 2B0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,36
,,South Shore Seafoods Ltd.,"Bloomfield, PE C0B 1E0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,27
,  Agriculture primaire,Atlantic Grown Organics Inc,"Kensington, PE C0B 1M0",8432-Ouvriers de pépinières et de serres,7
,,Canadian Nectar Products Inc.,"Charlottetown, PE C1A 4B1","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",15
,,,,8431-Ouvriers agricoles,30
,,Eastern Exporters Ltd,"Souris, PE C0A 2B0",8431-Ouvriers agricoles,4
,,,,8611-Manoeuvres à la récolte,2
,,Eastern Farms Ltd,"Pownal, PE C1B 3S5",8431-Ouvriers agricoles,8
,,Jewell's of Prince Edward Island Inc,"York RR, PE C0A 1P0",8431-Ouvriers agricoles,9
,,Jewell's Produce,"York, PE C0A 1P0",8431-Ouvriers agricoles,4
,,,,8611-Manoeuvres à la récolte,8
,,Kouwenberg Farm Inc.,"Millview, PE C0A 2E0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,,Vanco Farms Ltd,"Mount Albion, PE C1B 0R4",8431-Ouvriers agricoles,35
,,Victoria Potato Farm Inc,"Crapaud, PE C0A 1J0",8431-Ouvriers agricoles,2
,,W P Griffin Inc,"Elmsdale, PE C0B 1K0",8431-Ouvriers agricoles,12
Nouvelle-Écosse,    Haut salaire,3243020 Nova Scotia Limited o/an Cha Baa Thai Restuarant,"Halifax, NS B3J 2J6",6322-Cuisiniers,6
,,3246757 Nova Scotia Limited,"Beechville, NS B3N 3N3",7322-Débosseleurs et réparateurs de carrosserie,1
,,3300590 Nova Scotia Limited o/a Gangnam Korean BBQ,"Halifax, NS B3J 1Y2",6322-Cuisiniers,1
,,ABK Biomedical Inc.,"Halifax, NS B3S 1B3",2121-Biologistes et personnel scientifique assimilé,1
,,Clearwater Seafoods LP,"Halifax, NS B4A 3Z7","2148-Autres ingénieurs, n.c.a.",1
,,Dalhousie University,"Halifax, NS B3H 4R2",4011-Professeurs et chargés de cours au niveau universitaire,3
,,Efes Restaurant Ltd.,"Halifax, NS B3H 1Y7",6322-Cuisiniers,1
,,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",3
,,,,0113-Directeurs des achats,1
,,,,0211-Directeurs des services de génie,2
,,,,0711-Directeurs de la construction,2
,,,,0911-Directeurs de la fabrication,6
,,,,1122-Professionnels des services-conseils en gestion aux entreprises,1
,,,,"2148-Autres ingénieurs, n.c.a.",1
,,,,4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle,1
,,Kitcoder Inc.,"Liverpool, NS B0T 1K0","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
