Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes Approuvés
Terre-Neuve-et-Labrador,    Haut salaire,Avalla Construction Inc.,"St. John's, NL A1E 6A3",7281-Briqueteurs-maçons,1
,,Central Regional Health Authority,"Grand Falls-Windsor, NL A2A 2E1",3111-Médecins spécialistes,1
,   Bas salaire,10464 Newfoundland Ltd.,"St. John's, NL A1B 4J9",6322-Cuisiniers,2
,,HSF Ocean Products Ltd.,"St. John's, NL A1B 3M9",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,6
,,Newfoundland Multi-Foods Limited,"HAPPY VALLEY - GOOSE BAY, NL A0P 1C0",6421-Vendeurs - commerce de détail,1
,,Z.P. Food Services Ltd.,"ST. JOHN'S, NL A1C 6E6",7452-Manutentionnaires,1
,  Agriculture primaire,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,,Lester's Dairy Farm,"St. John's, NL A1E 6J4","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,,New World Dairy Inc.,"St. David's, NL A0N 1X0",8431-Ouvriers agricoles,6
,,Sunrise Dairy Limited,"Musgravetown, NL A0C 1Z0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Île-du-Prince-Édouard,    Haut salaire,Bulk Carriers (P.E.I.) Limited,"Cornwall, PE C0A 1H0",7511-Conducteurs de camions de transport,25
,,Prince Freight Lines Inc.,"Wellington, PE C0B 2E0",7511-Conducteurs de camions de transport,2
,   Bas salaire,101775 PEI Inc.,"Charlottetown, PE C1A 4B1",6513-Serveurs d'aliments et de boissons,1
,,A & R Adventures Inc,"Kensington, PE C0B 1M0",6421-Vendeurs - commerce de détail,1
,,Atlantic Beef Products Inc.,"ALBANY, PE C0B 1A0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,10
,,Kildare Fisheries Ltd,"Alberton, PE C0B 1B0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,70
,,King's BBQ & Chinese Food Ltd.,"Charlottetown, PE C1E 1E7",6322-Cuisiniers,2
,  Agriculture primaire,100556 PEI Inc. / GWR Visser Farms,"VERNON BRIDGE, PE C0A 2E0",8431-Ouvriers agricoles,6
,,7035233 Canada Inc o/a IP co,"Mount Stewart, PE C0A 1T0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,,Atlantic Grown Organics Inc,"Kensington, PE C0B 1M0",8432-Ouvriers de pépinières et de serres,10
,,Claude McCardle/The Berry Patch,"Tracadie Cross, PE C0A 1T0",8431-Ouvriers agricoles,1
,,Eastern Exporters Ltd,"Souris, PE C0A 2B0",8431-Ouvriers agricoles,3
,,Eastern Farms Ltd,"Pownal, PE C1B 3S5",8431-Ouvriers agricoles,3
,,Jewell's of Prince Edward Island Inc,"York RR, PE C0A 1P0",8431-Ouvriers agricoles,5
,,Mol Farms Inc,"KINKORA, PE C0B 1N0",8431-Ouvriers agricoles,4
,,Pure Pork Farms Ltd.,"MOUNT ALLISON, PE C1B 4B3",8431-Ouvriers agricoles,1
,,Smith Farms Ltd.,"KINKORA, PE C0B 1N0",8431-Ouvriers agricoles,2
,,Vanco Farms Ltd,"Mount Albion, PE C1B 0R4",8431-Ouvriers agricoles,4
,,Victoria Potato Farm Inc,"Crapaud, PE C0A 1J0",8431-Ouvriers agricoles,2
,,Winterbay Farm Inc.,"Millcove, PE C0A 1T0",8431-Ouvriers agricoles,2
Nouvelle-Écosse,    Haut salaire,3283551 Nova Scotia Limited,"DARTMOUTH, NS B2Y 3R5",0631-Directeurs de la restauration et des services alimentaires,1
,,Connors Transfer Limited,"Stellarton, NS B0K 1S0",7511-Conducteurs de camions de transport,10
,,Daytona Freignt Systems Inc,"DARTMOUTH, NS B3B 1L7",7511-Conducteurs de camions de transport,10
,,GTL Transportation Inc.,"Dartmouth, NS B3B 1X0",7511-Conducteurs de camions de transport,4
,,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",2
,,,,0113-Directeurs des achats,1
,,,,0211-Directeurs des services de génie,2
,,,,0711-Directeurs de la construction,2
,,,,0911-Directeurs de la fabrication,2
,,,,"2148-Autres ingénieurs, n.c.a.",6
,,,,7235-Assembleurs et ajusteurs de plaques et de charpentes métalliques,1
,,Middleton Physiotherapy and Osteopathy Inc,"Middleton, NS B0S 1P0",3232-Praticiens des médecines douces,1
,,Nova Scotia Health Authority,"North Sydney, NS B2A 3M4",4151-Psychologues,1
,,Orienteering Association of Nova Scotia,"Halifax, NS B3J 1G6",2254-Technologues et techniciens en arpentage,1
,,Royal Nova Scotia Yacht Squadron,"Halifax, NS B3P 1C7",5252-Entraîneurs,2
