Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandes
Terre-Neuve-et-Labrador,   Bas salaire,I.C. Pizza House Inc.,"St. John's, NL A1E 0C2",6322-Cuisiniers,1
,,K&S Holdings,"LABRADOR CITY, NL A2V  2W",6513-Serveurs d'aliments et de boissons,2
Île-du-Prince-Édouard,    Haut salaire,Aspin Kemp & Associates Inc.,"MONTAGUE, PE C0A 1R0",2173-Ingénieurs et concepteurs en logiciel,1
,   Bas salaire,8208115 Canada Ltd. o/a Terre Rouge Bistro Marche,"CHARLOTTETOWN, PE C1A 4A7",6322-Cuisiniers,1
,,FR Enterprises Inc.,"Charlottetown, PE C1A 8Y3",6322-Cuisiniers,2
,,Perry's Construction Ltd,"Tingish, PE C0B 2B0",7611-Aides de soutien des métiers et manoeuvres en construction,8
,,Rashed Enterprise Ltd. o/a Sam's Family Restaurant,"CHARLOTTETOWN, PE C1A 5P3",6322-Cuisiniers,2
,  Agriculture primaire,Birkentree Holsteins Inc.,"Hunter River, PE C0A 1N0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Nouvelle-Écosse,    Haut salaire,Clearwater Ocean Prawn Venture,"Lunenburg, NS B0J 2C0",7242-Électriciens industriels,1
,,Dash Hudson Inc.,"HALIFAX, NS B3J 2A2",2174-Programmeurs et développeurs en médias interactifs,2
,   Bas salaire,3149411 Nova Scotia Limited,"HALIFAX, NS B2W 0J7",6322-Cuisiniers,2
,,Nio Wholesale Ltd o/a Bento Sushi,"Bedford, NS B4A 0G6",6322-Cuisiniers,1
,,Sambro Fisheries Limited,"Sambro, NS B3V 1L5",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,1
Nouveau-Brunswick,    Haut salaire,Leader Transport Ltd.,"Dieppe, NB E1A 9A9",7511-Conducteurs de camions de transport,2
,   Bas salaire,Atlantic Potato Distributors,"Perth-Andover, NB E7H 2J2","9465-Échantillonneurs et trieurs dans la transformation des aliments, des boissons et des produits connexes",7
,,M.R. Enterprises Ltd. o/a Checker Cab & Deliveries,"RICHIBUCTO RD, NB E3A 6X7","7513-Chauffeurs de taxi, chauffeurs de limousine et chauffeurs",1
,,Pizza Delight,"Campbellton, NB E3N 3A9",6322-Cuisiniers,1
,,Shediac Lobster Shop Ltd.,"Shediac, NB E4P 2A6",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,3
Québec,    Haut salaire,9223-7932 Québec Inc.,"MONTRÉAL, QC H3Z 1T3",0111-Directeurs financiers,1
,,,,0631-Directeurs de la restauration et des services alimentaires,1
,,,,2173-Ingénieurs et concepteurs en logiciel,1
,,EFFENTI INC.,"Québec, QC G1W 2K7",2174-Programmeurs et développeurs en médias interactifs,1
,,Europ Auto Jet Inc.,"Montréal, QC H3A 1T1",1222-Adjoints de direction,1
,,PREMIER CHOIX SOLUTIONS DE PAIEMENT S.E.N.C.,"MONTREAL, QC H3C 3R7",2174-Programmeurs et développeurs en médias interactifs,1
,,Restaurant Marché Central Bogaty Inc.,"Montréal, QC H4N 1K2",6321-Chefs,1
,,Restaurant Wa Hing Liho S.E.N.C.,"Gatineau, QC J8R 4R3",6322-Cuisiniers,2
,,TC MÉDIA LIVRES INC,"MONTRÉAL, QC H3B 0G1",1112-Analystes financiers et analystes en placements,1
,,Usine Amsellem inc.,"Laval, QC H7E 1A3",1241-Adjoints administratifs,1
,   Bas salaire,9309-0348 Quebec Inc,"MONTREAL-NORD, QC H1G 3E7",6332-Boulangers-pâtissiers,1
,,9340-7849 Québec Inc,"MONTRÉAL, QC H2J 1H9",6322-Cuisiniers,1
,,9360-9030 Québec inc.,"LÉVIS, QC G6W 8A8",6322-Cuisiniers,1
,,Barbès café resto Inc.,"MONTRÉAL, QC H2A 1Y9",6322-Cuisiniers,1
,,Club de judo Seikidokan inc.,"TROIS-RIVIÈRES, QC G8T 9B2","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
,,ORGANISME DE BASSIN VERSANT MATAPÉDIA-RESTIGOUCHE,"CAUSAPSCAL, QC G0J 1J0",2221-Technologues et techniciens en biologie,1
,,Pièces D'auto H Moran 2001 Inc.,"ILE-BLIZARD, QC H9C 2H8",7445-Autres réparateurs et préposés à l'entretien,1
,,RESTAURANT RODIZIO À BRASIL INC.,"MONTREAL, QC H2Y 1C2",6322-Cuisiniers,2
,,Transport Armstars Inc.,"LAVAL, QC H7T 2E2",1253-Techniciens à la gestion des documents,1
,,Verbom Inc.,"VALCOURT, QC J0E 2L0",7231-Machinistes et vérificateurs d'usinage et d'outillage,5
,,Villeneuve Construx,"Montréal, QC H1L 5J4",7295-Poseurs de revêtements d'intérieur,1
,  Agriculture primaire,6745369 Canada Inc,"Stoke, QC J0B 3G0",8431-Ouvriers agricoles,3
Ontario,    Haut salaire,10029483 Canada Inc. o/a Econolodge Inn & Suites,"PEMBROKE, ON K8A 7R9",7332-Réparateurs et préposés à l'entretien d'appareils,1
,,10738883 Canada Inc o/a Aionios Spa,"MISSISSAUGA, ON L5V 1M4","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,,10795798 Canada Incorporated o/a Global Tools Rental,"MISSISSAUGA, ON L4T 1G3",0621-Directeurs - commerce de détail et de gros,1
,,1149030 B.C. Ltd,"TORONTO, ON M4H 1L6",0631-Directeurs de la restauration et des services alimentaires,1
,,1208746 Ontario Limited o/a Poly Blow Moulding Inc.,"BRAMPTON, ON L6T 5T3",2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
,,1407407 Ontario Ltd o/a Astra Healthcare,"Brampton, ON L6S 0C9",6221-Spécialistes des ventes techniques - commerce de gros,1
,,1435901 Ontario Inc. o/a Luxi Design,"Scarborough, ON M1S 5C1",1221-Agents d'administration,1
,,1441998 Ontario Inc. o/a JB Rand Express,"FREELTON, ON L0R 1K0",1431-Commis à la comptabilité et personnel assimilé,1
,,1727362 Ontario Inc.,"ETOBICOKE, ON M8W 2W6","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,,1785634 Ontario Inc,"THORNHILL, ON L3T 1L3",7511-Conducteurs de camions de transport,1
,,1839493 Ontairo Ltd. o/a Oropomodoro Pizza Ltd.,"WINDSOR, ON N9E 4N3","9213-Surveillants dans la transformation des aliments, des boissons et des produits connexes",1
,,1945516 Ontario Inc.,"LA SALLE, ON N9H 1W6",6321-Chefs,1
,,1957341 Ontario Inc.,"RICHMOND HILL, ON L4E 0W9","1123-Professionnels en publicité, en marketing et en relations publiques",1
,,2065618 Ontario Inc.,"NEWMARKET, ON L3Y 8L3",7271-Charpentiers-menuisiers,1
,,2256876 Ontario Inc. o/a Industrial Automation Repair,"Mississauga, ON L4W 1R1",1241-Adjoints administratifs,1
,,2277376 Ontario Inc.  o/a Adore,"Concord, ON L4K 1G6",6211-Superviseurs des ventes - commerce de détail,1
,,2358749 Ontario Inc.,"BRAMPTON, ON L6W 0B3","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,,2479254 Ontario Inc.  o/a Beckers,"BURLINGTON, ON L4M 0Y9",6421-Vendeurs - commerce de détail,1
,,2486610 Ontario Inc. o/a IRYNA GALEVSKA - BROKER,"TORONTO, ON M3H 5S4",1221-Agents d'administration,1
,,7091354 Canada Inc,"BRAMPTON, ON L6P 1G2",7241-Électriciens (sauf électriciens industriels et de réseaux électriques),1
,,9084380 Canada Inc.,"ETOBICOKE, ON M9V 1E4",7305-Surveillants du transport routier et du transport en commun,1
,,Ahmedsamy Pharmacy Ltd.,"HAMILTON, ON L8L 3B4",3112-Omnipraticiens et médecins en médecine familiale,1
,,Alpha Trans Ltd.,"BRAMPTON, ON L6T 1B5",7511-Conducteurs de camions de transport,2
,,Animals Inc.,"TORONTO, ON M6J 2R9","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Annata Dynamics Canada Inc.,"BURLINGTON, ON L7L 6A3",2174-Programmeurs et développeurs en médias interactifs,1
,,Apolloni Construction Corp.,"Woodbridge, ON L4H 0Z1",7233-Tôliers,1
,,Ary Foods Limited o/a Amaya Express,"Toronto, ON M5J 2L9",6322-Cuisiniers,1
,,At Dinner Inc.,"Ajax, ON L1S 6L8",6322-Cuisiniers,2
,,Atlantic Contracting Group Inc.,"NORTH YORK, ON M6L 2C3",7281-Briqueteurs-maçons,3
,,Bello Horizonte Construction Ltd,"North York, ON M6L 1H7",7271-Charpentiers-menuisiers,1
,,BK Tax & Accounting Services Inc.,"BRAMPTON, ON L6T 1A2",1311-Techniciens en comptabilité et teneurs de livres,2
,,C & C Fibers Inc.,"RICHMOND HILL, ON L4B 0A9","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,C.A.I. Construction and Other Service Inc.,"BRADFORD, ON L3Z 0C1",7271-Charpentiers-menuisiers,1
,,Canadian Nuclear Laboratories Ltd.,"Chalk River, ON K0J 1J0",2115-Autres professionnels des sciences physiques,1
,,,,"2148-Autres ingénieurs, n.c.a.",1
,,Canamex Logistics Services Inc,"Mississauga, ON L4T 1G8",1221-Agents d'administration,1
,,Caresupportlife Inc,"BRAMPTON, ON L6P 4G9",3233-Infirmiers auxiliaires,1
,,Cash For Carz Ltd,"SUNDERLAND, ON L0C 1H0","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,,Charger Global Logistics Canada Limited,"Mississauga, ON L5J 1K7","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Clyde River Consultants Inc.,"BRAMPTON, ON L6X 0M6",2174-Programmeurs et développeurs en médias interactifs,1
,,Dieroll Metal Products Inc.,"MISSISSAUGA, ON L4X 1M4",2253-Technologues et techniciens en dessin,1
,,Direct Motor Company Ltd,"OTTAWA, ON K1T 1M8",0112-Directeurs des ressources humaines,1
,,E.D.S. Contracting & Repair Services Ltd.,"Concord, ON L4K 1A5",7282-Finisseurs de béton,1
,,Elliott Matsuura Canada Inc,"OAKVILLE, ON L6H 5X2",6221-Spécialistes des ventes techniques - commerce de gros,1
,,Engineering & Acoustics Canada Inc.,"BRAMPTON, ON L6R 0W3",2132-Ingénieurs mécaniciens,1
,,F. Borges & Sons Construction Ltd.,"Woodbridge, ON L4H 2B1",7282-Finisseurs de béton,3
,,Falcon Motor Xpress Ltd,"CALEDON, ON L7C 2X3",7511-Conducteurs de camions de transport,3
,,Faymond's Furniture Inc.,"Markham, ON L3R 1B9",5242-Designers d'intérieur et décorateurs d'intérieur,1
,,FMP Li Investment Inc,"Markham, ON L6E 0L4",6322-Cuisiniers,1
,,ForYou - Quality Immigration Solutions Inc.,"MARKHAM, ON L3S 0B6","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,,Friday Harbour Resort Holdings Inc.,"INNISFIL, ON L9S 1A1",6321-Chefs,1
,,Gg Forestry and Landscaping Consulting,"OTTAWA, ON K2E 6V5",2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture,1
,,Global Professional Services Partners Inc.,"GUELPH, ON N1K 1B3",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,,Global Stainless Steel Inc.,"MISSISSAUGA, ON L4Y 3Y3",0601-Directeurs des ventes corporatives,1
,,Harbourfront Corporation (1990) o/a Power Plant Contemporary Art Gallery,"Toronto, ON M5J 2G8",5112-Restaurateurs et conservateurs,1
,,HM Kitchener Inc.,"KITCHENER, ON N2B 3S4",3232-Praticiens des médecines douces,1
,,HNM Logistics Inc.,"MISSISSAUGA, ON L4W 1G7",1221-Agents d'administration,1
,,HNR Properties Limited,"TORONTO, ON M5B 1M4",1122-Professionnels des services-conseils en gestion aux entreprises,1
,,Indian Enterprises Corporation,"TORONTO, ON M4C 3N9","6344-Bijoutiers, réparateurs de bijoux, horlogers-rhabilleurs et personnel assimilé",1
,,International Brestfeeding Centre,"Toronto, ON M2K 1E2",3124-Praticiens reliés en soins de santé primaire,1
,,International Paper Converters Limited,"CONCORD, ON L4K 2G1",9215-Surveillants dans la transformation des produits forestiers,1
,,Jasmine Consulting International Corporation,"Ottawa, ON K1J 8V3",1121-Professionnels en ressources humaines,1
,,Jenco Canada Inc,"Brampton, ON L6T 3W4",1221-Agents d'administration,1
,,JLC International Canada Inc.,"SCARBOROUGH, ON M1H 2X1","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Juddco Mechanical Inc.,"TORONTO, ON M1P 4S2",7251-Plombiers,1
,,Lake of the Woods Brewing Company Inc.,"Kenora, ON P9N 1G5","9461-Opérateurs de machines et de procédés industriels dans la transformation des aliments, des boissons et des produits connexes",1
,,Leblon Carpentry Inc.,"KING CITY, ON L7B 1E4",7271-Charpentiers-menuisiers,1
,,Lee Design & Build Inc.,"Toronto, ON M2N 5W9",1241-Adjoints administratifs,1
,,Leon's Furniture Ltd.,"Toronto, ON M9N 3X3",0213-Gestionnaires des systèmes informatiques,1
,,LJP Corporation o/a Hockley Valley Resort,"Mono, ON L9W 5X7",0631-Directeurs de la restauration et des services alimentaires,1
,,Madan Chartered Accountant Professional Corporation,"Mississauga, ON L4Z 3L3",1111-Vérificateurs et comptables,3
,,Mahi Ontario Inc.  o/a Subway,"Cornwall, ON K6J 5T9",0631-Directeurs de la restauration et des services alimentaires,1
,,Malwa Welding & Fabrication Ltd.,"BRAMPTON, ON L6T 4J4",1311-Techniciens en comptabilité et teneurs de livres,1
,,Mampster Inc,"SCARBOROUGH, ON M1V 5E4",6322-Cuisiniers,1
,,Marin Contracting Limited,"Concord, ON L4K 4X2",7271-Charpentiers-menuisiers,7
,,MATCOM INDUSTRIAL INSTALLATIONS INC.,"VAUGHAN, ON L4K 5V6",7316-Ajusteurs de machines,1
,,Mealfix Ontario Inc.,"VAUGHAN, ON L4K 4K7",1311-Techniciens en comptabilité et teneurs de livres,1
,,Milford Auto Collision LTD.,"TORONTO, ON M6M 2W1",7322-Débosseleurs et réparateurs de carrosserie,1
,,MJR Contractors Ltd.,"Mississauga, ON L4Z 1C2",7271-Charpentiers-menuisiers,2
,,Mother Earth Natural Health,"OTTAWA, ON K2A 0G6",4217-Autre personnel relié à la religion,1
,,Mr. Johnfoods Co. Ltd,"ETOBICOKE, ON M9W 1M3",6211-Superviseurs des ventes - commerce de détail,1
,,nanopay Corporation,"TORONTO, ON M6K 3G9",2173-Ingénieurs et concepteurs en logiciel,1
,,Old Castle Canada Building Products Inc.,"Concord, ON L4K 5W1",2252-Designers industriels,1
,,OLS-NA Inc.,"AYR, ON N0B 1E0",7301-Entrepreneurs et contremaîtres en mécanique,1
,,Om Shri India Albion Inc. o/a Om India Food Centre,"Etobicoke, ON M9V 4J9",0621-Directeurs - commerce de détail et de gros,1
,,One and Only Design Inc,"CONCORD, ON L4K 0H8",7271-Charpentiers-menuisiers,1
,,Paper Trading Corporation,"WHITBY, ON L1P 0A4",1225-Agents aux achats,1
,,Partners Film Inc.,"Toronto, ON M5A 3C4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Perfecto Mobile Canada Inc.,"MISSISSAUGA, ON L5S 1L4",2171-Analystes et consultants en informatique,1
,,Poliakov Consulting Inc.,"TORONTO, ON M3J 2T2","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
,,Precision Truck Lines Inc.,"Woodbridge, ON L4H 0S6",7511-Conducteurs de camions de transport,20
,,Prica Group Construction Management Inc.,"WATERLOO, ON N2L 6R7",7312-Mécaniciens d'équipement lourd,1
,,Proteck Roofing & Sheet Metal Inc.,"Toronto, ON M9V 4K6",7291-Couvreurs et poseurs de bardeaux,2
,,Quality and Company Inc.,"Concord, ON L4K 5N8",1225-Agents aux achats,1
,,Quality Marble & Stone Inc.,"MAPLE, ON L6A 1L5",7611-Aides de soutien des métiers et manoeuvres en construction,1
,,R Gill Corporation,"CALEDON EAST, ON L7C 2T4",7511-Conducteurs de camions de transport,2
,,Radke Films Ltd,"TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Roca Networks Inc.,"MARKHAM, ON L3R 9X7",2147-Ingénieurs informaticiens (sauf ingénieurs et concepteurs en logiciel),1
,,Royal Canadian Steel Inc.,"Brampton, ON L6T 4A3",0111-Directeurs financiers,1
,,Royal Windsor Plus Musical Group Inc.,"MARKHAM, ON L3R 0V1",0421-Administrateurs - enseignement postsecondaire et formation professionnelle,1
,,RUPERT ACRES LIMITED,"AWERES TOWNSHIP, ON P6A 5K7",1224-Agents de gestion immobilière,1
,,Safety First Consulting Professional Corp,"CONCORD, ON L4K 4S2","4165-Recherchistes, experts-conseils et agents de programmes en politiques de la santé",1
,,Saturn Tool & Die (Windsor) Inc.,"TORONTO, ON M5H 4E3",7232-Outilleurs-ajusteurs,4
,,Sequoia Content Limited,"Toronto, ON M5B 2E7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
,,Sew Industries o/a 2379976 Ontario Inc.,"SCARBOROUGH, ON M1S 4E4",1221-Agents d'administration,1
,,Shoes by Chavez Inc.,"MISSISSAUGA, ON L4Y 2H3","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,,Siali Corporation,"CHAPLEAU, ON P0M 1K0","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,,SimFront Simulation Systems Corporation,"OTTAWA, ON K2K 2E1",2171-Analystes et consultants en informatique,1
,,Skin and Bones Film Company Inc.,"Toronto, ON M6J 1H6","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,SMC Project Realization and Management Inc.,"Stouffville, ON L4A 0N2",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,,"Soft Citizen, Inc","TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",3
,,Steam Films Inc.,"TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Suneeva Ltd.,"Toronto, ON M5B 2E7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Tech Toronto Inc.,"Toronto, ON M6G 3K3",1226-Planificateurs de congrès et d'événements,1
,,The Spice Room Inc.,"CONCORD, ON L4K 2N1",6321-Chefs,2
