Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandes
Terre-Neuve-et-Labrador,   Bas salaire,Drover Restaurants Incorporated o/a Wing'n It Bay Roberts,"BAY ROBERTS, NL A0A 1G0",6322-Cuisiniers,1
Île-du-Prince-Édouard,    Haut salaire,Belgo Transport Inc.,"GREEN BAY, PE C0A 1Y0",7511-Conducteurs de camions de transport,1
,   Bas salaire,NK Quality Restoration o/a Paul Davis PEI,"SUMMERSIDE, PE C1N 4J1",7611-Aides de soutien des métiers et manoeuvres en construction,1
,,Ta Ke Sushi,"Charlottetown, PE C1A 4B1",6322-Cuisiniers,1
Nouvelle-Écosse,    Haut salaire,Kingsport Studios Limited  o/a Kingsport Osteopathic Clinic,"KINGSPORT, NS B0P 1H0",3232-Praticiens des médecines douces,1
,,Nova Scotia Health Authority,"Halifax, NS B3H 2Y9",4151-Psychologues,1
,,Precision Concrete Services Ltd,"Bedford, NS B4B 1H1",7282-Finisseurs de béton,2
,,Shining Tree Creative Inc.,"Halifax, NS B3J 2V1","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,,Stelia Aéronautique Amérique du Nord Inc,"Lunenburg, NS B0J 2C0",0111-Directeurs financiers,1
,,Topaz Transport Inc.,"BEAVER BANK, NS B4E 3J4",7511-Conducteurs de camions de transport,3
,,WestFor Management Inc.,"BRIDGEWATER, NS B4V 2W9",8211-Surveillants de l'exploitation forestière,1
,   Bas salaire,7109938 Canada Ltd. o/a First Choice Haircutters,"Fall River, NS B2T 1H7",6341-Coiffeurs et barbiers,1
,,Bagel Montreal Style Incorporated,"DARTMOUTH, NS B3A 4K9",6332-Boulangers-pâtissiers,2
,,Buta Ramen Inc.,"HALIFAX, NS B3J 1B3",6322-Cuisiniers,2
,,DB Embroidery Solutions Inc,"Dartmouth, NS B2W 3T9","9442-Tisseurs, tricoteurs et autres opérateurs de machines textiles",2
,,Jubilee Road Children's Centre,"HALIFAX, NS B3H 2E8",4214-Éducateurs et aides-éducateurs de la petite enfance,2
,,Samli Rojsawangthip o/a KajohnThai Restaurant,"HALIFAX, NS B3K 2A4",6322-Cuisiniers,5
,  Agriculture primaire,Basinview Farms Ltd,"CANNING, NS B0P 1H0",8611-Manoeuvres à la récolte,2
Nouveau-Brunswick,    Haut salaire,682364 NB Inc. o/a Lee's Mini Mart,"FREDERICTON, NB E3B 8P4",0621-Directeurs - commerce de détail et de gros,1
,,"J.D. Irving, Limited","SAINT JOHN, NB E2L 4M3",8241-Conducteurs de machines d'abattage d'arbres,6
,,UTRADE Inc.,"MONCTON, NB E1C 5W1","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
