Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandes
Île-du-Prince-Édouard,   Bas salaire,D&D Brothers Investment Group Limited,"CHARLOTTETOWN, PE C1A 4N4",6322-Cuisiniers,1
Île-du-Prince-Édouard,   Bas salaire,Kildare Fisheries Ltd,"Alberton, PE C0B 1B0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,70
Nouvelle-Écosse,     Haut salaire,Long Point Ventures Limited,"Aylesford, NS B0P 1C0",7511-Conducteurs de camions de transport,6
Nouvelle-Écosse,   Bas salaire,Buta Ramen Inc.,"HALIFAX, NS B3J 1B3",6322-Cuisiniers,2
Nouvelle-Écosse,   Bas salaire,Doraku Foods Limited o/a Ko-Doraku,"Halifax, NS B3J 4A2",6322-Cuisiniers,1
Nouveau-Brunswick,     Haut salaire,Dowon Brothers Inc. o/a Izakaya,"Moncton, NB E1C 5C4",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,682364 NB Inc. o/a Lee's Mini Mart,"FREDERICTON, NB E3B 8P4",6611-Caissiers,2
Nouveau-Brunswick,   Bas salaire,684422 NB Inc.,"Moncton, NB E1C 2S3","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
Nouveau-Brunswick,   Bas salaire,Balaji Hospitality Management Inc.  o/a Knights Inn & Suites,"MIRAMICHI, NB E1V 1L2",6315-Surveillants des services de nettoyage,1
Nouveau-Brunswick,   Bas salaire,M.C.Luger Transport,"Scoudouc, NB E4P 1A4",7511-Conducteurs de camions de transport,3
Nouveau-Brunswick,   Bas salaire,Mariarch Trading Inc.O/A Forest Hills Variety and Pizza Shack,"SAINT JOHN, NB E2J 2G5",6211-Superviseurs des ventes - commerce de détail,1
Québec,     Haut salaire,9220-8404 Québec Inc,"QUÉBEC, QC G1K 7R1",6322-Cuisiniers,2
Québec,     Haut salaire,9223-7932 Québec Inc.,"MONTRÉAL, QC H3Z 1T3",0111-Directeurs financiers,2
Québec,     Haut salaire,9223-7932 Québec Inc.,"MONTRÉAL, QC H3Z 1T3",1112-Analystes financiers et analystes en placements,1
Québec,     Haut salaire,9223-7932 Québec Inc.,"MONTRÉAL, QC H3Z 1T3",1311-Techniciens en comptabilité et teneurs de livres,1
Québec,     Haut salaire,9264-5571 Québec Inc.,"VERDUN, QC H3Y 1H6",0631-Directeurs de la restauration et des services alimentaires,1
Québec,     Haut salaire,9285-4629 Québec Inc,"VAL-D'OR, QC J9P 0B9","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
Québec,     Haut salaire,9293132 Canada Inc.,"MONTREAL, QC H4A 1G8",6321-Chefs,1
Québec,     Haut salaire,Agence Humasanté inc.,"QUÉBEC, QC G1K 1X2",3233-Infirmiers auxiliaires,3
Québec,     Haut salaire,Assystem Canada Inc.,"St-Laurent, QC H4N 2L3","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Québec,     Haut salaire,Bétonnière la Tuque Inc.,"LA TUQUE, QC G9X 4T1",7521-Conducteurs d'équipement lourd (sauf les grues),1
Québec,     Haut salaire,Bisco inc.,"WARWICK, QC J0A 1M0",7237-Soudeurs et opérateurs de machines à souder et à braser,2
Québec,     Haut salaire,Brossard Informatique INC.,"BROSSARD, QC J4W 2V7",1241-Adjoints administratifs,1
Québec,     Haut salaire,Excel Santé INC.,"BLAINVILLE, QC J7C 2M9",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,1
Québec,     Haut salaire,Gestion Colimat Inc,"MONTREAL, QC H4C 2K1",0631-Directeurs de la restauration et des services alimentaires,1
Québec,     Haut salaire,Gestion Colimat Inc,"MONTREAL, QC H4C 2K1",6321-Chefs,1
