Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes Approuvés
Terre-Neuve-et-Labrador,     Haut salaire,Central Regional Health Authority,"GRAND FALLS - WINDSOR, NL A2A 2E1",3111-Médecins spécialistes,1
Terre-Neuve-et-Labrador,     Haut salaire,Eastern Regional Health Authority,"Mount Pearl, NL A1N 3J5",3111-Médecins spécialistes,1
Terre-Neuve-et-Labrador,     Haut salaire,Jin Dragon Restaurant Holding Inc.,"St John's, NL A1E 1S2",0631-Directeurs de la restauration et des services alimentaires,1
Terre-Neuve-et-Labrador,   Bas salaire,BENNETT STREET DAYCARE LTD,"Paradise, NL A1L 2Y1",4214-Éducateurs et aides-éducateurs de la petite enfance,1
Terre-Neuve-et-Labrador,   Bas salaire,Drovers Restaurants Inc,"Bay Roberts, NL A0A 1G0",6322-Cuisiniers,1
Terre-Neuve-et-Labrador,   Bas salaire,GOULDS FOODS INC,"PORTUGAL COVE ST PHILIPS, NL A1M 1E3",6322-Cuisiniers,1
Terre-Neuve-et-Labrador,   Bas salaire,Nails Time Inc.,"St. John's, NL A1E 5T2","6562-Esthéticiens, électrolystes et personnel assimilé",1
Terre-Neuve-et-Labrador,   Bas salaire,Nor-Lab Ltd,"Happy Valley-Goose Bay, NL A0P 1E0",6322-Cuisiniers,3
Terre-Neuve-et-Labrador,  Agriculture primaire,New World Dairy Inc,"St. David's, NL A0N 1X0",8431-Ouvriers agricoles,5
Île-du-Prince-Édouard,     Haut salaire,Canadian Nectar Products Inc.,"Charlottetown, PE C1A 4B1","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Île-du-Prince-Édouard,     Haut salaire,MacKenzie Builder Services Ltd.,"Eglington, PE C0A 2B0",7271-Charpentiers-menuisiers,1
Île-du-Prince-Édouard,     Haut salaire,Massage Addict Charlottetown,"Charlottetown, PE C1A 0C9",3236-Massothérapeutes,2
Île-du-Prince-Édouard,   Bas salaire,101775 PEI Inc.,"Charlottetown, PE C1A 4B1",6513-Serveurs d'aliments et de boissons,1
Île-du-Prince-Édouard,  Agriculture primaire,Eastern Exporters Limited,"Souris, PE C0A 2B0",8431-Ouvriers agricoles,6
Île-du-Prince-Édouard,  Agriculture primaire,Eastern Farms Ltd.,"Pownal, PE C1B 3S5",8431-Ouvriers agricoles,8
Île-du-Prince-Édouard,  Agriculture primaire,Jewell's of Prince Edward Island Inc.,"York RR, PE C0A 1P0",8431-Ouvriers agricoles,6
Île-du-Prince-Édouard,  Agriculture primaire,Kouwenberg Farm Inc.,"Millview, PE C0A 2E0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Île-du-Prince-Édouard,  Agriculture primaire,Vanco Farms Ltd.,"Mount Albion, PE C1B 0R4",8431-Ouvriers agricoles,45
Île-du-Prince-Édouard,  Agriculture primaire,VanderZwaag Farms Inc.,"Vernon River, PE C0A 2E0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Île-du-Prince-Édouard,  Agriculture primaire,Verander Farms Inc.,"North Wiltshire, PE C0A 1Y0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Île-du-Prince-Édouard,  Agriculture primaire,Victoria Potato Farm Inc.,"Crapaud, PE C0A 1J0",8431-Ouvriers agricoles,4
Nouvelle-Écosse,     Haut salaire,10094277 Canada Inc o/a Infitious Technologies,"HALIFAX, NS B3J 2T9",2283-Évaluateurs de systèmes informatiques,2
Nouvelle-Écosse,     Haut salaire,3323768 Nova Scotia Limited o/a Efendi Turkish and Mediterranean Grill,"HALIFAX, NS B3J 2K4","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Nouvelle-Écosse,     Haut salaire,Cha Baa Thai Restaurant Ltd.,"Halifax, NS B3J 2J6",6322-Cuisiniers,12
Nouvelle-Écosse,     Haut salaire,Comfort Orthotics & Podiatry Clinic Inc.,"Bedford, NS B4A 3Y4",3125-Autres professionnels en diagnostic et en traitement de la santé,1
Nouvelle-Écosse,     Haut salaire,Dalhousie University,"Halifax, NS B3H 4H2",4011-Professeurs et chargés de cours au niveau universitaire,2
Nouvelle-Écosse,     Haut salaire,Eljan Flooring Ltd,"bedford, NS B4B 1Y2",7204-Entrepreneurs et contremaîtres en charpenterie,1
Nouvelle-Écosse,     Haut salaire,Gabadi Services Canada Inc.,"Halifax, NS B3J 3N2",7271-Charpentiers-menuisiers,4
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0211-Directeurs des services de génie,1
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0711-Directeurs de la construction,3
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0911-Directeurs de la fabrication,1
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7","2148-Autres ingénieurs, n.c.a.",2
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",7235-Assembleurs et ajusteurs de plaques et de charpentes métalliques,3
Nouvelle-Écosse,     Haut salaire,Kingsport Studios Limited  o/a Kingsport Osteopathic Clinic,"KINGSPORT, NS B0P 1H0",3232-Praticiens des médecines douces,1
Nouvelle-Écosse,     Haut salaire,Long Point Ventures Limited,"Aylesford, NS B0P 1C0",7511-Conducteurs de camions de transport,6
Nouvelle-Écosse,     Haut salaire,Nova Scotia Health Authority,"Truro, NS B2N  5A",3111-Médecins spécialistes,1
Nouvelle-Écosse,   Bas salaire,3027059 Nova Scotia Limited,"Elmsdale, NS B2S 1K1",6311-Superviseurs des services alimentaires,1
Nouvelle-Écosse,   Bas salaire,3056092 Nova Scotia Ltd.  o/a Pizzatown - Tantallon,"Upper Tantallon, NS B3Z 4R3",6322-Cuisiniers,2
Nouvelle-Écosse,   Bas salaire,3099794 Nova Scotia Ltd.,"Enfield, NS B2T 1C8",6322-Cuisiniers,3
Nouvelle-Écosse,   Bas salaire,3274876 Nova Scotia Ltd,"Clarks Harbour, NS B0W 1P0",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,16
Nouvelle-Écosse,   Bas salaire,3323091 Nova Scotia Ltd.,"Truro, NS B2N 4Z6",6316-Surveillants des autres services,1
Nouvelle-Écosse,   Bas salaire,3323091 Nova Scotia Ltd.,"Truro, NS B2N 4Z6",6322-Cuisiniers,2
Nouvelle-Écosse,   Bas salaire,7109938 Canada Ltd.,"Bridgewater, NS B4V 3T2",6341-Coiffeurs et barbiers,1
Nouvelle-Écosse,   Bas salaire,Arirang Restaurant Incorporated,"Halifax, NS B3M 3W8",6311-Superviseurs des services alimentaires,1
Nouvelle-Écosse,   Bas salaire,ARISU TABLE BBQ AND SUSHI BAR LIMITED,"HALIFAX, NS B3J 1X3",6322-Cuisiniers,1
Nouvelle-Écosse,   Bas salaire,BIONE Restaurant INC.,"Halifax, NS B3L 1A5",6322-Cuisiniers,1
