Province/Territoire,Volet du programme,Employeur,Adresse,Profession,Postes demandes
Île-du-Prince-Édouard,     Haut salaire,9321624 CANADA INC.,"CHARLOTTETOWN, C1A6X8",3231-Opticiens d'ordonnances,1
Île-du-Prince-Édouard,   Bas salaire,By the Water Shellfish (2012) Inc,"Borden Carleton, C0B1X0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,14
Nouvelle-Écosse,     Haut salaire,Alzeer Holdings Inc.,"Halifax, B3J3K3",6322-Cuisiniers,1
Nouvelle-Écosse,   Bas salaire,Double Dragon Restaurant Inc.,"New Minas, B4N3E2",6322-Cuisiniers,2
Nouvelle-Écosse,   Bas salaire,Petit de Grat Packers Ltd.,"Petit de Grat, B0E2L0",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,30
Nouvelle-Écosse,   Bas salaire,sushi jet japanese cuisine inc,"HALIFAX, B3N2S8",6322-Cuisiniers,1
Nouvelle-Écosse,  Agriculture primaire,Perfect Berries Ltd.,"Berwick, B0P1E0",8431-Ouvriers agricoles,5
Nouvelle-Écosse,  Agriculture primaire,Perfect Berries Ltd.,"Berwick, B0P1E1",(blank),1
Nouveau-Brunswick,     Haut salaire,Admiral Glass Ltd.,"Fredericton, E3B6G9",2234-Estimateurs en construction,1
Nouveau-Brunswick,     Haut salaire,COUNTY LINE TRUCKING LTD,"WILMOT, E7P2V4",7511-Conducteurs de camions de transport,5
Nouveau-Brunswick,   Bas salaire,618479 NB INc,"Bouctouche, E4S3J7",6311-Superviseurs des services alimentaires,1
Nouveau-Brunswick,   Bas salaire,669950 N.B LTD,"Fredericton, E3B1B9",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,670486 NB INC.,"Saint John, E2L2H7",6311-Superviseurs des services alimentaires,1
Nouveau-Brunswick,   Bas salaire,670486 NB INC.,"Saint John, E2L2H7",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,A.R. Rietzel Landscaping Ltd.,"Lutes Mountain, E1G2T5",2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture,1
Nouveau-Brunswick,   Bas salaire,A.R. Rietzel Landscaping Ltd.,"Lutes Mountain, E1G2T5",7282-Finisseurs de béton,3
Nouveau-Brunswick,   Bas salaire,DJ Marine Supplies Ltee,"Pointe-Sapin, E9A1T4","9535-Assembleurs, finisseurs et contrôleurs de produits en plastique",3
Nouveau-Brunswick,   Bas salaire,Park's Thai Pho Inc.,"Saint John, E2L5C7",6311-Superviseurs des services alimentaires,1
Nouveau-Brunswick,   Bas salaire,Park's Thai Pho Inc.,"Saint John, E2L5C7",6322-Cuisiniers,1
Nouveau-Brunswick,  Agriculture primaire,ETRT Production Inc.,"DSL Drummond, E3Y2V2",8431-Ouvriers agricoles,2
Québec,     Haut salaire,1357-0726 Québec Inc.,"QUÉBEC, G1K8L4",8421-Opérateurs de scies à chaîne et d'engins de débardage,1
Québec,     Haut salaire,3220257 Canada Inc.,"CHATEAUGUAY, J6J4Z2",7322-Débosseleurs et réparateurs de carrosserie,1
Québec,     Haut salaire,9146-4511 Québec inc.,"L'ÎLE-BIZARD, H9C1W9",7611-Aides de soutien des métiers et manoeuvres en construction,1
Québec,     Haut salaire,9148-6886 Québec Inc.,"SAINT-JÉRÔME, J7Y5K8",8241-Conducteurs de machines d'abattage d'arbres,1
Québec,     Haut salaire,9221-1598 Québec inc,"Québec, G3J1Y7",8241-Conducteurs de machines d'abattage d'arbres,1
Québec,     Haut salaire,ACTIVE MEDIA INC.,"Montreal, H1X2W3",8421-Opérateurs de scies à chaîne et d'engins de débardage,1
Québec,     Haut salaire,Au coin berbère (2013) inc.,"Repentigny, J5Y3P1",6321-Chefs,1
Québec,     Haut salaire,Auberge Saint-Antoine Inc,"Québec, G1K4C9",8421-Opérateurs de scies à chaîne et d'engins de débardage,1
Québec,     Haut salaire,Beenox Inc,"QUÉBEC, G1K3H3",8241-Conducteurs de machines d'abattage d'arbres,1
Québec,     Haut salaire,Busbud Inc,"MONTRÉAL, H2T1X6",2175-Concepteurs et développeurs Web,1
Québec,     Haut salaire,Famic Technologies Inc.,"Saint-Laurent, H4M2X5",8421-Opérateurs de scies à chaîne et d'engins de débardage,1
Québec,     Haut salaire,LA CIE MORUZZI LTÉE,"St-Léonard, H1P3L7",1241-Adjoints administratifs,1
Québec,     Haut salaire,Le Colbert,"Montréal, H4N1P8",2234-Estimateurs en construction,1
Québec,     Haut salaire,Les Résidences Chanoine-Scott inc.,"Québec, G1V3N5",6322-Cuisiniers,1
Québec,     Haut salaire,Micro Logic Sainte-Foy Ltée,"QUÉBEC, G1V1V8","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Québec,     Haut salaire,Restaurant Donnacona (2014) inc.,"QUÉBEC, G2B1B3",8241-Conducteurs de machines d'abattage d'arbres,1
Québec,     Haut salaire,Solution Balance X-Cell inc.,"Drummondville, J2C6Z5",8421-Opérateurs de scies à chaîne et d'engins de débardage,1
Québec,     Haut salaire,Solutions Beeye Inc.,"Montréal, H2L3K8",8241-Conducteurs de machines d'abattage d'arbres,2
Québec,     Haut salaire,Transport Bourret Inc.,"Drummondville, J2B8G8",8421-Opérateurs de scies à chaîne et d'engins de débardage,1
Québec,     Haut salaire,TRANSPORT KAHKASHAN INC.,"Laval, H7R1L2",7511-Conducteurs de camions de transport,6
Québec,     Haut salaire,Université du Québec à Montréal,"MONTRÉAL, H3C3P8",0011-Membres des corps législatifs,1
Québec,   Bas salaire,8528853 Canada inc.,"Saint-Joseph-de-Beauce, G0S2V0",7611-Aides de soutien des métiers et manoeuvres en construction,6
Québec,   Bas salaire,9301-8828 Quebec inc.,"Montreal, H3N1B1","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
Québec,   Bas salaire,9317-4043 Qc Inc,"LONGUEUIL, J4K2T4",(blank),2
Québec,   Bas salaire,9338-4428 Québec Inc.,"MONTRÉAL, H1S1N5",6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,2
