Province/Territoire,Volet du programme,Employeur,Adresse,Profession ,Postes Approuvés
Terre-Neuve-et-Labrador,     Haut salaire,Anglo Eastern Ship Managment Ltd,"Wanchai, A0A0A0",2273-Officiers de pont du transport par voies navigables,4
Terre-Neuve-et-Labrador,     Haut salaire,Anglo Eastern Ship Managment Ltd,"Wanchai, A0A0A0",2274-Officiers mécaniciens du transport par voies navigables,4
Terre-Neuve-et-Labrador,     Haut salaire,Anglo Eastern Ship Managment Ltd,"Wanchai, A0A0A0",7242-Électriciens industriels,1
Terre-Neuve-et-Labrador,     Haut salaire,Anglo Eastern Ship Managment Ltd,"Wanchai, A0A0A0",7532-Matelots de pont et matelots de salle des machines du transport par voies navigables,9
Terre-Neuve-et-Labrador,     Haut salaire,Anglo Eastern Ship Managment Ltd,"Wanchai, A0A0A0",7612-Autres manoeuvres et aides de soutien de métiers,1
Terre-Neuve-et-Labrador,     Haut salaire,Bailey Veterinary Surgical Specialty Ltd.,"St. John's, A1N3J7",3114-Vétérinaires,1
Terre-Neuve-et-Labrador,     Haut salaire,Eastern Regional Health Authority,"Mount Pearl, A1N3J5",3111-Médecins spécialistes,1
Terre-Neuve-et-Labrador,     Haut salaire,WesTower Communications Ltd.,"St. John's, A1A5G6",7245-Monteurs de lignes et de câbles de télécommunications,2
Terre-Neuve-et-Labrador,   Bas salaire,60178 Newfoundland & Labrador Corp,"Placentia, A0B2Y0",6332-Boulangers-pâtissiers,2
Terre-Neuve-et-Labrador,   Bas salaire,Anglo Eastern Ship Managment Ltd,"Wanchai, A0A0A0",6322-Cuisiniers,1
Terre-Neuve-et-Labrador,   Bas salaire,Anglo Eastern Ship Managment Ltd,"Wanchai, A0A0A0","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
Terre-Neuve-et-Labrador,   Bas salaire,Barry Group Inc.,"Corner Brook, A2H3E9",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,50
Terre-Neuve-et-Labrador,   Bas salaire,kids kampus inc,"Portugal cove, A1M2R2",4214-Éducateurs et aides-éducateurs de la petite enfance,1
Terre-Neuve-et-Labrador,   Bas salaire,Louis Gee's Pizza & Donairs,"CORNER BROOK, A2H2Z3",6311-Superviseurs des services alimentaires,1
Terre-Neuve-et-Labrador,   Bas salaire,Louis Gee's Pizza & Donairs,"CORNER BROOK, A2H2Z3",6322-Cuisiniers,1
Terre-Neuve-et-Labrador,   Bas salaire,Nails Time Inc.,"St. John's, A1E5T2","6562-Esthéticiens, électrolystes et personnel assimilé",1
Terre-Neuve-et-Labrador,   Bas salaire,Quinlan Brothers Ltd.,"Bay de Verde, A0A1E0",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,60
Terre-Neuve-et-Labrador,   Bas salaire,S&J Investments Inc.,"Holyrood, A0A2R0",6322-Cuisiniers,1
Terre-Neuve-et-Labrador,  Agriculture primaire,J & C Sod Farm Ltd.,"Bay Bulls, A0A1C0",8431-Ouvriers agricoles,1
Terre-Neuve-et-Labrador,  Agriculture primaire,New World Dairy Inc,"St. David's, A0N1X0",8431-Ouvriers agricoles,5
Terre-Neuve-et-Labrador,  Agriculture primaire,Rideout's Dairy Inc.,"Cormack, A8A2R6","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Terre-Neuve-et-Labrador,  Agriculture primaire,Viking Fur Inc.,"Cavendish, A0B1J0",8431-Ouvriers agricoles,4
Île-du-Prince-Édouard,     Haut salaire,Bulk Carriers (P.E.I.) Limited,"Clyde River, C0A1H3",7511-Conducteurs de camions de transport,12
Île-du-Prince-Édouard,     Haut salaire,J & C Ventures Inc,"Stratford, C1B2E9",7511-Conducteurs de camions de transport,6
Île-du-Prince-Édouard,   Bas salaire,10713490 Canada Limited,"Charlottetown, C1A2X2",6321-Chefs,1
Île-du-Prince-Édouard,   Bas salaire,Belle River Enterprises Ltd,"Belle River, C0A1B0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,10
Île-du-Prince-Édouard,   Bas salaire,Captain Cooke's Seafood Inc,"Borden Carleton, C0B1X0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,21
Île-du-Prince-Édouard,   Bas salaire,DD Pizza and Donair Hub,"Charlottetown, C1A4N4",6322-Cuisiniers,1
Île-du-Prince-Édouard,   Bas salaire,KILDARE FISHERIES LTD,"Alberton, C0B1B0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,75
Île-du-Prince-Édouard,   Bas salaire,North Lake Fisheries (2013) Inc.,"Elmira, C0A1K0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,60
Île-du-Prince-Édouard,   Bas salaire,Perrys Construction Ltd.,"Tignish, C0B2B0",7611-Aides de soutien des métiers et manoeuvres en construction,12
Île-du-Prince-Édouard,   Bas salaire,Royal Star Foods Ltd,"Tignish, C0B2B0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,81
Île-du-Prince-Édouard,   Bas salaire,Seafood 2000 Ltd.,"Georgetown, C0A1L0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,102
Île-du-Prince-Édouard,   Bas salaire,South Shore Seafoods Ltd.,"Bloomfield, C0B1E0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,137
Île-du-Prince-Édouard,   Bas salaire,Summerside Seafood Supreme Inc.,"Summerside, C1N2V5",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,25
Île-du-Prince-Édouard,  Agriculture primaire,101497 PEI Inc,"Cherry Valley, C0A2E0",8431-Ouvriers agricoles,12
Île-du-Prince-Édouard,  Agriculture primaire,Birch Farms Ltd.,"Summerside, C1N4J9",8431-Ouvriers agricoles,2
Île-du-Prince-Édouard,  Agriculture primaire,Canadian Nature Roots LTD.,"Stratford, C1B2Y5","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",5
Île-du-Prince-Édouard,  Agriculture primaire,Canadian Nature Roots LTD.,"Stratford, C1B2Y5",8431-Ouvriers agricoles,12
Île-du-Prince-Édouard,  Agriculture primaire,Eastern Exporters Limited,"Souris, C0A2B0",8431-Ouvriers agricoles,2
Île-du-Prince-Édouard,  Agriculture primaire,Eastern Farms Ltd.,"Pownal, C1B3S5",8431-Ouvriers agricoles,1
Île-du-Prince-Édouard,  Agriculture primaire,Extondale Farms Ltd.,"Oyster Bed, C1E0L9","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Île-du-Prince-Édouard,  Agriculture primaire,Havenlee Farms Inc.,"Summerside, C1N4J9",8431-Ouvriers agricoles,2
Île-du-Prince-Édouard,  Agriculture primaire,HILLTOP PRODUCE LTD,"Kinkora, C0B1N0",8431-Ouvriers agricoles,4
Île-du-Prince-Édouard,  Agriculture primaire,King's County Pork Inc.,"Montague, C0A1R0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Île-du-Prince-Édouard,  Agriculture primaire,King's County Pork Inc.,"Montague, C0A1R0",8431-Ouvriers agricoles,3
Île-du-Prince-Édouard,  Agriculture primaire,MGS Holdings & Distribution Ltd.,"Alberton, C0B1B0",8431-Ouvriers agricoles,65
Île-du-Prince-Édouard,  Agriculture primaire,Mol Farms Inc.,"Kinkora, C0B1N0",8431-Ouvriers agricoles,4
Île-du-Prince-Édouard,  Agriculture primaire,Smith Farms Ltd.,"Kinkora, C0B1N0",8431-Ouvriers agricoles,4
Île-du-Prince-Édouard,  Agriculture primaire,van Diepen Produce Ltd.,"Morell, C0A1S0",8431-Ouvriers agricoles,15
Île-du-Prince-Édouard,  Agriculture primaire,Vanco Farms Ltd.,"Mount Albion, C1B0R4",8431-Ouvriers agricoles,7
Île-du-Prince-Édouard,  Agriculture primaire,Verdant LLC,"Cardigan, C0A1G0",8431-Ouvriers agricoles,8
Île-du-Prince-Édouard,  Talent mondial,Marinenav Ltd,"Montague, C0A1R0",0911-Directeurs de la fabrication,1
Nouvelle-Écosse,     Haut salaire,10094277 Canada Inc,"Halifax, B3J2T9",2175-Concepteurs et développeurs Web,2
Nouvelle-Écosse,     Haut salaire,BANNOCKBURN TOURS LIMITED,"SYDNEY, B1P5T3","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
Nouvelle-Écosse,     Haut salaire,CONNORS TRANSFER LIMITED,"Stellarton, B0K1S0",7511-Conducteurs de camions de transport,15
