Province/Territory,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes Approuvés
Terre-Neuve-et-Labrador,     Haut salaire,Central Regional Health Authority,"GRAND FALLS - WINDSOR, NL A2A 2E1",3111-Médecins spécialistes,2
Terre-Neuve-et-Labrador,     Haut salaire,Codroy Valley Trucking LTD,"Doyles, NL A0N 1J0",7511-Conducteurs de camions de transport,2
Terre-Neuve-et-Labrador,     Haut salaire,Eastern Regional Health Authority,"Mount Pearl, NL A1N 3J5",3111-Médecins spécialistes,3
Terre-Neuve-et-Labrador,     Haut salaire,Sorensen School of Dance Limited,"St. John's, NL A1A 5C9",5134-Danseurs,1
Terre-Neuve-et-Labrador,   Bas salaire,10565 NFLD Inc,"Happy Valley-Goose Bay, NL A0P 1C0",6322-Cuisiniers,1
Terre-Neuve-et-Labrador,   Bas salaire,67527 Newfoundland and Labrador Limited,"COME-BY-CHANCE, NL A0B 1N0",6322-Cuisiniers,2
Terre-Neuve-et-Labrador,   Bas salaire,Burton's Adventure Ltd,"St John's, NL A1H 1A1",6322-Cuisiniers,1
Terre-Neuve-et-Labrador,   Bas salaire,CBS FOODS LTD,"CONCEPTION BAY, NL A1W 3A6",6322-Cuisiniers,1
Terre-Neuve-et-Labrador,   Bas salaire,K and S Holdings Ltd.,"LABRADOR CITY, NL A2V 2W7",6322-Cuisiniers,2
Terre-Neuve-et-Labrador,   Bas salaire,Mercer Investments Ltd,"Conception Bay South, NL A1X 7T4",6322-Cuisiniers,1
Terre-Neuve-et-Labrador,  Agriculture primaire,New World Dairy Inc,"St. David's, NL A0N 1X0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",6
Terre-Neuve-et-Labrador,  Talent mondial,HeyOrca Inc.,"St. John's, NL A1B 3P9",2173-Ingénieurs et concepteurs en logiciel,1
Terre-Neuve-et-Labrador,  Talent mondial,HeyOrca Inc.,"St. John's, NL A1B 3P9",2174-Programmeurs et développeurs en médias interactifs,1
Île-du-Prince-Édouard,     Haut salaire,Prime Natural Foods Inc.,"Charlottetown, PE C1A 0C9",0621-Directeurs - commerce de détail et de gros,1
Île-du-Prince-Édouard,   Bas salaire,Atlantic Beef Products Inc.,"Albany, PE C0B 1A0","9462-Bouchers industriels, dépeceurs-découpeurs de viande, préparateurs de volaille et personnel assimilé",11
Île-du-Prince-Édouard,   Bas salaire,Mr. Sushi Inc,"Charlottetown, PE C1A 4K6",6322-Cuisiniers,1
Île-du-Prince-Édouard,  Agriculture primaire,100556 P.E.I. INC. G W.& R Visser Farms,"Vernon Bridge, PE C0A 2E0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Île-du-Prince-Édouard,  Agriculture primaire,Arlington Orchards Inc,"arlington, PE C0B 1Y0",8431-Ouvriers agricoles,3
Île-du-Prince-Édouard,  Agriculture primaire,Birch Farms Ltd.,"Summerside, PE C1N 4J9",8431-Ouvriers agricoles,2
Île-du-Prince-Édouard,  Agriculture primaire,D & E Pork Inc.,"Albany, PE C0B 1A0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Île-du-Prince-Édouard,  Agriculture primaire,D & E Pork Inc.,"Albany, PE C0B 1A0",8431-Ouvriers agricoles,2
Île-du-Prince-Édouard,  Agriculture primaire,Eastern Exporters Limited,"Souris, PE C0A 2B0",8431-Ouvriers agricoles,5
Île-du-Prince-Édouard,  Agriculture primaire,Havenlee Farms Inc.,"Summerside, PE C1N 4J9",8431-Ouvriers agricoles,2
Île-du-Prince-Édouard,  Agriculture primaire,Jewell's of Prince Edward Island Inc.,"York RR, PE C0A 1P0",8431-Ouvriers agricoles,4
Île-du-Prince-Édouard,  Agriculture primaire,King's County Pork Inc.,"Montague, PE C0A 1R0",8431-Ouvriers agricoles,1
