Province/Territory,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandes
Terre-Neuve-et-Labrador,     Haut salaire,Sorensen School of Dance Limited,"St. John's, NL A1A 5C9",5134-Danseurs,1
Terre-Neuve-et-Labrador,   Bas salaire,Bugden Enterprises,"Conception Bay South, NL A1W 3A3",6311-Superviseurs des services alimentaires,1
Île-du-Prince-Édouard,   Bas salaire,Prince Edward Island Coffee Inc,"Charlottetown, PE C1A 4A4",6321-Chefs,1
Nouvelle-Écosse,     Haut salaire,Dmflix Ltd.,"Dartmouth, NS B2W 4J6",6211-Superviseurs des ventes - commerce de détail,2
Nouvelle-Écosse,     Haut salaire,MCLEAN'S SERVICE CENTER LIMITED,"Newport, NS B0N 2A0",6411-Représentants des ventes et des comptes - commerce de gros (non-technique),1
Nouvelle-Écosse,  Agriculture primaire,Elmridge Farm Ltd,"RR2 Centreville, NS B0P 1J0",8431-Ouvriers agricoles,1
Nouveau-Brunswick,     Haut salaire,10056715 Canada Inc.,"Riverview, NB E1B 2K9",7511-Conducteurs de camions de transport,5
Nouveau-Brunswick,     Haut salaire,Computer Generated Solutions Canada Ltd.,"Saint John, NB E2L 5E8","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
Nouveau-Brunswick,     Haut salaire,Moosehorn trucking Ltd.,"Penobsquis, NB E4G 2A5",7511-Conducteurs de camions de transport,1
Nouveau-Brunswick,     Haut salaire,Premium Express Inc.,"Lower Woodstock, NB E7M 4B2",7511-Conducteurs de camions de transport,1
Nouveau-Brunswick,   Bas salaire,Birch Hill Construction Ltd.,"Moncton, NB E1G 0C6",7511-Conducteurs de camions de transport,1
Nouveau-Brunswick,   Bas salaire,Birch Hill Construction Ltd.,"Moncton, NB E1G 0C6",7611-Aides de soutien des métiers et manoeuvres en construction,8
Nouveau-Brunswick,   Bas salaire,Bliss Tanning Studio Inc,"Oromocto, NB E2V 0B9","6742-Autre personnel de soutien en service, n.c.a.",2
Nouveau-Brunswick,   Bas salaire,Fredericton Montessori Academy Inc.,"Fredericton, NB E3B 5N8",4032-Enseignants aux niveaux primaire et préscolaire,1
Nouveau-Brunswick,   Bas salaire,McNair Management Inc,"Moncton, NB E1A 5P7","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",1
Nouveau-Brunswick,   Bas salaire,YA MU SPECIAL CARE HOME INC.,"Saint John, NB E2K 4Z2","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",2
Québec,     Haut salaire,9135-5735 Québec Inc. (Restaurant Toyo grillade à la Japonaise),"Laval, QC H7V 3N8",6321-Chefs,2
Québec,     Haut salaire,9209-5488 Quebec Inc,"Baie-Comeau, QC G4Z 1S8","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
Québec,     Haut salaire,9375-6351 Québec inc./ Restaurant Végano Inc.,"MONTRÉAL, QC H2H 1J5",6321-Chefs,1
Québec,     Haut salaire,9387-8429 Québec Inc.,"Salaberry-de-Valleyfield, QC J6S 3V6",6321-Chefs,2
Québec,     Haut salaire,Café Cherrier Inc,"Montréal, QC H2X 3L6",6321-Chefs,1
Québec,     Haut salaire,INFLIGHT CANADA INC.,"Montréal, QC H4S 1C7",2253-Technologues et techniciens en dessin,1
Québec,     Haut salaire,Les Armoires Gibson inc.,"Rouyn-Noranda, QC J0Z 1Y0",7272-Ébénistes,1
Québec,     Haut salaire,MT DEFENSE AEROSPACE,"Longueuil, QC J3Y 0T7",6411-Représentants des ventes et des comptes - commerce de gros (non-technique),1
Québec,     Haut salaire,Mylo Financial Technologies Inc.,"MONTRÉAL, QC H4C 3C5","1123-Professionnels en publicité, en marketing et en relations publiques",1
Québec,   Bas salaire,9303-4320 Québec Inc.,"Ste-Marguerite-du-Lac, QC J0L 1L0",8612-Manoeuvres en aménagement paysager et en entretien des terrains,1
Québec,   Bas salaire,Ébénisterie A.D. Plus inc.,"SAINTE-MARIE, QC G6E 1H4","9619-Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",1
Québec,   Bas salaire,Esthetique dela Beaute et Sante Inc.,"Montreal, QC H4G 3M5",6341-Coiffeurs et barbiers,1
Québec,  Agriculture primaire,SBEC 2006 Senc.,"HOWICK, QC J0S 1G0",8431-Ouvriers agricoles,1
Ontario,     Haut salaire, 2389387 ONTARIO INC.,"Parry Sound, ON P2A 1S3",0631-Directeurs de la restauration et des services alimentaires,1
Ontario,     Haut salaire,1000234 Ontario Ltd.,"Kitchener, ON N2M 3M5",7612-Autres manoeuvres et aides de soutien de métiers,1
Ontario,     Haut salaire,10825158 Canada Inc.,"Brampton, ON L6Y 5G8",6321-Chefs,3
Ontario,     Haut salaire,10967548 Canada Ltd.,"Brampton, ON L6R 3P8",7511-Conducteurs de camions de transport,1
Ontario,     Haut salaire,11634640 Canada Ltd,"London, ON N6E 3R9","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
Ontario,     Haut salaire,11820737 Canada Inc.,"Brampton, ON L6T 1V1",0631-Directeurs de la restauration et des services alimentaires,1
Ontario,     Haut salaire,11833693 Canada Ltd.,"Brampton, ON L6R 0V6",0213-Gestionnaires des systèmes informatiques,1
Ontario,     Haut salaire,11837141 Canada Limited,"London, ON N5V 0B8","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,11882805 Canada Inc.,"Markham, ON L3R 6W7",1211-Superviseurs de commis de bureau et du personnel de soutien administratif,1
Ontario,     Haut salaire,11989189 Canada Inc.,"Brampton, ON L6W 4T3","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,1560153 Ontari Corporation,"Toronto, ON M4L 2N3",5225-Techniciens en enregistrement audio et vidéo,1
Ontario,     Haut salaire,2097148 Ontario Inc.,"Mississauga, ON L5T 1T9",7305-Surveillants du transport routier et du transport en commun,1
Ontario,     Haut salaire,2275938 Ontario Inc.,"Toronto, ON L3T 0C7","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Ontario,     Haut salaire,2293891 Ontario Inc.,"North York, ON M3N 1H6",1221-Agents d'administration,1
Ontario,     Haut salaire,2310705 ontario inc,"Woodstock, ON N4S 7V8",6411-Représentants des ventes et des comptes - commerce de gros (non-technique),1
Ontario,     Haut salaire,2339366 ONTARIO INC,"CALEDON, ON L7C 0X4",7282-Finisseurs de béton,1
Ontario,     Haut salaire,2420335 ONTARIO INC.,"MISSISSAUGA, ON L5T 2G1",0621-Directeurs - commerce de détail et de gros,1
Ontario,     Haut salaire,2506139 Ontario Inc.,"Toronto, ON M5J 2R9","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,5023152 Ontario Ltd. o/a Maqamat International of Arts and Heritage,"Cambridge, ON N3H 4R7","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
Ontario,     Haut salaire,A-CLASS UPHOLSTERY LTD.,"Brampton, ON L6T 3V1","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Ontario,     Haut salaire,AEM Equipment Rentals Limited,"Oakville, ON L6H 5R7","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Ontario,     Haut salaire,Airox Nigen Projects & Equipment Ltd.,"Mississauga, ON L4W 5A6","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Ontario,     Haut salaire,All in AA Consulting Inc.,"Toronto, ON M5B 2L7",0125-Directeurs d'autres services aux entreprises,1
Ontario,     Haut salaire,ALLIED CANS LIMITED,"MILTON, ON L9T 0J8",2243-Techniciens et mécaniciens d'instruments industriels,1
Ontario,     Haut salaire,Amberson Education Group Inc.,"Toronto, ON M1W 2S7",2175-Concepteurs et développeurs Web,1
Ontario,     Haut salaire,Animals Inc.,"TORONTO, ON M6J 2R9","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
Ontario,     Haut salaire,ARCA PROPERTY MANAGEMENT 2009 INC,"Almonte, ON K0A 1A0",1221-Agents d'administration,1
Ontario,     Haut salaire,Atronic Enterprises Inc.,"Thornhill, ON L4J 1V8","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Ontario,     Haut salaire,Auxilium Professional Corporation,"Toronto, ON M5A 2X1",1311-Techniciens en comptabilité et teneurs de livres,1
Ontario,     Haut salaire,Ax Pharmaceutical Corp,"Concord, ON L4K 0J9",9232-Opérateurs de salle de commande centrale dans le raffinage du pétrole et le traitement du gaz et des produits chimiques,1
Ontario,     Haut salaire,Benchmark Media Marketing Inc.,"Toronto, ON M3J 3J4","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,Bertucci MedSpa Inc.,"North York, ON M3B 3P6",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,1
Ontario,     Haut salaire,BIDWTEK INC,"Windsor, ON N9G 3E4",0601-Directeurs des ventes corporatives,1
Ontario,     Haut salaire,Bluets Manufacturing & Technologies Inc.,"Barrie, ON L4N 5J4","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Ontario,     Haut salaire,Burlington Royal Arts Adacemy inc,"Burlington, ON L7P 1A8","1123-Professionnels en publicité, en marketing et en relations publiques",1
Ontario,     Haut salaire,Can-Sync Consulting Ltd.,"Brampton, ON L6V 4L1","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Ontario,     Haut salaire,CAST GROUP INC,"TORONTO, ON M6S 3P2","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
Ontario,     Haut salaire,Castle Makers,"Mississauga, ON L5M 6K1",0621-Directeurs - commerce de détail et de gros,1
Ontario,     Haut salaire,CBK INTERNATIONAL INC,"MISSISSAUGA, ON L5T 1A3","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Ontario,     Haut salaire,Chains & Charms Inc.,"Brampton, ON L6W 3E7",0621-Directeurs - commerce de détail et de gros,2
Ontario,     Haut salaire,City Welding Sudbury (2015) Limited,"Sudbury, ON P3A 5K1",1523-Coordonnateurs de la logistique de la production,1
Ontario,     Haut salaire,Civil ArSa Engineering Inc.,"Queensville, ON L0R 1R0",0111-Directeurs financiers,1
Ontario,     Haut salaire,CJ HOME TEXTILE LTD,"Burlington, ON L7N 3G2","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Ontario,     Haut salaire,Colour Innovations Inc.,"North York, ON M3N 1Y2",2175-Concepteurs et développeurs Web,1
Ontario,     Haut salaire,Compass Industrial Supplies Corporation,"Hamilton, ON L8P 4W7","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,CORNER CLUBHOUSE DAYCARE CENTRE INC.,"KINGSTON, ON K7L 4C3","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
Ontario,     Haut salaire,Dr. P. Diavolitsis Medicine Professional Corporation,"Thamesford, ON N0M 2M0",3112-Omnipraticiens et médecins en médecine familiale,1
Ontario,     Haut salaire,EAGLE SHUNT SERVICE LTD.,"BRAMPTON, ON L6W 4N6",7511-Conducteurs de camions de transport,6
Ontario,     Haut salaire,Ecopack Canada Inc.,"Brantford, ON N3P 1J5","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",2
Ontario,     Haut salaire,Elements Office Installations Inc,"Pickering, ON L1W 3G8",7292-Vitriers,1
Ontario,     Haut salaire,EMInS Inc.,"Scarborough, ON M1E  2W","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Ontario,     Haut salaire,Energy Network Services Inc.,"RICHMOND HILL, ON L4B 1C6",0711-Directeurs de la construction,1
Ontario,     Haut salaire,Extox Industries Inc,"Mississauga, ON L5T 1C3",7332-Réparateurs et préposés à l'entretien d'appareils,1
Ontario,     Haut salaire,FH International High School Corp.,"Toronto, ON M1H 3A4",4031-Enseignants au niveau secondaire,1
Ontario,     Haut salaire,FREIGHT MASTERS LOGISTICS INC.,"MISSISSAUGA, ON L4V 1T1",1521-Expéditeurs et réceptionnaires,1
Ontario,     Haut salaire,G.V. Pool & Spa LTD.,"Ajax, ON L1S 7E4",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
Ontario,     Haut salaire,GTA Waste Services Inc.,"Newmarket, ON L3Y 8E1",0731-Directeurs des transports,1
Ontario,     Haut salaire,GWA Business Solutions Canada Inc.,"Stouffville, ON L4A 1M5",2171-Analystes et consultants en informatique,1
Ontario,     Haut salaire,Hanscomb Limited,"Toronto, ON M4S 3C3",2234-Estimateurs en construction,1
Ontario,     Haut salaire,"Hua Men Trading Co., Ltd.","Scarborough, ON M1B 4Z7","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Ontario,     Haut salaire,IDataStory Inc.,"Mississauga, ON L5R 0E1",0213-Gestionnaires des systèmes informatiques,1
Ontario,     Haut salaire,International paper Converters Limited,"Thornhill, ON L4K 2G1",9215-Surveillants dans la transformation des produits forestiers,1
Ontario,     Haut salaire,International Trucking Incorporated,"Kitchener, ON N2A 0C6",7511-Conducteurs de camions de transport,3
Ontario,     Haut salaire,Ithaca Life Consulting Inc.,"Toronto, ON M3J 2T2","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Ontario,     Haut salaire,iTi Building Permit Designer Inc.,"Oakville, ON L6J 6G6",7204-Entrepreneurs et contremaîtres en charpenterie,1
Ontario,     Haut salaire,Jas Boyal Management Inc.,"Mississauga, ON L4W 4H3",6211-Superviseurs des ventes - commerce de détail,1
Ontario,     Haut salaire,KAMLIN LTD.,"KITCHENER, ON N2K 1M3",1225-Agents aux achats,1
Ontario,     Haut salaire,Kids dancing club prime Inc.,"Toronto, ON M3J 2T2","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,KIN&KITH Restaurant Investment INC.,"Hamilton, ON L8R 1J4","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,Legno Custom Millwork Inc.,"Concord, ON L4K 2B9",1225-Agents aux achats,1
Ontario,     Haut salaire,Livespace Interiors Canada Ltd.,"Mississauga, ON L4W 3W6","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Ontario,     Haut salaire,MACVAD (CANADA USA) LIMITED,"Mississauga, ON L5L 3S3",6222-Acheteurs des commerces de détail et de gros,1
Ontario,     Haut salaire,Malton Medical Urgent Care Center Inside Wal-Mart,"Malton, ON L4T 2T8",1243-Adjoints administratifs médicaux,1
Ontario,     Haut salaire,Max Electric and Fire Protection Ltd.,"Richmond Hill, ON L4B 1G2",1225-Agents aux achats,1
Ontario,     Haut salaire,MG Sky Cargo Ltd.,"Newmarket, ON L3X 1X4","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
Ontario,     Haut salaire,Mohan Wellness & Rehab Clinic,"Scarborough, ON M1S 4Z4",1243-Adjoints administratifs médicaux,2
Ontario,     Haut salaire,Motherbird Entertainment Inc. dba Spy Films,"Woodbridge, ON L4L 4H2","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Ontario,     Haut salaire,Naber Accounting and Financial Advisory Service,"Toronto, ON M6P 1Z9",0111-Directeurs financiers,1
Ontario,     Haut salaire,National Event Management Inc.,"markham, ON L3R 8H8","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,NSUS Group Inc.,"North York, ON M2M 4K2","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,Online Print Decor Inc.,"Toronto, ON M8W 3S2",7303-Surveillants de l'imprimerie et du personnel assimilé,1
Ontario,     Haut salaire,Out of the Box Packaging Inc.,"North York, ON M3J 3K6","9213-Surveillants dans la transformation des aliments, des boissons et des produits connexes",1
Ontario,     Haut salaire,P&P Interior Decorator Inc.,"Mississauga, ON L5S 1V6","7201-Entrepreneurs et contremaîtres des machinistes et du personnel des métiers du formage, du profilage et du montage des métaux et personnel assimilé",1
Ontario,     Haut salaire,Panda Painting and Wallpapering,"Niagara Falls, ON L2H 3G1",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),3
Ontario,     Haut salaire,Partners Film Inc,"Toronto, ON M5A 3C4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Ontario,     Haut salaire,PAUL ACCOUNTING ASSOCIATES LTD.,"MISSISSAUGA, ON L5T 1B6",1212-Superviseurs de commis de finance et d'assurance,1
Ontario,     Haut salaire,Pharmhill Inc,"Toronto, ON M2M 3W2","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Ontario,     Haut salaire,Quad Infotech Inc.,"Toronto, ON M2N 6X3",0211-Directeurs des services de génie,1
Ontario,     Haut salaire,RAW MECHANICAL LTD.,"PICKERING, ON L1W 3V2",7313-Mécaniciens en réfrigération et en climatisation,1
Ontario,     Haut salaire,Rock Valley Natural Stone Inc,"Woodbridge, ON L4L 1A7","9414-Opérateurs de machines dans le façonnage et la finition des produits en béton, en argile ou en pierre",1
Ontario,     Haut salaire,SabSolutions Inc.,"Whitby, ON L1N 4R5",1311-Techniciens en comptabilité et teneurs de livres,1
Ontario,     Haut salaire,Saxon Facility Services Inc.,"Woodbridge, ON L4L 8K5",6315-Surveillants des services de nettoyage,1
Ontario,     Haut salaire,Si Petit Baby Home FMA Inc.,"Mississauga, ON L4Z 1V9",0621-Directeurs - commerce de détail et de gros,1
Ontario,     Haut salaire,"SOFT CITIZEN, INC","Toronto, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Ontario,     Haut salaire,Spartan Freight Systems Inc.,"Mississauga, ON L5S 1K4",1221-Agents d'administration,1
Ontario,     Haut salaire,SQUARE CONSTRUCTION CORP.,"RICHMOND HILL, ON L4C 2J2",1221-Agents d'administration,1
Ontario,     Haut salaire,Sunrise Beijing International Inc,"Richmond Hill, ON L4B 3J6","1123-Professionnels en publicité, en marketing et en relations publiques",1
Ontario,     Haut salaire,Terra Nova Steel & Iron Inc.,"Mississauga, ON L5C 2V1",1523-Coordonnateurs de la logistique de la production,1
Ontario,     Haut salaire,TRUELINE CONSTRUCTION CO. LTD.,"WOODBRIDGE, ON L4H 3G5",7611-Aides de soutien des métiers et manoeuvres en construction,1
Ontario,     Haut salaire,Ubisoft Toronto Inc.,"Toronto, ON M6H 1V7",5241-Designers graphiques et illustrateurs,2
Ontario,     Haut salaire,UFT CAN. Inc.,"Brantford, ON N3S 0H4",2241-Technologues et techniciens en génie électronique et électrique,4
Ontario,     Haut salaire,United Mobile & Accessories Inc.,"St. Catherines, ON L2N 2G3",0621-Directeurs - commerce de détail et de gros,1
Ontario,     Haut salaire,U-Save Center Inc,"Etobicoke, ON M8Z 4X4","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Ontario,     Haut salaire,UTOI Management Consulting Inc.,"Markham, ON L3R 0N8",1221-Agents d'administration,1
Ontario,     Haut salaire,Valueway Global Logistics Inc.,"toronto, ON M9W 4Y8","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",2
Ontario,     Haut salaire,VRP Logistics Inc.,"Woodstock, ON N4V 0A2","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Ontario,     Haut salaire,Western Best Landing Corp,"Hamilton, ON L8H 7P4",2281-Techniciens de réseau informatique,1
Ontario,     Haut salaire,Willfix Inc.,"Mississauga, ON L5A 2B3","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
Ontario,     Haut salaire,Wittington Properties Ltd.,"Toronto, ON M4T 2S8",6312-Gouvernants principaux,1
