Province/Territoire,"Volet du programme",Employeur,Adresse,Profession,"Postes demandes"
Île-du-Prince-Édouard,"   Bas salaire","Cedar Foods (2010) Limited Cedar's Eatery","Charlottetown, PE C1A 4L1",6322-Cuisiniers,2
Île-du-Prince-Édouard,"   Bas salaire","Trout River Industries Inc.","Coleman, PE C0B 1H0","9619-Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",4
Île-du-Prince-Édouard,"  Agriculture primaire","Pure Pork Farms Ltd.","Mount Albion, PE C1B 4B3","8431-Ouvriers agricoles",1
Nouvelle-Écosse,"     Haut salaire","3104568 Nova Scotia Limited","L'Ardoise, NS B0E 1W0",7281-Briqueteurs-maçons,1
Nouvelle-Écosse,"     Haut salaire","Atlantic Summit Immigration Consulting Inc","Halifax, NS B3J 3K3","1221-Agents d'administration",1
Nouvelle-Écosse,"     Haut salaire","PORT CITY AUTO EXPERTS LTD.","DARTMOUTH, NS B3B 1B4","6235-Représentants des ventes financières",1
Nouvelle-Écosse,"     Haut salaire","TAKO SUSHI & RAMEN RESTAURANT LIMITED","Bedford, NS B4A 0B8","1311-Techniciens en comptabilité et teneurs de livres",1
Nouvelle-Écosse,"   Bas salaire","Hervic Enterprises Limited","Yarmouth, NS B0W 1B0","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",24
Nouvelle-Écosse,"   Bas salaire","Sunshine Care Homes Inc.","Halifax, NS B3N 1B1","4412-Aides familiaux résidents, aides de maintien à domicile et personnel assimilé",1
Nouvelle-Écosse,"  Agriculture primaire","Hilly Acres Farm Ltd.","Millville, NS B1Y 2E1","8431-Ouvriers agricoles",2
Nouvelle-Écosse,"  Agriculture primaire","Perfect Berries Ltd.","Berwick, NS B0P 1E0","8431-Ouvriers agricoles",3
Nouveau-Brunswick,"     Haut salaire","Ellas Express Inc.","Moncton, NB E1G 5W6","7511-Conducteurs de camions de transport",1
Nouveau-Brunswick,"     Haut salaire","Professional Carriers Inc","Hartland, NB E7P 3K4","7511-Conducteurs de camions de transport",1
Nouveau-Brunswick,"   Bas salaire","AL-Pack enterprises Ltd.","Moncton, NB E1H 0A5","9422-Opérateurs de machines de traitement des matières plastiques",1
Nouveau-Brunswick,"   Bas salaire","Résidence St-Isidore (2018) Ltée","St-Isidore, NB E8M 0A2","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",2
Nouveau-Brunswick,"   Bas salaire","Zoa Mansu B.B.Q Inc","Dieppe, NB E1A 1G1",6322-Cuisiniers,1
Nouveau-Brunswick,"  Agriculture primaire","Canadian National Growers Inc.","Saint Anne de Kent, NB E4S 1C6","0821-Gestionnaires en agriculture",1
Nouveau-Brunswick,"  Agriculture primaire","Canadian National Growers Inc.","Saint Anne de Kent, NB E4S 1C6","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Nouveau-Brunswick,"  Agriculture primaire","Canadian National Growers Inc.","Saint Anne de Kent, NB E4S 1C6","8431-Ouvriers agricoles",8
Québec,"     Haut salaire","9061-1633 Quebec Inc","Ste-Julie, QC J3E 1Y8",6322-Cuisiniers,1
Québec,"     Haut salaire","Corporation Micro Bird inc","Drummondville, QC J2E 0A1","7235-Assembleurs et ajusteurs de plaques et de charpentes métalliques",4
