Province/Territory,"Program Stream","Employer ",Address,Occupation,"Approved Positions"
"Newfoundland and Labrador","    High Wage","Central Regional Health Authority","GRAND FALLS - WINDSOR, NL A2A 2E1","3111-Specialist physicians",3
"Newfoundland and Labrador","    High Wage","Eastern Regional Health Authority","Mount Pearl, NL A1N 3J5","3111-Specialist physicians",1
"Newfoundland and Labrador","    High Wage","Sulmara Subsea Canada Limited","St. John's, NL A1A 0R6","2154-Land surveyors",1
"Newfoundland and Labrador","    High Wage","Western Regional Health Authority","Corner Brook, NL A2H 6J7","3111-Specialist physicians",1
"Newfoundland and Labrador","   Low Wage","81821 Newfoundland & Labrador Ltd.","St. John's, NL A1B 3S5","6341-Hairstylists and barbers",2
"Newfoundland and Labrador","   Low Wage","Carter Holdings Inc.","Harbour Breton, NL A0H 1P0","6513-Food and beverage servers",2
"Newfoundland and Labrador","   Low Wage","CRB Supermarket & Deli (2020) Ltd.","North West River, NL A0P 1M0",6322-Cooks,2
"Newfoundland and Labrador","   Low Wage","Goulding's Wholesale Limited","Gambo, NL A0G 1T0",6332-Bakers,4
"Newfoundland and Labrador","   Low Wage","Nor-Lab Ltd","Happy Valley-Goose Bay, NL A0P 1E0",6322-Cooks,1
"Newfoundland and Labrador","   Low Wage","Peters Pizza","Conception Bay South, NL A1W 3A4",6322-Cooks,1
"Newfoundland and Labrador","   Low Wage","Rossco Services Limited o/a Meineke Car Care","Gander, NL A1V 2E1","7612-Other trades helpers and labourers",1
"Newfoundland and Labrador","  Primary Agriculture","Larch Grove Farm Ltd.","Cormack, NL A8A 2R7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
"Newfoundland and Labrador"," Global Talent Stream","CoLab Software Incorporated","St. John's, NL A1A  5N","2173-Software engineers and designers",2
"Newfoundland and Labrador"," Global Talent Stream","Verafin Solutions ULC","ST. JOHN'S, NL A1A 0L9","2174-Computer programmers and interactive media developers",2
"Prince Edward Island","    High Wage","All Kids Learning Centre Inc.","Charlottetown, PE C1A 2T6","0423-Managers in social, community and correctional services",1
"Prince Edward Island","    High Wage","Bulk Carriers (P.E.I.) Limited","Clyde River, PE C0A 1H3","7511-Transport truck drivers",10
"Prince Edward Island","    High Wage","Business Porters Inc.","Charlottetown, PE C1E 0E4","7511-Transport truck drivers",4
"Prince Edward Island","   Low Wage","Captain Cooke's Seafood Inc","Borden Carleton, PE C0B 1X0","9463-Fish and seafood plant workers",22
"Prince Edward Island","   Low Wage","Maritime Select Lobster Inc.","Alberton, PE C0B 1B0","9618-Labourers in fish and seafood processing",6
"Prince Edward Island","  Primary Agriculture","100556 P.E.I. INC. G W.& R Visser Farms","Vernon Bridge, PE C0A 2E0","8431-General farm workers",4
"Prince Edward Island","  Primary Agriculture","Atlantic Grown Organics Inc","Spring Valley, PE C0B 1M0","8431-General farm workers",2
"Prince Edward Island","  Primary Agriculture","Brookfield Gardens Inc","Brookfield, PE C0A 1Y0","8431-General farm workers",10
"Prince Edward Island","  Primary Agriculture","Eastern Exporters Limited","Souris, PE C0A 2B0","8431-General farm workers",1
"Prince Edward Island","  Primary Agriculture","Five Rivers Agri Products Inc.","Alliston, PE C0A 1R0","0821-Managers in agriculture",1
"Prince Edward Island","  Primary Agriculture","Hy-Croft Farms Inc.","Summerside, PE C1N 4V4","8431-General farm workers",8
"Prince Edward Island","  Primary Agriculture","Jewell's of Prince Edward Island Inc.","York RR, PE C0A 1P0","8431-General farm workers",1
"Prince Edward Island","  Primary Agriculture","KINKORA HOLDINGS INC","KINKORA, PE C0B 1N0","8431-General farm workers",5
"Prince Edward Island","  Primary Agriculture","MGS Holdings & Distribution Ltd.","Alberton, PE C0B 1B0","8431-General farm workers",3
"Prince Edward Island","  Primary Agriculture","Vanco Farms Ltd.","Mount Albion, PE C1B 0R4","8431-General farm workers",21
"Prince Edward Island","  Primary Agriculture","Victoria Potato Farm Inc.","Crapaud, PE C0A 1J0","8431-General farm workers",4
"Prince Edward Island","  Primary Agriculture","W.P.  Griffin Inc.","Elmsdale, PE C0B 1K0","8431-General farm workers",1
"Nova Scotia","    High Wage","12792231 Canada Inc.","Halifax, NS B3J  3M","0013-Senior managers - financial, communications and other business services",1
"Nova Scotia","    High Wage","3099228 Nova Scotia Limited","Italy Cross, NS B4V 0K8",7271-Carpenters,8
"Nova Scotia","    High Wage","3274876 Nova Scotia Ltd","Clarks Harbour, NS B0W 1P0","1225-Purchasing agents and officers",1
