",,,,,
Province/Territoire,"Volet du programme",Employeur,Adresse,"Profession ","Postes Approuvés"
Terre-Neuve-et-Labrador,"     Haut salaire","Central Regional Health Authority","GRAND FALLS - WINDSOR, NL A2A 2E1","3111-Médecins spécialistes",3
Terre-Neuve-et-Labrador,"     Haut salaire","Eastern Regional Health Authority","Mount Pearl, NL A1N 3J5","3111-Médecins spécialistes",1
Terre-Neuve-et-Labrador,"     Haut salaire","Sulmara Subsea Canada Limited","St. John's, NL A1A 0R6",2154-Arpenteurs-géomètres,1
Terre-Neuve-et-Labrador,"     Haut salaire","Western Regional Health Authority","Corner Brook, NL A2H 6J7","3111-Médecins spécialistes",1
Terre-Neuve-et-Labrador,"   Bas salaire","81821 Newfoundland & Labrador Ltd.","St. John's, NL A1B 3S5","6341-Coiffeurs et barbiers",2
Terre-Neuve-et-Labrador,"   Bas salaire","Carter Holdings Inc.","Harbour Breton, NL A0H 1P0","6513-Serveurs d'aliments et de boissons",2
Terre-Neuve-et-Labrador,"   Bas salaire","CRB Supermarket & Deli (2020) Ltd.","North West River, NL A0P 1M0",6322-Cuisiniers,2
Terre-Neuve-et-Labrador,"   Bas salaire","Goulding's Wholesale Limited","Gambo, NL A0G 1T0",6332-Boulangers-pâtissiers,4
Terre-Neuve-et-Labrador,"   Bas salaire","Nor-Lab Ltd","Happy Valley-Goose Bay, NL A0P 1E0",6322-Cuisiniers,1
Terre-Neuve-et-Labrador,"   Bas salaire","Peters Pizza","Conception Bay South, NL A1W 3A4",6322-Cuisiniers,1
Terre-Neuve-et-Labrador,"   Bas salaire","Rossco Services Limited o/a Meineke Car Care","Gander, NL A1V 2E1","7612-Autres manoeuvres et aides de soutien de métiers",1
Terre-Neuve-et-Labrador,"  Agriculture primaire","Larch Grove Farm Ltd.","Cormack, NL A8A 2R7","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Terre-Neuve-et-Labrador,"  Talent mondial","CoLab Software Incorporated","St. John's, NL A1A  5N","2173-Ingénieurs et concepteurs en logiciel",2
Terre-Neuve-et-Labrador,"  Talent mondial","Verafin Solutions ULC","ST. JOHN'S, NL A1A 0L9","2174-Programmeurs et développeurs en médias interactifs",2
Île-du-Prince-Édouard,"     Haut salaire","All Kids Learning Centre Inc.","Charlottetown, PE C1A 2T6","0423-Directeurs des services sociaux, communautaires et correctionnels",1
Île-du-Prince-Édouard,"     Haut salaire","Bulk Carriers (P.E.I.) Limited","Clyde River, PE C0A 1H3","7511-Conducteurs de camions de transport",10
Île-du-Prince-Édouard,"     Haut salaire","Business Porters Inc.","Charlottetown, PE C1E 0E4","7511-Conducteurs de camions de transport",4
Île-du-Prince-Édouard,"   Bas salaire","Captain Cooke's Seafood Inc","Borden Carleton, PE C0B 1X0","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",22
Île-du-Prince-Édouard,"   Bas salaire","Maritime Select Lobster Inc.","Alberton, PE C0B 1B0","9618-Manoeuvres dans la transformation du poisson et des fruits de mer",6
Île-du-Prince-Édouard,"  Agriculture primaire","100556 P.E.I. INC. G W.& R Visser Farms","Vernon Bridge, PE C0A 2E0","8431-Ouvriers agricoles",4
Île-du-Prince-Édouard,"  Agriculture primaire","Atlantic Grown Organics Inc","Spring Valley, PE C0B 1M0","8431-Ouvriers agricoles",2
Île-du-Prince-Édouard,"  Agriculture primaire","Brookfield Gardens Inc","Brookfield, PE C0A 1Y0","8431-Ouvriers agricoles",10
Île-du-Prince-Édouard,"  Agriculture primaire","Eastern Exporters Limited","Souris, PE C0A 2B0","8431-Ouvriers agricoles",1
Île-du-Prince-Édouard,"  Agriculture primaire","Five Rivers Agri Products Inc.","Alliston, PE C0A 1R0","0821-Gestionnaires en agriculture",1
Île-du-Prince-Édouard,"  Agriculture primaire","Hy-Croft Farms Inc.","Summerside, PE C1N 4V4","8431-Ouvriers agricoles",8
Île-du-Prince-Édouard,"  Agriculture primaire","Jewell's of Prince Edward Island Inc.","York RR, PE C0A 1P0","8431-Ouvriers agricoles",1
Île-du-Prince-Édouard,"  Agriculture primaire","KINKORA HOLDINGS INC","KINKORA, PE C0B 1N0","8431-Ouvriers agricoles",5
Île-du-Prince-Édouard,"  Agriculture primaire","MGS Holdings & Distribution Ltd.","Alberton, PE C0B 1B0","8431-Ouvriers agricoles",3
Île-du-Prince-Édouard,"  Agriculture primaire","Vanco Farms Ltd.","Mount Albion, PE C1B 0R4","8431-Ouvriers agricoles",21
Île-du-Prince-Édouard,"  Agriculture primaire","Victoria Potato Farm Inc.","Crapaud, PE C0A 1J0","8431-Ouvriers agricoles",4
Île-du-Prince-Édouard,"  Agriculture primaire","W.P.  Griffin Inc.","Elmsdale, PE C0B 1K0","8431-Ouvriers agricoles",1
Nouvelle-Écosse,"     Haut salaire","12792231 Canada Inc.","Halifax, NS B3J  3M","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Nouvelle-Écosse,"     Haut salaire","3099228 Nova Scotia Limited","Italy Cross, NS B4V 0K8",7271-Charpentiers-menuisiers,8
Nouvelle-Écosse,"     Haut salaire","3274876 Nova Scotia Ltd","Clarks Harbour, NS B0W 1P0","1225-Agents aux achats",1
Nouvelle-Écosse,"     Haut salaire","3289828 NS LTD","SACKVILLE, NS B4C 2N1","7322-Débosseleurs et réparateurs de carrosserie",1
Nouvelle-Écosse,"     Haut salaire","3334291 NOVA SCOTIA LIMITED","Halifax, NS B3J 1G9","0631-Directeurs de la restauration et des services alimentaires",1
Nouvelle-Écosse,"     Haut salaire","AFRICA CANADA TRADE AND INVESTMENT VENTURE INC.","HALIFAX, NS B3J 3J8","0412-Gestionnaires de la fonction publique - analyse économique, élaboration de politiques et administration de programmes",3
Nouvelle-Écosse,"     Haut salaire","Anytime Freight Services Inc.","Halifax, NS B3M 0B9","7511-Conducteurs de camions de transport",2
Nouvelle-Écosse,"     Haut salaire","CBBC Career College Inc.","Dartmouth, NS B2Y 2N6","1221-Agents d'administration",1
Nouvelle-Écosse,"     Haut salaire","Dalhousie University","Halifax, NS B3H 4H2","4011-Professeurs et chargés de cours au niveau universitaire",3
Nouvelle-Écosse,"     Haut salaire","GPC Investments Limited cob Comfort Inn Halifax","Halifax, NS B3M 2L8","0632-Directeurs des services d'hébergement",1
Nouvelle-Écosse,"     Haut salaire","Grico Transport Inc","Bedford, NS B4B 0Y3","7511-Conducteurs de camions de transport",1
Nouvelle-Écosse,"     Haut salaire","Hallmark Dental Laboratory Ltd.","Halifax, NS B3S 0G4","3223-Technologues et techniciens dentaires et auxiliaires dans les laboratoires dentaires",1
Nouvelle-Écosse,"     Haut salaire","Horizon Maritime Services Ltd.","Halifax, NS B3J 1V1","2241-Technologues et techniciens en génie électronique et électrique",2
Nouvelle-Écosse,"     Haut salaire","Irving Shipbuilding Inc","Halifax, NS B3K 5M7","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Nouvelle-Écosse,"     Haut salaire","Irving Shipbuilding Inc","Halifax, NS B3K 5M7","0113-Directeurs des achats",1
Nouvelle-Écosse,"     Haut salaire","Irving Shipbuilding Inc","Halifax, NS B3K 5M7","0211-Directeurs des services de génie",2
Nouvelle-Écosse,"     Haut salaire","Irving Shipbuilding Inc","Halifax, NS B3K 5M7","0711-Directeurs de la construction",1
Nouvelle-Écosse,"     Haut salaire","Irving Shipbuilding Inc","Halifax, NS B3K 5M7","0911-Directeurs de la fabrication",1
Nouvelle-Écosse,"     Haut salaire","Irving Shipbuilding Inc","Halifax, NS B3K 5M7","2173-Ingénieurs et concepteurs en logiciel",1
Nouvelle-Écosse,"     Haut salaire","LB3 Live Better Ltd.","Halifax, NS B3J 3E5","0712-Gestionnaires et rénovateurs en construction domiciliaire",1
Nouvelle-Écosse,"     Haut salaire","MacDonell’s Small Jobs Ltd","Georgefield, NS B0N 2L0",7271-Charpentiers-menuisiers,6
Nouvelle-Écosse,"     Haut salaire","Seaboard Liquid Carriers ltd","Dartmouth, NS B3B 0H4","7511-Conducteurs de camions de transport",1
Nouvelle-Écosse,"   Bas salaire","3293656 Nova Scotia Limited","Halifax, NS B3L 1A5","6311-Superviseurs des services alimentaires",1
Nouvelle-Écosse,"   Bas salaire","3313382 NOVA SCOTIA LTD.","Bridgewater, NS B4V 2V6",6322-Cuisiniers,1
Nouvelle-Écosse,"   Bas salaire","3343074 NOVA SCOTIA LIMITED","CHESTER, NS B0J 1J0",6322-Cuisiniers,1
Nouvelle-Écosse,"   Bas salaire","Adcor Marketing Limited","yarmouth, NS B5A 2T6","6311-Superviseurs des services alimentaires",6
Nouvelle-Écosse,"   Bas salaire","Apple Valley Foods Inc","Kentville, NS B4N 3V7","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",24
Nouvelle-Écosse,"   Bas salaire","Care and Fun Childcare limited","Halifax, NS B3M 3V3","4214-Éducateurs et aides-éducateurs de la petite enfance",1
Nouvelle-Écosse,"   Bas salaire","Dexter Construction Company Ltd.","Bedford, NS B4A 3Z2","7611-Aides de soutien des métiers et manoeuvres en construction",5
Nouvelle-Écosse,"   Bas salaire","East Coast Wild Blueberry Limited","Great Village, NS B0M 1L0","9619-Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",8
Nouvelle-Écosse,"   Bas salaire","Evan's Fresh Seafoods Ltd","Lower West Pubnico, NS B0W 2C0","7611-Aides de soutien des métiers et manoeuvres en construction",4
Nouvelle-Écosse,"   Bas salaire","Frank and Gino's Grill and Pasta House","Truro, NS B2N 1L3",6322-Cuisiniers,2
Nouvelle-Écosse,"   Bas salaire","Granville Gates and Sons Ltd","Blandford, NS B0J 1C0","9618-Manoeuvres dans la transformation du poisson et des fruits de mer",5
Nouvelle-Écosse,"   Bas salaire","Halifax Tower Hotel Ltd.","Halifax, NS B3S 1A2",6322-Cuisiniers,1
Nouvelle-Écosse,"   Bas salaire","L.J. Robicheau & Son Fisheries Limited","Middleton, NS B0S 1P0","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",33
Nouvelle-Écosse,"   Bas salaire","Louisbourg Seafoods Limited","Louisbourg, NS B1C 1B5","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",5
Nouvelle-Écosse,"   Bas salaire","Melvin tan sushi company","Antigonish, NS B2G 2V2","6311-Superviseurs des services alimentaires",1
Nouvelle-Écosse,"   Bas salaire","Naru Japanese Restaurant (NS) Ltd.","Sydney, NS B1P 1G8",6322-Cuisiniers,1
Nouvelle-Écosse,"   Bas salaire","Ocean Pride Fisheries Ltd.","Lower Wedgeport, NS B0W 2B0","9618-Manoeuvres dans la transformation du poisson et des fruits de mer",22
Nouvelle-Écosse,"   Bas salaire","Oxalis Restaurant Ltd.","Dartmouth, NS B2Y 2S6",6321-Chefs,1
Nouvelle-Écosse,"   Bas salaire","Pine House Holdings Ltd.","Halifax, NS B3J 3M7",6322-Cuisiniers,1
Nouvelle-Écosse,"   Bas salaire","Schooner Seafoods Limited","Lower Wedgeport, NS B0W 3P0","9618-Manoeuvres dans la transformation du poisson et des fruits de mer",8
Nouvelle-Écosse,"   Bas salaire","Shree Ganesh Ltd","Bridgewater, NS B4V 2S7",6322-Cuisiniers,1
Nouvelle-Écosse,"   Bas salaire","Turkuaz Restaurant Limited","Halifax, NS B4A 0J1",6322-Cuisiniers,1
Nouvelle-Écosse,"  Agriculture primaire","Atlantic Poultry Inc.","Port Williams, NS B0P 1T0","8431-Ouvriers agricoles",6
Nouvelle-Écosse,"  Agriculture primaire","Atlantic Poultry Incorporated","Port Williams, NS B0P 1T0","8431-Ouvriers agricoles",12
Nouvelle-Écosse,"  Agriculture primaire","Beech Hill Farm Ltd","Princeport, NS B6L 1R2","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Nouvelle-Écosse,"  Agriculture primaire","Black Avon Farms Ltd","Antigonish, NS B0H 1R0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Nouvelle-Écosse,"  Agriculture primaire","CAP Farms Inc","Grafton, NS B0P 1V0","8431-Ouvriers agricoles",1
Nouvelle-Écosse,"  Agriculture primaire","Craig Nichols Farms Limited","Aylesford, NS B0P 1C0","8431-Ouvriers agricoles",6
Nouvelle-Écosse,"  Agriculture primaire","DeLong Farm Products Limited","New Germany, NS B0R 1E0","8432-Ouvriers de pépinières et de serres",10
