Province/Territory,"Program Stream","Employer ","Address ","Occupation ","Requested Positions"
"Prince Edward Island","Primary Agriculture","Vanco Farms Ltd.","Mount Albion, PE C1B 0R4","8431-General farm workers",10
"Nova Scotia","High Wage","Mr Masonry Inc","Williamswood, NS B3V 1N2",7281-Bricklayers,1
"Nova Scotia","Low Wage","Care and Fun Childcare limited","Halifax, NS B3M 3V3","4214-Early childhood educators and assistants",1
"Nova Scotia","Low Wage","M.J.N.J Investments Ltd","Lunenburg, NS B0J 2C0","6311-Food service supervisors",1
"Nova Scotia","Low Wage","seven restaurants LTD","Halifax, NS B3S 1C9",6322-Cooks,1
"New Brunswick","High Wage","RITE-LINE TRANSPORTATION INC.","FLORENCEVILLE-BRISTOL, NB E7L 3K6","7511-Transport truck drivers",2
"New Brunswick","High Wage","Signature Landscape Ltd","Moncton, NB E1A 3M2","2225-Landscape and horticulture technicians and specialists",2
"New Brunswick","Low Wage","502005 NB Limited","Woodstock, NB E7M 5G5",6322-Cooks,1
"New Brunswick","Low Wage","Beacon Light Motel Limited","Moncton, NB E1C 2T1","6311-Food service supervisors",1
"New Brunswick","Low Wage","Oko Invest Ltd","Moncton, NB E1G 1A8","6341-Hairstylists and barbers",1
Quebec,"High Wage","24/7 Expertise en soins de santé Inc","Montréal, QC H2H 1J6","3012-Registered nurses and registered psychiatric nurses",1
Quebec,"High Wage","9301-0031 Québec Inc.","Saint-Alphonse-de-Granby, QC J0E 2A0","0632-Accommodation service managers",1
Quebec,"High Wage","9363-2917 Québec inc.","Montréal, QC H2Y 1Y7",6322-Cooks,1
Quebec,"High Wage","9372-2254 Québec inc.","Boucherville, QC J4B 4T9","3012-Registered nurses and registered psychiatric nurses",1
Quebec,"High Wage","9406-6453 Québec Inc.","Saint-Laurent, QC H4M 2L4","0621-Retail and wholesale trade managers",1
Quebec,"High Wage","Al Karam International Trading Inc.","BOIS-DES-FILLION, QC J6Z 1Z9","0621-Retail and wholesale trade managers",1
Quebec,"High Wage","Bar Resto Le Baobab","Chicoutimi, QC G7H 4E7",6322-Cooks,1
Quebec,"High Wage","CODE101 Inc","Quebec, QC G2E 2J2","3413-Nurse aides, orderlies and patient service associates",1
Quebec,"High Wage","G.E.M COMPAGNIE MULTISERVICES INC","Québec, QC G2L 1X8","3413-Nurse aides, orderlies and patient service associates",4
Quebec,"High Wage","Isologic Innovative Radiopharmaceuticals Ltd.","Dorval, QC H9P 1B1","2132-Mechanical engineers",1
Quebec,"High Wage","La Relève en Force inc.","Québec, QC G1K 6G7","4215-Instructors of persons with disabilities",1
Quebec,"High Wage","Les Entreprises MRA Paysagistes inc.","Quebec, QC G1N 3Y6","2282-User support technicians",1
Quebec,"High Wage","Les Entreprises MRA Paysagistes inc.","Quebec, QC G1N 3Y6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
Quebec,"High Wage","Magasins Trévi Inc.","Mirabel, QC J7J 0C4","6411-Sales and account representatives - wholesale trade (non-technical)",1
Quebec,"High Wage","Mr. Pinchot","Montréal, QC H2J 3K9",6332-Bakers,1
Quebec,"High Wage","Multi Options Nursing Inc.","Québec, QC G1W 2L4","3012-Registered nurses and registered psychiatric nurses",1
Quebec,"High Wage","PRESTIGE ELECTRIQUE INC.","pierrefonds, QC H8Z 1B1","0712-Home building and renovation managers",1
Quebec,"High Wage","Transship logistics inc.","Montréal, QC H3S 1W5","0731-Managers in transportation",1
Quebec,"Low Wage","9113-0963 Québec Inc","St-Hubert, QC J3Y 1C4","3413-Nurse aides, orderlies and patient service associates",1
Quebec,"Low Wage","9430-4714 Québec inc.","Prévost, QC J0R  1T","3413-Nurse aides, orderlies and patient service associates",1
Quebec,"Low Wage","Agence de Placement JM Santé Inc.","Saint-Jean-sur-Richelieu, QC J3B 0G8","3413-Nurse aides, orderlies and patient service associates",6
Quebec,"Global Talent Stream","9178-8877 Québec Inc.","Montréal, QC H1M 2S5","2173-Software engineers and designers",1
Ontario,"High Wage","11203568 Canada Inc","BRAMPTON, ON L6W 2B5","2173-Software engineers and designers",1
Ontario,"High Wage","1508235 Ontario Inc","Toronto, ON M6M 5A1","2233-Industrial engineering and manufacturing technologists and technicians",1
Ontario,"High Wage","1509438 Ontario Ltd","Markham, ON L3R 2A2","6211-Retail sales supervisors",1
Ontario,"High Wage","1609969 Ontario Ltd.","Brampton, ON L6P 2M9","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,"High Wage","2155299 Ontario Inc.","Scarborough, ON M1K 2X3","6315-Cleaning supervisors",1
Ontario,"High Wage","2168587 ontario ltd","NORTH YORK, ON M3J 2N7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",2
Ontario,"High Wage","2309529 Ontario Inc.","Brampton, ON L6Z 0E1","7511-Transport truck drivers",1
