Province/Territory,"Program Stream","Employer ","Address ","Occupation ","Approved Positions"
"Newfoundland and Labrador","High Wage","Dr Jacqueline Tucker Orthodontic Services Inc","St. John's, NL A1A 0L2","3223-Dental technologists, technicians and laboratory assistants",1
"Newfoundland and Labrador","High Wage","Eastern Regional Health Authority","Mount Pearl, NL A1N 3J5","3111-Specialist physicians",1
"Newfoundland and Labrador","High Wage","Fogo Island Co-operative Society Limited","Seldom, Fogo Isalnd, NL A0G 3Z0","0911-Manufacturing managers",1
"Newfoundland and Labrador","High Wage","Western Regional Health Authority","Corner Brook, NL A2H 6J7","3111-Specialist physicians",1
"Newfoundland and Labrador","Low Wage","10565 NFLD Inc","Happy Valley-Goose Bay, NL A0P 1C0",6322-Cooks,1
"Newfoundland and Labrador","Low Wage","B & F ENTERPRISES LTD.","BAIE VERTE, NL A0K 1B0",6322-Cooks,2
"Newfoundland and Labrador","Low Wage","DASH FOODS INCORPORATED","St. Anthony, NL A0K 4S0","6311-Food service supervisors",2
"Newfoundland and Labrador","Low Wage","INNU ATAUTSHUAP LTD.","Sheshatshiu, NL A0P 1M0",6322-Cooks,1
"Newfoundland and Labrador","Low Wage","T.J. Foods Enterprise Ltd","Deer Lake, NL A8A 1A9",6322-Cooks,1
"Newfoundland and Labrador","Low Wage","Vatcher Restaurant Inc","Corner Brook, NL A2H 2Y6",6322-Cooks,1
"Newfoundland and Labrador","Primary Agriculture","Comfort Cove Farms Ltd.","COMFORT COVE-NEWSTEAD, NL A0G 3K0","8431-General farm workers",4
"Newfoundland and Labrador","Primary Agriculture","New World Dairy Inc","St. David's, NL A0N 1X0","8431-General farm workers",10
"Newfoundland and Labrador","Global Talent Stream","Northern Harvest Smolt Ltd","St. Albans, NL A0H 2E0","0823-Managers in aquaculture",1
"Prince Edward Island","High Wage","Tasty Indian Cuisine Inc.","Charlottetown, PE C1A 1N4",6322-Cooks,2
"Prince Edward Island","Low Wage","Bombay Cuisine Inc","Charlottetown, PE C1A 4M8",6322-Cooks,1
"Prince Edward Island","Low Wage","Cedar Foods (2010) Limited Cedar's Eatery","Charlottetown, PE C1A 4L1",6322-Cooks,2
"Prince Edward Island","Low Wage","KILDARE FISHERIES LTD","Alberton, PE C0B 1B0","9463-Fish and seafood plant workers",75
"Prince Edward Island","Primary Agriculture","7035233 Canada Inc.","Mount Stewart, PE C0A 1T0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
"Prince Edward Island","Primary Agriculture","Atlantic Grown Organics Inc","Spring Valley, PE C0B 1M0","8432-Nursery and greenhouse workers",8
"Prince Edward Island","Primary Agriculture","Birch Farms Ltd.","Summerside, PE C1N 4J9","8431-General farm workers",4
"Prince Edward Island","Primary Agriculture","D & E Pork Inc.","Albany, PE C0B 1A0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
"Prince Edward Island","Primary Agriculture","Eastern Exporters Limited","Souris, PE C0A 2B0","8431-General farm workers",3
"Prince Edward Island","Primary Agriculture","Extondale Farms Ltd.","Oyster Bed, PE C1E 0L9","8431-General farm workers",2
"Prince Edward Island","Primary Agriculture","MGS Holdings & Distribution Ltd.","Alberton, PE C0B 1B0","8431-General farm workers",1
"Prince Edward Island","Primary Agriculture","Mol Farms Inc.","Kinkora, PE C0B 1N0","8431-General farm workers",6
"Prince Edward Island","Primary Agriculture","Vanco Farms Ltd.","Mount Albion, PE C1B 0R4","8431-General farm workers",1
"Prince Edward Island","Primary Agriculture","Victoria Potato Farm Inc.","Crapaud, PE C0A 1J0","8431-General farm workers",1
"Prince Edward Island","Primary Agriculture","W.P.  Griffin Inc.","Elmsdale, PE C0B 1K0","8431-General farm workers",10
"Nova Scotia","High Wage","10656330 Canada Inc.","Bedford, NS B4B 1G7","0111-Financial managers",1
"Nova Scotia","High Wage","3299409 Nova Scotia Limited","Beaver Bank, NS B4E 3A5","7511-Transport truck drivers",1
"Nova Scotia","High Wage","Atlantic Summit Immigration Consulting Inc","Halifax, NS B3J 3K3","1221-Administrative officers",1
"Nova Scotia","High Wage","Best royal consulting ltd.","halifax, NS B3J 3M7","1241-Administrative assistants",1
"Nova Scotia","High Wage","BGD Investments LTD","French Road, NS B1K 1Z4","9437-Woodworking machine operators",6
"Nova Scotia","High Wage","Comfort Orthotics & Podiatry Clinic Inc.","Bedford, NS B4A 3Y4","3125-Other professional occupations in health diagnosing and treating",1
"Nova Scotia","High Wage","Dalhousie University","Halifax, NS B3H 4H2","4011-University professors and lecturers",3
"Nova Scotia","High Wage","GPC Investments Limited cob Comfort Inn Halifax","Halifax, NS B3M 2L8","1311-Accounting technicians and bookkeepers",1
"Nova Scotia","High Wage","Irving Shipbuilding Inc","Halifax, NS B3K 5M7","2171-Information systems analysts and consultants",1
"Nova Scotia","High Wage","IT International Telecom Inc.","Halifax, NS B3K 5X8","1522-Storekeepers and partspersons",1
"Nova Scotia","High Wage","IT International Telecom Inc.","Halifax, NS B3K 5X8","2273-Deck officers, water transport",1
"Nova Scotia","High Wage","IT International Telecom Inc.","Halifax, NS B3K 5X8","2274-Engineer officers, water transport",4
