Province/Territory,"Program Stream","Employer ","Address ","Occupation ","Incorporate Status","Requested LMIAs","Requested Positions"
"Newfoundland and Labrador","    High Wage","Canada Fluorspar Inc.","St. Lawrence, NL A0E 2V0","0016-Senior managers - construction, transportation, production and utilities",Corporation,1,1
"Newfoundland and Labrador","   Low Wage","Rainbow Daycare Company Ltd","St.John's, NL A1B 4C4","4214-Early childhood educators and assistants",Unknown,1,1
"Nova Scotia","    High Wage","Dundee Resort & Golf Club ULC","West Bay, NS B0E 3K0","2282-User support technicians",Unknown,1,1
"Nova Scotia","    High Wage","KJRB Contracting Ltd.","Tantallon, NS B3Z 4M4","7284-Plasterers, drywall installers and finishers and lathers",Unknown,1,1
"New Brunswick","    High Wage","CATHAY ATLANTIC CONSULTING AND SERVICE INC.","Moncton, NB E1E 2C2","0121-Insurance, real estate and financial brokerage managers",Unknown,1,1
"New Brunswick","    High Wage","WOOD MULCHING GUYS LTD","Sainte-Anne-de-Kent, NB E4S 1A9","7511-Transport truck drivers",Unknown,1,2
"New Brunswick","   Low Wage","Atlantic Star Uniforms 2009 Inc.","Edmundston, NB E3V 4K1","6342-Tailors, dressmakers, furriers and milliners",Unknown,1,2
"New Brunswick","   Low Wage","Castle TDJ Inc.","Miramichi, NB E1V 1L2",6322-Cooks,Unknown,1,1
"New Brunswick","   Low Wage","McNair Management Inc","Moncton, NB E1A 5P7","3413-Nurse aides, orderlies and patient service associates",Unknown,1,3
"New Brunswick","   Low Wage","Surfside Motel Ltd","Grand Manan, NB E5G 1A4","0711-Construction managers",Unknown,1,1
"New Brunswick","   Low Wage","Zoa Mansu B.B.Q Inc","Dieppe, NB E1A 1G1",6322-Cooks,Unknown,1,1
Quebec,"    High Wage","90759630 QUEBEC INC","St-Leonard, QC H1S 2J2","7511-Transport truck drivers",Unknown,1,3
Quebec,"    High Wage","9400-5568 Québec inc.","Roxboro, QC H8Y 1S1","4163-Business development officers and marketing researchers and consultants","Sole Proprietorship",1,1
Quebec,"    High Wage","Acceco International Supply Chain Solutions Inc","Montreal, QC H2K  1W","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Corporation,1,1
Quebec,"    High Wage","L'Ours Brun Déménagement Inc","LeMoyne, QC J4P 3M1","1222-Executive assistants",Corporation,1,1
Quebec,"   Low Wage","Soins intermédiaire Inc.","Montréal, QC H4V 1S7","3413-Nurse aides, orderlies and patient service associates",Unknown,1,7
Quebec," Global Talent Stream","Guo Ao Lithium Ltd.","Montreal, QC J3Y  0L","0016-Senior managers - construction, transportation, production and utilities",Corporation,1,1
Quebec," Global Talent Stream","Komutel Inc.","Saint-Georges, QC G5Y 0R4","2174-Computer programmers and interactive media developers",Corporation,1,2
Ontario,"    High Wage","11518950 Canada Inc.","TORONTO, ON M4K 2Z9","0651-Managers in customer and personal services, n.e.c.",Corporation,1,1
Ontario,"    High Wage","1199893 Ontario Limited","Etobicoke, ON M9W 6J9","7313-Refrigeration and air conditioning mechanics",Unknown,1,1
Ontario,"    High Wage","1496417 Ontario Ltd.","Toronto, ON M9W 4V8","7511-Transport truck drivers",Unknown,1,3
Ontario,"    High Wage","1701137 Ontario Inc.","Etobicoke, ON M9C 2Z3","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1
Ontario,"    High Wage","1794537 ontario Inc","Markham, ON L3R 0B8","1221-Administrative officers",Unknown,1,1
Ontario,"    High Wage","2325090 ONTARIO INC.","Brampton, ON L6P 3L3","7242-Industrial electricians",Unknown,1,1
Ontario,"    High Wage","2334872 Ontario Inc.","Toronto, ON M6A 2C1","0124-Advertising, marketing and public relations managers",Unknown,1,1
Ontario,"    High Wage","2441646 ONTARIO INC.","THORNHILL, ON L4J 8P6","0124-Advertising, marketing and public relations managers",Unknown,1,1
Ontario,"    High Wage","2524971 ONTARIO INC","Peterborough, ON K9H 5Z5","6311-Food service supervisors",Unknown,1,1
Ontario,"    High Wage","2659586 Ontario Inc.","Richmond Hill, ON L4E 0T8","1221-Administrative officers",Unknown,1,1
Ontario,"    High Wage","Aarwiz International Inc.","Brampton, ON L6R 1W3","2171-Information systems analysts and consultants",Unknown,1,1
Ontario,"    High Wage","Andes Auto Conection Ltd.","Etobicoke, ON M8Z 2R6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,2
Ontario,"    High Wage","ANSAM ELECTRICALS INC","BRAMPTON, ON L6P 2S9","2241-Electrical and electronics engineering technologists and technicians",Unknown,1,1
Ontario,"    High Wage","Atlantic-ON United Trading Group Inc.","Toronto, ON M2J 4V6","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1
Ontario,"    High Wage","Barrie Taxi Ltd","Barrie, ON L4N 9A7","1221-Administrative officers",Unknown,1,1
