",,,,,,,
Province/Territoire,"Volet du programme",Employeur,Adresse,"Profession ","Incorporer le statut","EIMT demandes","Postes demandes"
Terre-Neuve-et-Labrador,"     Haut salaire","Canada Fluorspar Inc.","St. Lawrence, NL A0E 2V0","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",Corporation,1,1
Terre-Neuve-et-Labrador,"   Bas salaire","Rainbow Daycare Company Ltd","St.John's, NL A1B 4C4","4214-Éducateurs et aides-éducateurs de la petite enfance",Inconnu,1,1
Nouvelle-Écosse,"     Haut salaire","Dundee Resort & Golf Club ULC","West Bay, NS B0E 3K0","2282-Agents de soutien aux utilisateurs",Inconnu,1,1
Nouvelle-Écosse,"     Haut salaire","KJRB Contracting Ltd.","Tantallon, NS B3Z 4M4","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",Inconnu,1,1
Nouveau-Brunswick,"     Haut salaire","CATHAY ATLANTIC CONSULTING AND SERVICE INC.","Moncton, NB E1E 2C2","0121-Directeurs des assurances, de l'immobilier et du courtage financier",Inconnu,1,1
Nouveau-Brunswick,"     Haut salaire","WOOD MULCHING GUYS LTD","Sainte-Anne-de-Kent, NB E4S 1A9","7511-Conducteurs de camions de transport",Inconnu,1,2
Nouveau-Brunswick,"   Bas salaire","Atlantic Star Uniforms 2009 Inc.","Edmundston, NB E3V 4K1","6342-Tailleurs, couturiers, fourreurs et modistes",Inconnu,1,2
Nouveau-Brunswick,"   Bas salaire","Castle TDJ Inc.","Miramichi, NB E1V 1L2",6322-Cuisiniers,Inconnu,1,1
Nouveau-Brunswick,"   Bas salaire","McNair Management Inc","Moncton, NB E1A 5P7","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",Inconnu,1,3
Nouveau-Brunswick,"   Bas salaire","Surfside Motel Ltd","Grand Manan, NB E5G 1A4","0711-Directeurs de la construction",Inconnu,1,1
Nouveau-Brunswick,"   Bas salaire","Zoa Mansu B.B.Q Inc","Dieppe, NB E1A 1G1",6322-Cuisiniers,Inconnu,1,1
Québec,"     Haut salaire","90759630 QUEBEC INC","St-Leonard, QC H1S 2J2","7511-Conducteurs de camions de transport",Inconnu,1,3
Québec,"     Haut salaire","9400-5568 Québec inc.","Roxboro, QC H8Y 1S1","4163-Agents de développement économique, recherchistes et experts-conseils en marketing","Entreprise à propriétaire unique",1,1
Québec,"     Haut salaire","Acceco International Supply Chain Solutions Inc","Montreal, QC H2K  1W","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",Corporation,1,1
Québec,"     Haut salaire","L'Ours Brun Déménagement Inc","LeMoyne, QC J4P 3M1","1222-Adjoints de direction",Corporation,1,1
Québec,"   Bas salaire","Soins intermédiaire Inc.","Montréal, QC H4V 1S7","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",Inconnu,1,7
Québec,"  Talent mondial","Guo Ao Lithium Ltd.","Montreal, QC J3Y  0L","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",Corporation,1,1
Québec,"  Talent mondial","Komutel Inc.","Saint-Georges, QC G5Y 0R4","2174-Programmeurs et développeurs en médias interactifs",Corporation,1,2
Ontario,"     Haut salaire","11518950 Canada Inc.","TORONTO, ON M4K 2Z9","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",Corporation,1,1
Ontario,"     Haut salaire","1199893 Ontario Limited","Etobicoke, ON M9W 6J9","7313-Mécaniciens en réfrigération et en climatisation",Inconnu,1,1
Ontario,"     Haut salaire","1496417 Ontario Ltd.","Toronto, ON M9W 4V8","7511-Conducteurs de camions de transport",Inconnu,1,3
Ontario,"     Haut salaire","1701137 Ontario Inc.","Etobicoke, ON M9C 2Z3","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",Inconnu,1,1
Ontario,"     Haut salaire","1794537 ontario Inc","Markham, ON L3R 0B8","1221-Agents d'administration",Inconnu,1,1
Ontario,"     Haut salaire","2325090 ONTARIO INC.","Brampton, ON L6P 3L3","7242-Électriciens industriels",Inconnu,1,1
Ontario,"     Haut salaire","2334872 Ontario Inc.","Toronto, ON M6A 2C1","0124-Directeurs de la publicité, du marketing et des relations publiques",Inconnu,1,1
Ontario,"     Haut salaire","2441646 ONTARIO INC.","THORNHILL, ON L4J 8P6","0124-Directeurs de la publicité, du marketing et des relations publiques",Inconnu,1,1
Ontario,"     Haut salaire","2524971 ONTARIO INC","Peterborough, ON K9H 5Z5","6311-Superviseurs des services alimentaires",Inconnu,1,1
Ontario,"     Haut salaire","2659586 Ontario Inc.","Richmond Hill, ON L4E 0T8","1221-Agents d'administration",Inconnu,1,1
Ontario,"     Haut salaire","Aarwiz International Inc.","Brampton, ON L6R 1W3","2171-Analystes et consultants en informatique",Inconnu,1,1
Ontario,"     Haut salaire","Andes Auto Conection Ltd.","Etobicoke, ON M8Z 2R6","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",Inconnu,1,2
Ontario,"     Haut salaire","ANSAM ELECTRICALS INC","BRAMPTON, ON L6P 2S9","2241-Technologues et techniciens en génie électronique et électrique",Inconnu,1,1
Ontario,"     Haut salaire","Atlantic-ON United Trading Group Inc.","Toronto, ON M2J 4V6","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",Inconnu,1,1
Ontario,"     Haut salaire","Barrie Taxi Ltd","Barrie, ON L4N 9A7","1221-Agents d'administration",Inconnu,1,1
Ontario,"     Haut salaire","Bounce Transport Inc.","Brampton, ON L6R 3E6","1221-Agents d'administration",Inconnu,1,1
Ontario,"     Haut salaire","Caravan Logistics Inc.","Oakville, ON L6L 6M1","7511-Conducteurs de camions de transport",Inconnu,1,5
Ontario,"     Haut salaire","CEDARCOVE DEVELOPMENTS INC.","NORTH YORK, ON M6A 3A1",7271-Charpentiers-menuisiers,Inconnu,1,1
Ontario,"     Haut salaire","Central Painting Inc.","Barrie, ON L4N 9A5","7294-Peintres et décorateurs (sauf décorateurs d'intérieur)",Inconnu,1,2
Ontario,"     Haut salaire","Chinguacousy Physio and Foot Clinic","Brampton, ON L6X 5K7","1241-Adjoints administratifs",Inconnu,1,1
Ontario,"     Haut salaire","CNB Computers Inc.","Mississauga, ON L4V 1K1","1121-Professionnels en ressources humaines",Inconnu,1,1
Ontario,"     Haut salaire","Coordinate Industries Ltd","Oakville, ON L6H 5R1","7231-Machinistes et vérificateurs d'usinage et d'outillage",Inconnu,1,1
Ontario,"     Haut salaire","Cosmopolitan Construction Inc.","Mississauga, ON L5L 2G7","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",Inconnu,1,2
Ontario,"     Haut salaire","CRYSTAL FOUNTAIN INC.","TORONTO, ON L4K 4B3","2253-Technologues et techniciens en dessin",Inconnu,1,1
Ontario,"     Haut salaire","DARK Enterprise","Hearst, ON P0L 1N0","7511-Conducteurs de camions de transport",Inconnu,2,2
Ontario,"     Haut salaire","DIGI Technologies International Inc.","Mississauga, ON L4W 1E4","7246-Installateurs et réparateurs de matériel de télécommunications",Inconnu,1,1
Ontario,"     Haut salaire","Drummond Brothers Landscaping Ltd","Mitchell, ON N0K 1N0","8612-Manoeuvres en aménagement paysager et en entretien des terrains",Corporation,1,1
Ontario,"     Haut salaire","ESIT Canada Enterprise Services Co.","Mississauga, ON L4W 5G2","0213-Gestionnaires des systèmes informatiques",Corporation,1,1
Ontario,"     Haut salaire","Feels Like Home Films Inc.","Toronto, ON M6H  2X","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Coopérative,1,1
Ontario,"     Haut salaire","Fida Construction INC","Whitby, ON L1N 9N8","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",Inconnu,1,1
Ontario,"     Haut salaire","G&R Saikali Contracting LTD","pickering, ON L1V 1X6","2253-Technologues et techniciens en dessin",Inconnu,1,1
Ontario,"     Haut salaire","GVR Imports Inc","Mississauga, ON L5W 1L2","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",Inconnu,1,1
Ontario,"     Haut salaire","Hercules Custom Fabrication Ltd.","Ayr, ON N0B 1E0","7237-Soudeurs et opérateurs de machines à souder et à braser",Inconnu,1,2
Ontario,"     Haut salaire","Ironstone Forming 2020 Ltd.","Etobicoke, ON M9P 2Z7",7271-Charpentiers-menuisiers,Inconnu,1,5
Ontario,"     Haut salaire","JD Trans Inc.","Cambridge, ON N1R 3H9","7511-Conducteurs de camions de transport",Inconnu,1,5
Ontario,"     Haut salaire","KANMAN LOGISTICS INC.","Brampton, ON L6W 3W8","2174-Programmeurs et développeurs en médias interactifs",Inconnu,1,1
