",,,,,,,
Province/Territoire,"Volet du programme",Employeur,Adresse,"Profession ","Incorporer le statut","EIMT Approuvés","Postes Approuvés"
Terre-Neuve-et-Labrador,"     Haut salaire","Fibreglass Works Ltd","Wareham,Centreville,Trinity, NL A0G 4P0","9535-Assembleurs, finisseurs et contrôleurs de produits en plastique",Inconnu,1,5
Terre-Neuve-et-Labrador,"     Haut salaire","Green Bay Fibre Products ltd","King's Point, NL A0J 1H0",7271-Charpentiers-menuisiers,Inconnu,1,1
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","0711-Directeurs de la construction",Corporation,2,2
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","0731-Directeurs des transports",Corporation,1,1
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","1221-Agents d'administration",Corporation,2,2
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","1522-Magasiniers et commis aux pièces",Corporation,1,1
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","2113-Géoscientifiques et océanographes",Corporation,5,5
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","2232-Technologues et techniciens en génie mécanique",Corporation,11,14
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","2241-Technologues et techniciens en génie électronique et électrique",Corporation,2,4
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","2263-Inspecteurs de la santé publique, de l'environnement et de l'hygiène et de la sécurité au travail",Corporation,1,2
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","2273-Officiers de pont du transport par voies navigables",Corporation,9,9
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","2274-Officiers mécaniciens du transport par voies navigables",Corporation,7,8
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","6522-Commissaires et agents de bord",Corporation,2,2
