Province/Territoire,"Volet du programme",Employeur,Adresse,"Profession ","Incorporer le statut","EIMT demandes","Postes demandes"
Nouvelle-Écosse,"     Haut salaire","Independent Fisheries Limited","Sable River, NS B0T 1V0","1524-Commis aux achats et au contrôle de l'inventaire",Inconnu,1,1
Nouveau-Brunswick,"   Bas salaire","Corey Craig Ltd","Moncton, NB, NB E1C 1E3","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",Inconnu,1,4
Nouveau-Brunswick,"   Bas salaire","Tri Province Enterprises 1984 Ltd","Moncton, NB E1A 3A5","9416-Opérateurs de machines à travailler les métaux légers et lourds, et de machines de formage",Inconnu,1,1
Québec,"     Haut salaire","9427-7308 QUEBEC INC.","Montreal, QC H3T 1Y7",6322-Cuisiniers,Inconnu,1,1
Québec,"     Haut salaire","Chocmod Canada Inc.","Saint-Jean-sur-Richelieu, QC J2W 0G9","2141-Ingénieurs d'industrie et de fabrication",Corporation,1,1
Québec,"     Haut salaire","DEL INC.","Montreal, QC H3W 3E3","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",Inconnu,1,5
Québec,"     Haut salaire","Emergence Plus Inc.","Québec, QC G1H 2V1","2171-Analystes et consultants en informatique",Inconnu,1,1
Québec,"     Haut salaire","Personnel Marcoux Inc","Magog, QC J1X 3L2","7237-Soudeurs et opérateurs de machines à souder et à braser",Inconnu,1,1
Québec,"     Haut salaire","Placement Main D'oeuvre Speciale Inc","Laval, QC H7V 0C2","9523-Assembleurs, monteurs, contrôleurs et vérificateurs de matériel électronique",Inconnu,1,6
Québec,"   Bas salaire","9290-3855 Qc. Inc","Québec, QC G1L 2W4",6322-Cuisiniers,Partenariat,1,1
Québec,"   Bas salaire","9358-8093 Québec inc.","Montreal, QC H8N 1T3",6322-Cuisiniers,Inconnu,1,5
Québec,"   Bas salaire","9409-2830 QUEBEC INC","Rouyn-Noranda, QC J9X 2A8","6731-Préposés à l'entretien ménager et au nettoyage - travaux légers",Inconnu,1,6
