Province/Territory,"Program Stream","Employer ","Address ","Occupation ","Incorporate Status","Approved LMIAs","Approved Positions"
"Newfoundland and Labrador","    High Wage","Central Regional Health Authority","GRAND FALLS - WINDSOR, NL A2A 2E1","3111-Specialist physicians","Non-Profit Organization",3,3
"Newfoundland and Labrador","    High Wage","Memorial University of Newfoundland and Labrador","St. John's, NL A1C 5S7","4011-University professors and lecturers",Unknown,1,1
"Newfoundland and Labrador","    High Wage","Oceanex Inc.","St. John's, NL A1C 1K4","0731-Managers in transportation",Unknown,1,1
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","2113-Geoscientists and oceanographers",Corporation,1,1
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","7302-Contractors and supervisors, heavy equipment operator crews",Corporation,1,1
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","7371-Crane operators",Corporation,1,1
"Newfoundland and Labrador","    High Wage","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","7384-Other trades and related occupations, n.e.c.",Corporation,2,2
"Newfoundland and Labrador","    High Wage","Western Regional Health Authority","Corner Brook, NL A2H 6J7","3111-Specialist physicians",Unknown,2,2
"Newfoundland and Labrador","   Low Wage","3T's Limited","Woody Point, NL A0K 1P0","9463-Fish and seafood plant workers",Corporation,1,3
"Newfoundland and Labrador","   Low Wage","72764 Newfoundland and Labrador Ltd.","Springdale, NL A0J 1T0","6311-Food service supervisors",Unknown,1,1
"Newfoundland and Labrador","   Low Wage","76361 NL Inc.","Deer Lake, NL A8A 1E6","6311-Food service supervisors",Unknown,1,2
"Newfoundland and Labrador","   Low Wage","Awesome Enterprises Ltd","Mount Pearl, NL A1N 3J5","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
"Newfoundland and Labrador","   Low Wage","BJH Enterprises Inc.","St. John's, NL A1B 3R4",6322-Cooks,Unknown,1,1
"Newfoundland and Labrador","   Low Wage","BSM Investments Inc.","Conception Bay South, NL A1X 0C8",6322-Cooks,Unknown,1,1
