Province/Territoire,"Volet du programme",Employeur,Adresse,"Profession ","Incorporer le statut","EIMT Approuvés","Postes Approuvés"
Terre-Neuve-et-Labrador,"     Haut salaire","Central Regional Health Authority","GRAND FALLS - WINDSOR, NL A2A 2E1","3111-Médecins spécialistes","Organisme sans but lucratif",3,3
Terre-Neuve-et-Labrador,"     Haut salaire","Memorial University of Newfoundland and Labrador","St. John's, NL A1C 5S7","4011-Professeurs et chargés de cours au niveau universitaire",Inconnu,1,1
Terre-Neuve-et-Labrador,"     Haut salaire","Oceanex Inc.","St. John's, NL A1C 1K4","0731-Directeurs des transports",Inconnu,1,1
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","2113-Géoscientifiques et océanographes",Corporation,1,1
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","7302-Entrepreneurs et contremaîtres des équipes d'opérateurs d'équipement lourd",Corporation,1,1
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3",7371-Grutiers,Corporation,1,1
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","7384-Autre personnel des métiers et personnel assimilé, n.c.a.",Corporation,2,2
Terre-Neuve-et-Labrador,"     Haut salaire","Western Regional Health Authority","Corner Brook, NL A2H 6J7","3111-Médecins spécialistes",Inconnu,2,2
Terre-Neuve-et-Labrador,"   Bas salaire","3T's Limited","Woody Point, NL A0K 1P0","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Corporation,1,3
Terre-Neuve-et-Labrador,"   Bas salaire","72764 Newfoundland and Labrador Ltd.","Springdale, NL A0J 1T0","6311-Superviseurs des services alimentaires",Inconnu,1,1
Terre-Neuve-et-Labrador,"   Bas salaire","76361 NL Inc.","Deer Lake, NL A8A 1E6","6311-Superviseurs des services alimentaires",Inconnu,1,2
Terre-Neuve-et-Labrador,"   Bas salaire","Awesome Enterprises Ltd","Mount Pearl, NL A1N 3J5","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",Inconnu,1,2
