Province/Territoire,"Volet du programme",Employeur,Adresse,"Profession ","Incorporer le statut","EIMT demandes","Postes demandes"
Île-du-Prince-Édouard,"   Bas salaire","JATT Drywall & Painting Ltd.","North Wiltshire, PE C0A 1Y0","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",Inconnu,1,1
Île-du-Prince-Édouard,"   Bas salaire","Splendid Essence Restaurant Inc.","Charlottetown, PE C1A 4R9",6321-Chefs,Inconnu,1,1
Nouvelle-Écosse,"     Haut salaire","FISH-N-TALES FISHERIES INC.","D'Escousse, NS B0E 1K0","1222-Adjoints de direction",Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","3286486 Nova Scotia Limited","New Minas, NS B4N 3G2",6322-Cuisiniers,Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","Schooner Seafoods Limited","Lower Wedgeport, NS B0W 3P0","9213-Surveillants dans la transformation des aliments, des boissons et des produits connexes",Inconnu,1,1
Nouveau-Brunswick,"   Bas salaire","Greystone Energy Systems, Inc.","Moncton, NB E1E 4G7","9523-Assembleurs, monteurs, contrôleurs et vérificateurs de matériel électronique",Inconnu,1,1
Québec,"     Haut salaire","9176-8754 Québec Inc.","Québec, QC G1C 3P7","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus","Entreprise à propriétaire unique",1,1
Québec,"     Haut salaire","9307-7378 Quebec inc.","Ange-Gardien, QC J0E 1E0","0631-Directeurs de la restauration et des services alimentaires",Inconnu,1,1
Québec,"     Haut salaire","9359-1873 Québec Inc","Québec, QC G1W 2L3",6322-Cuisiniers,Inconnu,1,1
Québec,"     Haut salaire","9373-1099 Quebec Inc.","St-Blaise-Sur-Richelieu, QC J0J  1W",6322-Cuisiniers,Corporation,1,1
Québec,"     Haut salaire","9445-9146 Québec Inc.","Dollard-des-Ormeaux, QC H9B 2M9","1241-Adjoints administratifs",Corporation,1,1
Québec,"     Haut salaire","9449-9399 Québec Inc.","Dorval, QC H9S 1A7","1225-Agents aux achats",Corporation,1,1
Québec,"     Haut salaire","Centre Agricole J.L.D. inc.","Laval, QC H7E 5N2","7312-Mécaniciens d'équipement lourd",Inconnu,1,1
Québec,"     Haut salaire","Gestion Les Jardins de l'Aubade Inc.","Montréal, QC H1M 3X4","1224-Agents de gestion immobilière",Corporation,1,1
Québec,"     Haut salaire","GR7 Architecture inc.","Longueuil, QC J4H 2T2",2151-Architectes,Inconnu,1,1
Québec,"     Haut salaire","Maltem Canada inc.","Montréal, QC H2T  1A","2171-Analystes et consultants en informatique",Corporation,1,1
Québec,"     Haut salaire","Placement Médical B.N.C. Inc.","Laval, QC H7P 2P1","3012-Infirmiers autorisés et infirmiers psychiatriques autorisés",Corporation,1,1
Québec,"   Bas salaire","9305-3775 QUEBEC INC","Montréal, QC H4B 1V8","6513-Serveurs d'aliments et de boissons",Inconnu,1,2
Québec,"   Bas salaire","9306-0051 Québec Inc.","Laval, QC H7K  3G",6322-Cuisiniers,Corporation,1,1
Québec,"   Bas salaire","9387-3180 Québec inc.","Lévis, QC G6V 6E2","6513-Serveurs d'aliments et de boissons",Corporation,1,2
Québec,"   Bas salaire","Alimentation America Inc.","McMasterville, QC J4G 6P3",6322-Cuisiniers,Corporation,2,3
Québec,"   Bas salaire","Boulangerie Pâtisserie la Fleur de Sel Inc.","Montréal, QC H2E 1V7",6322-Cuisiniers,Corporation,1,1
Québec,"   Bas salaire","Eggstyle Corbusier","Laval, QC H7N 0A8",6322-Cuisiniers,Inconnu,1,1
Québec,"   Bas salaire","Garderie Les Deux Oursons Inc.","Montréal, QC H4R 1K8","4214-Éducateurs et aides-éducateurs de la petite enfance",Corporation,1,1
Québec,"   Bas salaire","ITI PLACEMENT RESSOURCES INC.","Québec, QC G2E 5G5","2282-Agents de soutien aux utilisateurs",Corporation,1,1
Québec,"   Bas salaire","Mayap De Nouayou Odile","Gatineau, QC J9J 4C2","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",Inconnu,1,1
Québec,"   Bas salaire","Soins et confort Inc.","Montréal, QC H8Y  2M","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",Corporation,1,2
Québec,"   Bas salaire","Tim hortons","Rouyn-noranda, QC J9X 2H5","6311-Superviseurs des services alimentaires",Inconnu,1,1
Québec,"  Agriculture primaire","Ferme Pikani inc.","SAINT-DENIS-DE-LA-BOUTEILLERIE, QC G0L 2R0","8431-Ouvriers agricoles",Corporation,1,1
Québec,"  Agriculture primaire","RP2R S.E.C.","NOTRE-DAME-DU-BON-CONSEIL, QC J0C 1A0","8431-Ouvriers agricoles",Corporation,1,1
Québec,"  Talent mondial","Industrious Canada Staffing LTD.","Montréal, QC H3A  3G","2173-Ingénieurs et concepteurs en logiciel","Entreprise à propriétaire unique",1,1
Ontario,"     Haut salaire","1000209309 ONTARIO INC.","NEPEAN, ON K2J 7A1","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",Inconnu,1,1
Ontario,"     Haut salaire","1069195 Ontario Inc.","Toronto, ON M5H 2Y4","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",Inconnu,1,1
Ontario,"     Haut salaire","1593036 ontario inc","Toronto, ON M5V 1L7",6321-Chefs,Inconnu,1,2
Ontario,"     Haut salaire","2109971 Ontario Inc.","Etobicoke, ON M9W 5R1","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",Inconnu,1,1
