Province/Territoire,"Volet du programme",Employeur,Adresse,"Profession ","Incorporer le statut","EIMT Approuvés","Postes Approuvés"
Terre-Neuve-et-Labrador,"     Haut salaire","A.B Clarke Electric Ltd","Cbs, NL A1W 5T8","1241-Adjoints administratifs",Inconnu,1,1
Terre-Neuve-et-Labrador,"     Haut salaire","AB Complex Inc.","Gander, NL A1V 1X3","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",Inconnu,1,1
Terre-Neuve-et-Labrador,"     Haut salaire","Central Regional Health Authority","GRAND FALLS - WINDSOR, NL A2A 2E1","3111-Médecins spécialistes","Organisme sans but lucratif",2,2
Terre-Neuve-et-Labrador,"     Haut salaire","Eastern Regional Health Authority","Mount Pearl, NL A1N 3J5","3111-Médecins spécialistes",Inconnu,1,1
Terre-Neuve-et-Labrador,"     Haut salaire","Memorial University of Newfoundland and Labrador","St. John's, NL A1C 5S7","4011-Professeurs et chargés de cours au niveau universitaire",Inconnu,1,1
Terre-Neuve-et-Labrador,"   Bas salaire","60178 Newfoundland & Labrador Corp","Placentia, NL A0B 2Y0","6311-Superviseurs des services alimentaires",Inconnu,1,2
Terre-Neuve-et-Labrador,"   Bas salaire","61144 Newfoundland and Labrador Inc","St John's, NL A1E 4P3",7452-Manutentionnaires,Inconnu,1,1
Terre-Neuve-et-Labrador,"   Bas salaire","72764 Newfoundland and Labrador Ltd.","Springdale, NL A0J 1T0","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",Inconnu,1,2
Terre-Neuve-et-Labrador,"   Bas salaire","86956 NEWFOUNDLAND & LABRADOR INC.","St. John's, NL A1B 3R2","6341-Coiffeurs et barbiers",Inconnu,1,1
Terre-Neuve-et-Labrador,"   Bas salaire","87602 NEWFOUNDLAND AND LABRADOR CORP","Rocky Harbour, NL A0K 4N0","6211-Superviseurs des ventes - commerce de détail",Inconnu,1,2
Terre-Neuve-et-Labrador,"   Bas salaire","Allens Fisheries Limited","Benoits Cove, NL A0L 1A0","9618-Manoeuvres dans la transformation du poisson et des fruits de mer",Inconnu,1,12
Terre-Neuve-et-Labrador,"   Bas salaire","AQUA CRAB PRODUCERS INC","AQUAFORTE, NL A0A 1A0","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Inconnu,1,21
Terre-Neuve-et-Labrador,"   Bas salaire","Atlantic Grocery Distributors Ltd","Bay Roberts, NL A0A 1G0","6622-Garnisseurs de tablettes, commis et préposés aux commandes dans les magasins",Inconnu,1,5
Terre-Neuve-et-Labrador,"   Bas salaire","Atlantic Grocery Distributors Ltd","Bay Roberts, NL A0A 1G0","7511-Conducteurs de camions de transport",Inconnu,1,2
Terre-Neuve-et-Labrador,"   Bas salaire","B & F ENTERPRISES LTD.","BAIE VERTE, NL A0K 1B0","6311-Superviseurs des services alimentaires",Inconnu,1,1
Terre-Neuve-et-Labrador,"   Bas salaire","Baba Q's Smoke & Grill Restaurant Ltd","Labrador City, NL A2V 2B6",6322-Cuisiniers,Inconnu,1,3
Terre-Neuve-et-Labrador,"   Bas salaire","Baba Q's Smoke & Grill Restaurant Ltd","Labrador City, NL A2V 2B6",6512-Barmans/barmaids,Inconnu,1,2
Terre-Neuve-et-Labrador,"   Bas salaire","Baba Q's Smoke & Grill Restaurant Ltd","Labrador City, NL A2V 2B6","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",Inconnu,1,6
Terre-Neuve-et-Labrador,"   Bas salaire","Barry Group Inc","Port De Grave, NL A0A 3J0","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Corporation,1,15
Terre-Neuve-et-Labrador,"   Bas salaire","Barry Group Inc","Witless Bay, NL A0A 4K0","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Corporation,1,17
Terre-Neuve-et-Labrador,"   Bas salaire","Barry Group Inc.","Corner Brook, NL A2H 3E9","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Inconnu,2,65
Terre-Neuve-et-Labrador,"   Bas salaire","Barry Group Inc.","Corner Brook, NL A2H 3E9","9618-Manoeuvres dans la transformation du poisson et des fruits de mer",Inconnu,2,15
Terre-Neuve-et-Labrador,"   Bas salaire","CBS FOODS LTD","CONCEPTION BAY, NL A1W 3A6",6322-Cuisiniers,Inconnu,1,2
Terre-Neuve-et-Labrador,"   Bas salaire","DaMarcus RestoBar Corp","corner brook, NL A2H 4B5","6311-Superviseurs des services alimentaires",Inconnu,1,1
Terre-Neuve-et-Labrador,"   Bas salaire","DaMarcus RestoBar Corp","corner brook, NL A2H 4B5",6322-Cuisiniers,Inconnu,1,1
Terre-Neuve-et-Labrador,"   Bas salaire","Deer Lake Holdings Limited","Deer Lake, NL A8A 2E8","6525-Réceptionnistes d'hôtel",Inconnu,1,1
Terre-Neuve-et-Labrador,"   Bas salaire","Dr Chandrasegaram Labrador Prof Dental Corp","Happy Valley Goose Bay, NL A0P 1C0","3411-Assistants dentaires",Inconnu,1,1
Terre-Neuve-et-Labrador,"   Bas salaire","Fogo Island Co-operative Society Limited","Seldom, Fogo Isalnd, NL A0G 3Z0","9618-Manoeuvres dans la transformation du poisson et des fruits de mer",Inconnu,1,25
Terre-Neuve-et-Labrador,"   Bas salaire","Hebert's Recycling Inc.","Mount Pearl, NL A1N 4S7","9619-Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",Inconnu,1,6
Terre-Neuve-et-Labrador,"   Bas salaire","I.C. Pizza House Inc.","PARADISE, NL A1L 1S6",6322-Cuisiniers,Inconnu,1,2
Terre-Neuve-et-Labrador,"   Bas salaire","K. & S. Holdings Ltd.","LABRADOR CITY, NL A2V 2W7",6322-Cuisiniers,Inconnu,1,1
Terre-Neuve-et-Labrador,"   Bas salaire","Nl Spice Box inc","ST.JOHNS, NL A1E 2E3",6322-Cuisiniers,Inconnu,1,1
Terre-Neuve-et-Labrador,"   Bas salaire","Ocean Choice International","St. John's, NL A1B 3N4","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Inconnu,3,65
Terre-Neuve-et-Labrador,"   Bas salaire","P.J. 's Groceteria Limited","Torbay, NL A1K 1K7","6211-Superviseurs des ventes - commerce de détail",Inconnu,1,3
Terre-Neuve-et-Labrador,"   Bas salaire","Quin-Sea Fisheries","St. John's, NL A1B 4B4","9618-Manoeuvres dans la transformation du poisson et des fruits de mer",Inconnu,1,80
Terre-Neuve-et-Labrador,"   Bas salaire","St. Mary's Bay Fisheries Inc.","St. Mary's, NL A0B 3B0","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Inconnu,1,118
Terre-Neuve-et-Labrador,"   Bas salaire","St. Mary's Bay Fisheries Inc.","St. Mary's, NL A0B 3B0","9618-Manoeuvres dans la transformation du poisson et des fruits de mer",Inconnu,1,22
Terre-Neuve-et-Labrador,"   Bas salaire","Topsail Foods Enterprise Inc","St. John's, NL A1E 2E2","6311-Superviseurs des services alimentaires",Inconnu,1,3
Terre-Neuve-et-Labrador,"   Bas salaire","Topsail Foods Enterprise Inc","St. John's, NL A1E 2E2","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",Inconnu,1,4
Terre-Neuve-et-Labrador,"  Agriculture primaire","Kent Fudge","Grand Falls-Windsor, NL A2A 2J7","8431-Ouvriers agricoles",Inconnu,1,4
Terre-Neuve-et-Labrador,"  Agriculture primaire","Larch Grove Farm Ltd.","Cormack, NL A8A 2R7","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",Inconnu,1,4
Terre-Neuve-et-Labrador,"  Agriculture primaire","Larch Grove Farm Ltd.","Cormack, NL A8A 2R7","8431-Ouvriers agricoles",Inconnu,1,4
Terre-Neuve-et-Labrador,"  Agriculture primaire","Lester's Farm Market","St. John's, NL A1E 6J4","8431-Ouvriers agricoles",Inconnu,2,6
Terre-Neuve-et-Labrador,"  Agriculture primaire","Lone Pine Farm","Bishop's Falls, NL A0H 1C0","8431-Ouvriers agricoles",Inconnu,1,4
Terre-Neuve-et-Labrador,"  Agriculture primaire","M&P Dairy Farm Ltd.","Goulds, NL A1S 1G7","8431-Ouvriers agricoles",Inconnu,1,2
Terre-Neuve-et-Labrador,"  Agriculture primaire","N&N Farm Limited","Cormack, NL A8A 2R6","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",Inconnu,1,5
Terre-Neuve-et-Labrador,"  Agriculture primaire","nemori farms ltd","Deer Lake, NL A8A 3H9","8431-Ouvriers agricoles",Inconnu,1,1
Terre-Neuve-et-Labrador,"  Agriculture primaire","New World Dairy Inc","St. David's, NL A0N 1X0","8431-Ouvriers agricoles",Inconnu,1,10
Terre-Neuve-et-Labrador,"  Agriculture primaire","Pinedale Farms Ltd.","Terra Nova, NL A0C 1L0","8431-Ouvriers agricoles",Inconnu,1,2
Terre-Neuve-et-Labrador,"  Agriculture primaire","Rolling Acres Farm","Bishop's Falls, NL A0H 1C0","8431-Ouvriers agricoles",Inconnu,1,4
Terre-Neuve-et-Labrador,"  Talent mondial","Duxion Motors Inc.","St. John's, NL A1B 2C7","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",Inconnu,1,1
Île-du-Prince-Édouard,"     Haut salaire","ALIASGHAR FORGHANI CONSTRUCTION INC.","Charlottetown, PE C1A 1N3","2253-Technologues et techniciens en dessin",Inconnu,1,1
Île-du-Prince-Édouard,"     Haut salaire","BEACH POINT PROCESSING COMPANY","Beach Point, PE C0A 1V0","0911-Directeurs de la fabrication",Inconnu,1,1
Île-du-Prince-Édouard,"     Haut salaire","Charlottetown Fresh Casual Restaurants Inc.","Charlottetown, PE C1A 4M9","0631-Directeurs de la restauration et des services alimentaires",Inconnu,1,2
Île-du-Prince-Édouard,"     Haut salaire","Linkletter's Welding Ltd.","Summerside, PE C1N 4J9","7237-Soudeurs et opérateurs de machines à souder et à braser",Inconnu,1,1
Île-du-Prince-Édouard,"   Bas salaire","101775 PEI Inc.","Charlottetown, PE C1A 4B1",6322-Cuisiniers,Inconnu,1,1
Île-du-Prince-Édouard,"   Bas salaire","Atlantic Aqua Farms Ltd","Orwell Cove, PE C0A 2E0","8613-Manoeuvres de l'aquaculture et de la mariculture",Inconnu,1,35
Île-du-Prince-Édouard,"   Bas salaire","Atlantic Aqua Farms Ltd","Orwell Cove, PE C0A 2E0","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Inconnu,1,10
Île-du-Prince-Édouard,"   Bas salaire","Business Porters Inc.","Charlottetown, PE C1E 0E4","1241-Adjoints administratifs",Inconnu,1,1
