Province/Territory,"Program Stream",Employer,Address,Occupation,"Incorporate Status","Requested LMIAs","Requested Positions"
"Newfoundland and Labrador                                                  ","Low Wage","Perpetual Plumbing Inc","Flatrock, NL A1K 0G5","75110-Construction trades helpers and labourers",Unknown,1,2
"Prince Edward Island                                                       ","Low Wage","Islander Brothers Investor Crew Inc","Cornwall, PE C0A 1H8",65100-Cashiers,Unknown,1,1
"Nova Scotia                                                                ","High Wage","JDE Property Management, Inc.","Dartmouth, NS B3A 4S5","73201-General building maintenance workers and building superintendents",Unknown,1,1
"Nova Scotia                                                                ","High Wage","Panesar Transport Inc.","Sydney, NS B1M 1A1","13100-Administrative officers",Unknown,1,1
"Nova Scotia                                                                ","High Wage","V.SomasekaramDDS Incorporated","Windsor, NS B0N 2T0","32112-Dental technologists and technicians",Unknown,1,1
"Nova Scotia                                                                ","High Wage","VMG Strategic Consulting","Halifax, NS B4A 1B9","22221-User support technicians",Unknown,1,1
"Nova Scotia                                                                ","Low Wage","15325056 CANADA INC","HALIFAX, NS B3M 2Y7","75110-Construction trades helpers and labourers",Unknown,1,1
"Nova Scotia                                                                ","Low Wage","3310840 Nova Scotia Limited","Sydney, NS B1P 1C4",63200-Cooks,Unknown,1,1
"Nova Scotia                                                                ","Low Wage","BAB transport limited","dartmouth, NS B2W 4L9","75119-Other trades helpers and labourers",Unknown,1,1
"Nova Scotia                                                                ","Low Wage","Cloverville Enterprises Ltd.","Antigonish, NS B2G 1R6","62020-Food service supervisors",Unknown,1,2
"Nova Scotia                                                                ","Low Wage","Don McNeill Enterprises Ltd.","Elmsdale, NS B2S 1A8","62010-Retail sales supervisors",Unknown,1,1
"Nova Scotia                                                                ","Low Wage","HABANEROS MODERN TACO BAR LTD.","Dartmouth, NS B3B 1B5","62020-Food service supervisors",Unknown,1,1
"Nova Scotia                                                                ","Low Wage","Skyshot Immigration Services Inc.","Halifax, NS B3J  1T","14100-General office support workers",Unknown,1,1
"Nova Scotia                                                                ","Low Wage","W.E.B. Investments Limited","Truro, NS B2N 5G6","75110-Construction trades helpers and labourers",Unknown,1,1
"New Brunswick                                                              ","High Wage","634081 N B Inc.","Cambridge Narrows, NB E4C 1W1","62010-Retail sales supervisors",Unknown,1,2
"New Brunswick                                                              ","High Wage",727190.NB.INC,"Fredericton, NB E3C 0P2","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1
"New Brunswick                                                              ","High Wage","Foody's Food Management Inc.","Fredericton, NB E3A 1E1","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1
"New Brunswick                                                              ","High Wage","Murray Enterprises Ltd.","Sussex Corner, NB E4E 2Y5","73300-Transport truck drivers",Unknown,1,2
"New Brunswick                                                              ","High Wage","vlb allrite auto ltd","Waterville, NB E7P 0A5","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,2
