Postal Code;Latitude;Longitude;Sample Address;Sample Employer
A1C6C9;47.5630653;-52.7076773;215 Water Street, Box20, Suite511, St. John's, NL A1C6C9 215 Water Street, Box20, Suite511, St. John's, NL A1C6C9;Aker Solutions AIM Aker Solutions AIM
A0P1G0;55.4514098;-60.2300023;PO Box129, Hopedale, NL A0P1G0 PO Box129, Hopedale, NL A0P1G0;Amaguk Inn Amaguk Inn
A0P1C0;53.3061725;-60.3605867;358 Hamilton River Road, PO Box177, STNC, Happy Valley-Goose Bay, NL A0P1C0 358 Hamilton River Road, PO Box177, STNC, Happy Valley-Goose Bay, NL A0P1C0;Astaldi Canada Inc. Astaldi Canada Inc.
A0A1G0;47.5871535;-53.2787055;1 Hope Avenue, Bay Roberts, NL A0A1G0 1 Hope Avenue, Bay Roberts, NL A0A1G0;Atlantic Grocery Distributors Atlantic Grocery Distributors
A1W3A6;47.5173136;-52.9625330;152 Conception Bay Highway, Conception Bay South, NL A1W3A6 152 Conception Bay Highway, Conception Bay South, NL A1W3A6;CBS Foods Ltd CBS Foods Ltd
A2A2E1;48.9340010;-55.6445567;50 Union Street, Grand Falls-Windsor, NL A2A2E1 50 Union Street, Grand Falls-Windsor, NL A2A2E1;Central Health Authority Central Health Authority
A0G3A0;49.2396062;-55.0930642;PO Box910, Lewisporte, NL A0G3A0 PO Box910, Lewisporte, NL A0G3A0;Coastal Shipping Ltd Coastal Shipping Ltd
A0A1P0;47.0960066;-52.9472844;PO Box29, Cape Broyle, NL A0A1P0 PO Box29, Cape Broyle, NL A0A1P0;Conche Seafoods Ltd. Conche Seafoods Ltd.
A0R1B0;52.8984026;-66.8642894;15 First Avenue, Wabush, NL A0R1B0 15 First Avenue, Wabush, NL A0R1B0;House-Man Limited House-Man Limited
A1C1H3;47.5657256;-52.7068058;286 Duckworth Street, St. John's, NL A1C1H3 286 Duckworth Street, St. John's, NL A1C1H3;India Gate Restaurant India Gate Restaurant
A1V1W6;48.9525445;-54.6226523;PO Box202, Gander, NL A1V1W6 PO Box202, Gander, NL A1V1W6;Jungle Jim's Gander Jungle Jim's Gander
A0K4S0;51.3689311;-55.5959421;200 West Street, Suite178, St. Anthony, NL A0K4S0 200 West Street, Suite178, St. Anthony, NL A0K4S0;Labrador-Grenfell Health Labrador-Grenfell Health
A1B1W3;47.5613650;-52.7558211;56A Kenmount Road, St. John's, NL A1B1W3 56A Kenmount Road, St. John's, NL A1B1W3;Golden Phoenix Buffet Golden Phoenix Buffet
A0E2M0;47.1675037;-55.1534157;PO Box487, Marystown, NL A0E2M0 PO Box487, Marystown, NL A0E2M0;Marystown Hotel & Conven Marystown Hotel & Conven
A0B2Y0;47.2447573;-53.9630918;36 Prince William Drive, Placentia, NL A0B2Y0 36 Prince William Drive, Placentia, NL A0B2Y0;Provincial Ready Mix Provincial Ready Mix
A5A0C3;48.1702042;-53.9897202;3 Coish Place, Clarenville, NL A5A0C3 3 Coish Place, Clarenville, NL A5A0C3;Uncle Li Restaurant Inc Uncle Li Restaurant Inc
C0B1A0;46.2891968;-63.6297680;95 Train Station Road, Box 40, Albany, PE C0B1A0 95 Train Station Road, Box 40, Albany, PE C0B1A0;Atlantic Beef Products Inc. Atlantic Beef Products Inc.
C0A2B0;46.3536076;-62.2465064;677 Route 2, PO Box418, Souris, PE C0A2B0 677 Route 2, PO Box418, Souris, PE C0A2B0;Eastern Exporters Ltd Eastern Exporters Ltd
C0A1X0;46.4615165;-63.3204412;Box175, North Rustico, PE C0A1X0 Box175, North Rustico, PE C0A1X0;PEI Select Tours Inc PEI Select Tours Inc
B3B1T4;44.7014414;-63.5861093;JK-61 Raddall Avenue, Dartmouth, NS B3B1T4 JK-61 Raddall Avenue, Dartmouth, NS B3B1T4;3043177 Nova Scotia Limited(Frontier Technology) 3043177 Nova Scotia Limited(Frontier Technology)
B0P1J0;45.1286608;-64.5185054;7295 Highway221, RR2, Centreville, NS B0P1J0 7295 Highway221, RR2, Centreville, NS B0P1J0;Allen Farms Limited Allen Farms Limited
B3B1Z4;44.7144659;-63.5821074;11 Frazee Avenue, Dartmouth, NS B3B1Z4 11 Frazee Avenue, Dartmouth, NS B3B1Z4;AMEC Black & McDonald Ltd AMEC Black & McDonald Ltd
B3K3G9;44.6655689;-63.5965602;3139 Veith Street, Halifax, NS B3K3G9 3139 Veith Street, Halifax, NS B3K3G9;Atlantic Adventure Divers Atlantic Adventure Divers
B0N2T0;44.9826447;-64.1350671;467 Kings Street, PO Box3696, Windsor, NS B0N2T0 467 Kings Street, PO Box3696, Windsor, NS B0N2T0;Baby Panda Asian Cuisine Baby Panda Asian Cuisine
B0M1L0;45.4158460;-63.5974846;9036 Highway2, Great Village, NS B0M1L0 9036 Highway2, Great Village, NS B0M1L0;Balamore Farm Ltd Balamore Farm Ltd
B0M1E0;45.5729240;-63.9166688;1536 Wyvern Road, PO Box60, Collingwood, NS B0M1E0 1536 Wyvern Road, PO Box60, Collingwood, NS B0M1E0;Bragg Lumber Company Bragg Lumber Company
B3G1M5;44.6148509;-63.4971547;100 Government Warf Road, Eastern Passage, NS B3G1M5 100 Government Warf Road, Eastern Passage, NS B3G1M5;Capital Seafood International Incorporated Capital Seafood International Incorporated
B3T1P3;44.6019984;-63.6789834;8 Mills Drive, Goodwood, NS B3T1P3 8 Mills Drive, Goodwood, NS B3T1P3;Coastal Restoration & Masonry Limited Coastal Restoration & Masonry Limited
B3J3N2;44.6517042;-63.5742521;1959 Upper Water Street, Suite1301, Halifax, NS B3J3N2 1959 Upper Water Street, Suite1301, Halifax, NS B3J3N2;DDI-Canada DDI-Canada
B2W3E5;44.6794955;-63.5376858;58 Tacoma Drive, Suite101, Dartmouth, NS B2W3E5 58 Tacoma Drive, Suite101, Dartmouth, NS B2W3E5;Dr. Alzrighe Medical Inc. o/a Tacoma Family Medicine and Walk-In Dr. Alzrighe Medical Inc. o/a Tacoma Family Medicine and Walk-In
