Province/Territory,Program Stream,Employer ,Address ,Occupation ,Incorporate Status,Requested LMIAs,Requested Positions
Newfoundland and Labrador,   Low Wage,75457 Newfoundland and Labrador Inc,"St John's, NL A1A 5C3",4214-Early childhood educators and assistants,Unknown,1,1
Prince Edward Island,  Primary Agriculture,Eastern Exporters Limited,"Souris, PE C0A 2B0",8431-General farm workers,Unknown,1,1
Nova Scotia,    High Wage,Captain Atlantic International Trade Co. Ltd.,"Shag Harbour,, NS B0W 3B0","7305-Supervisors, motor transport and other ground transit operators",Unknown,1,1
Nova Scotia,    High Wage,CITYPLANNERS PROPERTY AND INVESTMENT LTD,"Halifax, NS B3J 3M8","0013-Senior managers - financial, communications and other business services",Unknown,1,1
Nova Scotia,    High Wage,MJM Energy Limited,"Dartmouth, NS B3B 1S3",7611-Construction trades helpers and labourers,Unknown,1,5
Nova Scotia,   Low Wage,3286710 Nova Scotia Limited,"Chester, NS B0J 1J0",6311-Food service supervisors,Unknown,1,1
Nova Scotia, Global Talent Stream,Menlopark Technologies Limited,"Halifax, NS B3J 3R7",2173-Software engineers and designers,Corporation,2,2
New Brunswick,    High Wage,Summer Hill Foods Inc.,"Fredericton, NB E3G 0E8",1221-Administrative officers,Unknown,1,1
New Brunswick,   Low Wage,Beacon Light Motel Limited,"Moncton, NB E1C 2T1",6312-Executive housekeepers,Unknown,1,1
New Brunswick,   Low Wage,CCG Atlantic Restaurants Ltd,"Moncton, NB E1G 3T6",0631-Restaurant and food service managers,Unknown,1,1
Quebec,    High Wage,9227-1162 Québec Inc.,"Montréal-Nord, QC H1H 3N4","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Corporation,1,1
Quebec,    High Wage,9296-6696 quebec inc,"Varennes, QC J3X 1P7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1
Quebec,    High Wage,9382-0942 Québec inc.,"Québec, QC G1X 1S5",3236-Massage therapists,Unknown,1,1
Quebec,    High Wage,Carworx Distribution Inc.,"Pointe-Claire, QC H9R 1B1",1222-Executive assistants,Unknown,1,1
Quebec,    High Wage,GARAGE DRAPEAU INC.,"Montréal, QC H1P  2E","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Sole Proprietorship,1,1
Quebec,    High Wage,Géoposition Arpenteurs-Géomètres Inc.,"Val d'Or, QC J9P 1S2",2231-Civil engineering technologists and technicians,Corporation,1,1
Quebec,    High Wage,La Petite Étincelle,"Montréal, QC H2R 1V7",4214-Early childhood educators and assistants,Co-operative,1,1
Quebec,    High Wage,MICROBRASSERIE AU FRONTIBUS INC,"Gaspé, QC G4X 5E3","9461-Process control and machine operators, food, beverage and associated products processing",Unknown,1,1
Quebec,   Low Wage,9269-5352 QUEBEC INC,"Montréal, QC H3N 1R2",9612-Labourers in metal fabrication,Corporation,2,2
Quebec,   Low Wage,Agence Agro Inc.,"Brossard, QC J4Y 2A5","9617-Labourers in food, beverage and associated products processing",Corporation,1,8
Quebec,   Low Wage,Garaga Inc.,"SAINT-GEORGES, QC G6A 1K5",1223-Human resources and recruitment officers,Unknown,1,1
Quebec,   Low Wage,Garderie éducative la reine des neiges inc,"St-Léonard, QC H1S 1K2",4214-Early childhood educators and assistants,Sole Proprietorship,1,1
Quebec,   Low Wage,R-Pro Placement Inc.,"Candiac, QC J5R 0S3",7452-Material handlers,Unknown,1,1
Quebec,  Primary Agriculture,9008-1951 Québec Inc,"La Présentation, QC J0H 1B0",8431-General farm workers,Unknown,2,23
Quebec, Global Talent Stream,ASTEK Canada Inc.,"Montréal, QC H2Y 1M6",2171-Information systems analysts and consultants,Unknown,1,1
Ontario,    High Wage,1000073932 Ontario Inc.,"Cambridge, ON N3E 0E2",0621-Retail and wholesale trade managers,Unknown,1,1
Ontario,    High Wage,10203947 Canada Inc.,"Brampton, ON L6W 2B6",1241-Administrative assistants,Unknown,1,1
Ontario,    High Wage,1160545 Ontario Inc.,"NORTH YORK, ON M6L 1A4",6322-Cooks,Unknown,1,3
Ontario,    High Wage,13144097 Canada Inc.,"Ottawa, ON K1P 5G3",0621-Retail and wholesale trade managers,Unknown,1,1
Ontario,    High Wage,1567444 Ontario Limited,"Brampton, ON L6R 1B6",1221-Administrative officers,Unknown,1,1
Ontario,    High Wage,1701021 ONTARIO INC.,"Markham, ON L6B 0Z1","0124-Advertising, marketing and public relations managers",Unknown,1,1
Ontario,    High Wage,1979086 Ontario Ltd.,"Mississauga, ON L4W 5G5",2232-Mechanical engineering technologists and technicians,Unknown,1,1
Ontario,    High Wage,1994054 ONTARIO INC.,"Petawawa,, ON K8H 2Z4",2241-Electrical and electronics engineering technologists and technicians,Unknown,1,1
Ontario,    High Wage,1998181 ONTARIO INC,"Toronto, ON M3B 1Y2",1221-Administrative officers,Unknown,1,1
Ontario,    High Wage,2071973 ontario ltd,"mallorytown, ON K0E 1R0","1123-Professional occupations in advertising, marketing and public relations",Unknown,1,1
Ontario,    High Wage,2206765 Ontario Inc.,"St. Catharines, ON L2G 1V4",1221-Administrative officers,Unknown,1,1
Ontario,    High Wage,2262957 on inc,"barrie, ON L4N 9B3","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1
Ontario,    High Wage,2272078 ONTARIO INC.,"Mississauga, ON L5B 3C4",1241-Administrative assistants,Unknown,1,1
Ontario,    High Wage,2472370 Ontario Inc.,"Etobicoke, ON M8V 3K1",2225-Landscape and horticulture technicians and specialists,Unknown,1,3
Ontario,    High Wage,2491351 ONTARIO INC,"Oshawa, ON L1G 2S2",0125-Other business services managers,Unknown,1,1
Ontario,    High Wage,2546662 ONTARIO INC.,"Kitchener, ON N2C 0B5",2174-Computer programmers and interactive media developers,Unknown,1,1
Ontario,    High Wage,2583319 ONTARIO INC.,"MISSISSAUGA, ON L4V 1L4","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1,1
Ontario,    High Wage,2645560 Ontario Inc.,"Guelph, ON N1G 3A2",6311-Food service supervisors,Unknown,1,2
Ontario,    High Wage,2691530 ONTARIO INC.,"Toronto, ON M3H 3V8","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",Unknown,1,1
Ontario,    High Wage,2700767 ONTARIO INC,"Brampton, ON L6S 0A5",1221-Administrative officers,Unknown,1,1
Ontario,    High Wage,314321 Ontario Limited,"Sudbury, ON P3A 1N7",7312-Heavy-duty equipment mechanics,Unknown,1,2
Ontario,    High Wage,8421579 CANADA INC.,"Brampton, ON L6W 3G1",6322-Cooks,Unknown,1,1
Ontario,    High Wage,A-1 Bags and Supplies Inc.,"Mississauga, ON L5T 2Z5","0124-Advertising, marketing and public relations managers",Unknown,1,1
Ontario,    High Wage,AceTronic Industrial Controls INC,"Mississauga, ON L5T 1Y2",1311-Accounting technicians and bookkeepers,Unknown,1,1
Ontario,    High Wage,AH - DESIGN INC.,"NORTH YORK, ON M2L 1L9",2232-Mechanical engineering technologists and technicians,Unknown,1,1
Ontario,    High Wage,Amalfi Transport Inc.,"Woodbridge, ON L4L 9S2","7305-Supervisors, motor transport and other ground transit operators",Unknown,1,1
Ontario,    High Wage,Amcot Stucco Design Inc,"Ottawa, ON K1C 7C6","7284-Plasterers, drywall installers and finishers and lathers",Unknown,1,1
Ontario,    High Wage,AMPLITUDE CONTRACTING INC.,"BRAMPTON, ON L6P 3H6",2232-Mechanical engineering technologists and technicians,Unknown,1,1
Ontario,    High Wage,Applewood Forming Inc.,"Concord, ON L4K 4H2",7611-Construction trades helpers and labourers,Unknown,1,1
Ontario,    High Wage,AZ roofers Inc,"MISSISSAUGA, ON L5S 1T7",7291-Roofers and shinglers,Unknown,1,1
Ontario,    High Wage,B Negative LLC,"Toronto, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",Corporation,1,1
Ontario,    High Wage,BND Woodworking Inc,"Guelph, ON N1K 1T4",1221-Administrative officers,Unknown,1,1
Ontario,    High Wage,BRICK BY BRICK CONSTRUCTION,"East Gwillimbury, ON L9N 0L6",1311-Accounting technicians and bookkeepers,Unknown,1,1
Ontario,    High Wage,BSD Beauty Inc.,"Kitchener, ON N2R 0J9",0621-Retail and wholesale trade managers,Unknown,1,1
Ontario,    High Wage,Bullewadd Transport Ltd.,"MAIDSTONE, ON N0R 1K0",7511-Transport truck drivers,Unknown,1,5
Ontario,    High Wage,CONVENTIONAL MAINTENANCE SERVICES INC.,"Toronto, ON M9N 3A5",6315-Cleaning supervisors,Unknown,1,1
Ontario,    High Wage,Cutler Forest Products Inc,"Woodbridge, ON L4H 1X9",1122-Professional occupations in business management consulting,Unknown,1,1
Ontario,    High Wage,Cutler Forest Products Inc,"Woodbridge, ON L4H 1X9",2251-Architectural technologists and technicians,Unknown,1,1
Ontario,    High Wage,DIGI Technologies International Inc.,"Mississauga, ON L4W 1E4",7246-Telecommunications installation and repair workers,Unknown,1,1
Ontario,    High Wage,Feels Like Home Films Inc.,"Toronto, ON M6H  2X","5131-Producers, directors, choreographers and related occupations",Co-operative,1,1
Ontario,    High Wage,"GLOBAL METAL SOURCES CO., LTD.","Quinte West, ON K8V 5P7","9411-Machine operators, mineral and metal processing",Unknown,1,3
Ontario,    High Wage,GTA RESTORATION GROUP INC,"Toronto, ON M3B 1Y2","7284-Plasterers, drywall installers and finishers and lathers",Unknown,1,2
Ontario,    High Wage,Handyhome Inc.,"Concord, ON L4K 3V9",7271-Carpenters,Unknown,1,2
Ontario,    High Wage,HANSA-FLEX HYDRAULICS CANADA INC.,"Concord, ON L4K 5R2",7312-Heavy-duty equipment mechanics,Unknown,1,1
Ontario,    High Wage,Hespeler Animal Hospital,"Cambridge, ON N1R 8A9",2281-Computer network technicians,Unknown,1,1
Ontario,    High Wage,HWY Truck Services Inc.,"Oakville, ON L6J 7Y2",0731-Managers in transportation,Unknown,1,1
Ontario,    High Wage,JCS Nguyen Holdings Inc.,"Lefroy, ON L0L 1W0",1114-Other financial officers,Unknown,1,1
Ontario,    High Wage,KPMg LLP,"Toronto, ON M5G 2N9",1112-Financial and investment analysts,Unknown,1,1
Ontario,    High Wage,Longtech Computer Distribution Inc.,"Markham, ON L3R 4C1","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1
Ontario,    High Wage,Mikon Properties Inc.,"Richmond Hill, ON L4E 0N2","0013-Senior managers - financial, communications and other business services",Unknown,1,1
Ontario,    High Wage,OPC.TV INC,"Toronto, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",Unknown,1,1
Ontario,    High Wage,Partners Film Inc,"TORONTO, ON M5A 3C4","5131-Producers, directors, choreographers and related occupations",Corporation,2,2
