Province/Territory,Program Stream,Employer ,Address ,Occupation ,Incorporate Status,Requested LMIAs,Requested Positions
Nova Scotia,    High Wage,Aculocus Health and Beauty,"Halifax, NS B3M 0J9","1123-Professional occupations in advertising, marketing and public relations",Unknown,1,1
Nova Scotia,    High Wage,The Orb Factory Limited,"Halifax, NS B3P 1L3",1122-Professional occupations in business management consulting,Unknown,1,1
Nova Scotia,   Low Wage,DB Embroidery Solutions,"Dartmouth, NS B2W 3T9","9442-Weavers, knitters and other fabric making occupations",Unknown,1,1
Nova Scotia,   Low Wage,Emigrance Consulting & Immigration Inc.,"Lakeside, NS B3T 1A2",1242-Legal administrative assistants,Unknown,1,1
Nova Scotia, Global Talent Stream,Maritime Business Consulting Inc,"Bedford, NS B4B 0T4",2171-Information systems analysts and consultants,Unknown,1,1
New Brunswick,    High Wage,BMM QA Canada Ltd,"Dieppe, NB E1A 8H3",2283-Information systems testing technicians,Unknown,1,1
New Brunswick,    High Wage,Canadian faraz inc,"Moncton, NB E1E 1J1",6421-Retail salespersons,Unknown,1,1
New Brunswick,    High Wage,FUNDYGELD DEVELOPMENT INC.,"SAINT JOHN, NB E2J 2E7","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1
New Brunswick,    High Wage,Future Auto Garage Ltd.,"Saint John, NB E2J 2C6",0213-Computer and information systems managers,Unknown,1,1
New Brunswick,    High Wage,Greenhaven Management Inc.,"Moncton, NB E1G 2K2",7511-Transport truck drivers,Unknown,1,5
New Brunswick,   Low Wage,Boise Cascade Alljoist,"St-Jacques, NB E7B 1T1","9614-Labourers in wood, pulp and paper processing",Unknown,1,5
New Brunswick,   Low Wage,Ébénisterie Tech Design Woodworking inc,"ST-JOSEPH-DE-MADAWASKA, NB E7B 2K9",7272-Cabinetmakers,Unknown,1,1
New Brunswick,   Low Wage,Janda Enterprises Inc,"Tracadie-Sheila, NB E1X 0E1","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Quebec,    High Wage,9092-5447 QUÉBEC INC,"Rouyn-Noranda, QC J9X 3B9",2282-User support technicians,Unknown,1,2
Quebec,    High Wage,9342-7490 Quebec Inc.,"Laval, QC H7E 1A1",7511-Transport truck drivers,Unknown,2,15
Quebec,    High Wage,9353-6134 QC INC,"MONTRÉAL, QC H1H 3X6",0712-Home building and renovation managers,Unknown,1,2
Quebec,    High Wage,9429-2570 Québec Inc.,"Sainte-Marthe-sur-le-Lac, QC J0N 1P0","3413-Nurse aides, orderlies and patient service associates",Corporation,1,4
Quebec,    High Wage,Agence de recrutement et de placement des employés Iris Inc.,"Chateauguay, QC J6J 3H9",1222-Executive assistants,Unknown,1,2
Quebec,    High Wage,Agence de recrutement et de placement des employés Iris Inc.,"Chateauguay, QC J6J 3H9",9422-Plastics processing machine operators,Unknown,1,4
Quebec,   Low Wage,BALUX INC,"GRANBY, QC J2J 2V2",7282-Concrete finishers,Unknown,1,1
Quebec,   Low Wage,Carrosserie Pro NB Inc,"Montreal, QC H1H 3C6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,2
Quebec,   Low Wage,Horizon Santé Plus Inc.,"Gatineau, QC J9J 2S9","3413-Nurse aides, orderlies and patient service associates",Unknown,1,1
Quebec,   Low Wage,L'Atelier du Pain Inc.,"Magog, QC J1X 5B5",1241-Administrative assistants,Corporation,1,1
Quebec,   Low Wage,Le Club Mont-Royal,"Montreal, QC H3A 1H9",6322-Cooks,Unknown,1,1
Quebec,   Low Wage,M. B. Instrumentation Scientifique Inc,"St-Léonard, QC H1P 1Z4",1521-Shippers and receivers,Corporation,1,1
