Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Requested LMIAs,Requested Positions
Newfoundland and Labrador,   Low Wage,Angel of Hope Homecare Agency Inc.,"St. John's, NL A1B 2Y6","3413-Nurse aides, orderlies and patient service associates",Unknown,1,10
Nova Scotia,    High Wage,3323061 Nova Scotia Limited,"HALIFAX, NS B3J 0E8","0013-Senior managers - financial, communications and other business services",Unknown,1,1
Nova Scotia,   Low Wage,NORTHUMBERLAND CONGREGATION OF THE CHURCH OF GOD IN CHRIST MENNONITE,"Tatamagouche, NS B0K 1V0",4032-Elementary school and kindergarten teachers,Unknown,1,1
Nova Scotia,   Low Wage,OSR TRUCKLINE INC.,"Halifax, NS B3M 0P6",7511-Transport truck drivers,Unknown,1,1
Nova Scotia,   Low Wage,Oxen International Ltd,"New Minas, NS B4N 4N4","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
New Brunswick,    High Wage,Flyhigh Development Canada Inc.,"Lincoln, NB E3B 7E6",1311-Accounting technicians and bookkeepers,Unknown,1,1
New Brunswick,    High Wage,PETER LAI PROFESSIONAL SERVICES INC.,"SAINT JOHN, NB E2K 4J4",1221-Administrative officers,Unknown,1,1
New Brunswick,   Low Wage,Elmwood Burgers Ltd,"Moncton, NB E1A 3P5",6311-Food service supervisors,Unknown,1,1
Quebec,    High Wage,3dverse Technologie inc.,"Montreal, QC H2X 2T7",2173-Software engineers and designers,Unknown,1,1
Quebec,    High Wage,Global Gestion A.J. Inc,"Montréal, QC H1R 1Z6",1223-Human resources and recruitment officers,Corporation,1,1
Quebec,    High Wage,Global Gestion A.J. Inc,"Montréal, QC H1R 1Z6",1225-Purchasing agents and officers,Corporation,2,2
Quebec,    High Wage,Global Gestion A.J. Inc,"Montréal, QC H1R 1Z6",1311-Accounting technicians and bookkeepers,Corporation,1,1
Quebec,    High Wage,Global Gestion A.J. Inc,"Montréal, QC H1R 1Z6",1524-Purchasing and inventory control workers,Corporation,1,1
Quebec,    High Wage,Initiatives de Coopération et d’Appui aux Actions Humanitaires et de Développement (ICAHD Internatio,"Montréal, QC H3B  4W","0423-Managers in social, community and correctional services",Registered Charity,1,1
Quebec,    High Wage,KM RESSOURCES SOLUTIONS INC.,"Montréal, QC H1A 5E5",7511-Transport truck drivers,Unknown,1,2
Quebec,    High Wage,Rénovations  Nouvelle Vie Inc.,"Montréal, QC H3X 2V9",7271-Carpenters,Unknown,1,1
Quebec,    High Wage,Sailor Productions Inc,"MONTREAL, QC H2S 2L9","5131-Producers, directors, choreographers and related occupations",Unknown,2,2
Quebec,   Low Wage,2857111Canada Inc,"Brossard, QC J4X 1C2",6322-Cooks,Unknown,1,1
Quebec,   Low Wage,9089-3801 Québec inc.,"Boucherville, QC J4B  6G",1221-Administrative officers,Corporation,1,1
Quebec,   Low Wage,9144-4539 Quebec inc,"Montréal, QC H2Z 2B3",6322-Cooks,Unknown,1,1
Quebec,   Low Wage,9292-9645 Québec Inc,"Gatineau, QC J9H 3L3",4214-Early childhood educators and assistants,Unknown,1,3
Quebec,   Low Wage,9297-0839 Québec Inc.,"Lévis (Québec), QC G6W 8H7",7514-Delivery and courier service drivers,Corporation,1,1
Quebec,   Low Wage,9342-0800 Québec inc.,"Longueuil, QC J4H 1E7","7284-Plasterers, drywall installers and finishers and lathers",Corporation,1,1
Quebec,   Low Wage,9392-9057 QUÉBEC INC.,"Montreal, QC H2L 3L2",6322-Cooks,Unknown,1,1
Quebec,   Low Wage,9402-0302 Québec Inc.,"Shawinigan, QC G9T 7G4",6322-Cooks,Corporation,1,3
Quebec,   Low Wage,9423-5546 Quebec INC.,"Gatineau, QC J8Y 5P9",6731-Light duty cleaners,Unknown,1,2
Quebec,   Low Wage,9428-8768 Québec Inc.,"Québec, QC G1V 3Y8",7452-Material handlers,Corporation,1,1
Quebec,   Low Wage,9437-7439 Québec Inc.,"Mascouche, QC J7K 2Z1","6342-Tailors, dressmakers, furriers and milliners",Unknown,1,1
Quebec,   Low Wage,Agence de Placement du Personnel 2N INC,"Repentigny, QC J5Y 4C7",1241-Administrative assistants,Unknown,1,6
Quebec,   Low Wage,Canpars Professional Services Inc.,"Montreal, QC H3H 1E8",1241-Administrative assistants,Unknown,1,1
Quebec,   Low Wage,Carthagro inc.,"Québec, QC G2C 0G7",6222-Retail and wholesale buyers,Unknown,1,1
Quebec,   Low Wage,CASSE CROUTE TACO LYS INC,"Joliette, QC J6E 5G2",6322-Cooks,Corporation,1,1
Quebec,   Low Wage,CATERTAINMENT INC.,"Montréal, QC H4T  1G",6311-Food service supervisors,Corporation,1,1
Quebec,   Low Wage,GBH Edmundston inc.,"Edmundston, QC E3V 0A3",6731-Light duty cleaners,Unknown,1,5
Quebec,   Low Wage,Global Gestion A.J. Inc,"Montréal, QC H1R 1Z6",1221-Administrative officers,Corporation,2,2
Quebec,   Low Wage,Global Gestion A.J. Inc,"Montréal, QC H1R 1Z6",1241-Administrative assistants,Corporation,2,2
Quebec,   Low Wage,Global Gestion A.J. Inc,"Montréal, QC H1R 1Z6",1311-Accounting technicians and bookkeepers,Corporation,1,1
Quebec,   Low Wage,KG2 Ressources Inc.,"Laval, QC H7T 1A1",1223-Human resources and recruitment officers,Unknown,2,5
Quebec,   Low Wage,KG2 Ressources Inc.,"Laval, QC H7T 1A1",1241-Administrative assistants,Unknown,2,4
Quebec,   Low Wage,KM RESSOURCES SOLUTIONS INC.,"Montréal, QC H1A 5E5",1311-Accounting technicians and bookkeepers,Unknown,1,1
Quebec,   Low Wage,KM RESSOURCES SOLUTIONS INC.,"Montréal, QC H1A 5E5",7237-Welders and related machine operators,Unknown,1,6
Quebec,   Low Wage,les entreprises AYA pro inc,"Québec, QC G2G 1B8",1241-Administrative assistants,Unknown,1,1
Quebec,   Low Wage,Motel Chute des Pères,"Dolbeau-Mistassini, QC G8L 5G9",6312-Executive housekeepers,Corporation,1,1
Quebec,   Low Wage,Services PGS inc.,"Victoriaville, QC G6P 3A6",6731-Light duty cleaners,Corporation,1,2
Ontario,    High Wage,1000466786 Ontario Inc.,"Brampton, ON L6W 2A9",6341-Hairstylists and barbers,Unknown,1,5
Ontario,    High Wage,10669776 CANADA INC,"MISSISSAUGA, ON L5T 2C6",7511-Transport truck drivers,Unknown,1,2
Ontario,    High Wage,10739090 Canada Inc,"Brampton, ON L6Y 0V6",1311-Accounting technicians and bookkeepers,Unknown,1,1
Ontario,    High Wage,11882805 Canada Inc.,"NORTH YORK, ON M3J 2K3",7283-Tilesetters,Unknown,1,4
Ontario,    High Wage,11944495 Canada Inc.,"Markham, ON L3R 9Y4",2281-Computer network technicians,Unknown,1,2
Ontario,    High Wage,12987821 Canada Inc.,"Richmond Hill, ON L4C 0Y8","0013-Senior managers - financial, communications and other business services",Unknown,1,1
Ontario,    High Wage,13027295 Canada Inc.,"Brampton, ON L6X 1Z3","7284-Plasterers, drywall installers and finishers and lathers",Unknown,1,2
Ontario,    High Wage,14364562 Canada Inc.,"MAPLE, ON L6A 0K8","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",Unknown,1,1
Ontario,    High Wage,1455492 Ontario Inc.,"Mississauga, ON L5T 1R2","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1
Ontario,    High Wage,1631673 ONTARIO INC,"BRAMPTON, ON L6R 2B4",7511-Transport truck drivers,Unknown,1,3
Ontario,    High Wage,1741728 Ontario Inc.,"Mississauga, ON L4W 2R4",7611-Construction trades helpers and labourers,Unknown,1,1
Ontario,    High Wage,1775419 ONTARIO INC.,"Brampton, ON L6T 1A7",1221-Administrative officers,Unknown,1,1
Ontario,    High Wage,1775419 ONTARIO INC.,"Brampton, ON L6T 1A7",7231-Machinists and machining and tooling inspectors,Unknown,1,1
Ontario,    High Wage,2 6 9 4 7 3 2  O N T A R I O  I N C .,"Brampton, ON L6P 1E2",1221-Administrative officers,Unknown,1,1
Ontario,    High Wage,2305309 Ontario Inc,"Brighton, ON K0K 1H0",0631-Restaurant and food service managers,Unknown,1,1
Ontario,    High Wage,2332254 ONTARIO INC,"Mississauga, ON L4W 1B2","1123-Professional occupations in advertising, marketing and public relations",Unknown,1,1
Ontario,    High Wage,2363435 Ontario Inc.,"Markham, ON L3S 4V8",6731-Light duty cleaners,Unknown,1,2
