Province/Territory,Program Stream,Employer ,Address ,Occupation ,Incorporate Status,Approved LMIAs,Approved Positions
Newfoundland and Labrador,    High Wage,85242 Newfoundland and Labrador Inc.,"Spaniard's Bay, NL A0A 3X0","7204-Contractors and supervisors, carpentry trades",Unknown,1,1
Newfoundland and Labrador,    High Wage,85242 Newfoundland and Labrador Inc.,"Spaniard's Bay, NL A0A 3X0",7251-Plumbers,Unknown,1,2
Newfoundland and Labrador,    High Wage,Blanchard's Heating & Cooling Ltd.,"Corner Brook, NL A2H 4C4",7313-Refrigeration and air conditioning mechanics,Unknown,1,1
Newfoundland and Labrador,    High Wage,Christopher's Trucking,"Forteau, NL A0K 2P0",7511-Transport truck drivers,Unknown,1,2
Newfoundland and Labrador,    High Wage,Grieg Seafarms NL Ltd.,"St Alban's, NL A0H 2E0",0823-Managers in aquaculture,Unknown,2,2
Newfoundland and Labrador,    High Wage,PROMINENT TRANSPORTATION INC,"BISHOP'S FALLS, NL A0H 1C0",0731-Managers in transportation,Unknown,1,1
Newfoundland and Labrador,   Low Wage,10565 NFLD Inc,"Happy Valley-Goose Bay, NL A0P 1C0",6312-Executive housekeepers,Unknown,1,2
Newfoundland and Labrador,   Low Wage,10565 NFLD Inc,"Happy Valley-Goose Bay, NL A0P 1C0","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Newfoundland and Labrador,   Low Wage,12924692 Canada Inc.,"Cormack, NL A8A 2S3",6211-Retail sales supervisors,Unknown,1,2
Newfoundland and Labrador,   Low Wage,72764 Newfoundland and Labrador Ltd.,"Springdale, NL A0J 1T0",6322-Cooks,Unknown,1,2
Newfoundland and Labrador,   Low Wage,72764 Newfoundland and Labrador Ltd.,"Springdale, NL A0J 1T0","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Newfoundland and Labrador,   Low Wage,76361 NL Inc.,"Deer Lake, NL A8A 1E6",6311-Food service supervisors,Unknown,1,3
Newfoundland and Labrador,   Low Wage,Baba Q's Smoke & Grill Restaurant Ltd,"Labrador City, NL A2V 1G1",6513-Food and beverage servers,Unknown,1,6
Newfoundland and Labrador,   Low Wage,Bishops College General Partner Inc.,"St. John's, NL A1C 2L6","4412-Home support workers, housekeepers and related occupations",Unknown,1,3
Newfoundland and Labrador,   Low Wage,Burton's Adventure Ltd,"St John's, NL A1H 1A1","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,3
Newfoundland and Labrador,   Low Wage,Chadwick Limited,"Corner Brook, NL A2H 4B5","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Newfoundland and Labrador,   Low Wage,CRB Supermarket & Deli (2020) Ltd.,"North West River, NL A0P 1M0",6611-Cashiers,Unknown,1,2
Newfoundland and Labrador,   Low Wage,CRB Supermarket & Deli (2020) Ltd.,"North West River, NL A0P 1M0","6622-Store shelf stockers, clerks and order fillers",Unknown,1,1
Newfoundland and Labrador,   Low Wage,Gary's Convenience Limited,"Glovertown, NL A0G 2L0",6311-Food service supervisors,Unknown,1,2
Newfoundland and Labrador,   Low Wage,Gary's Convenience Limited,"Glovertown, NL A0G 2L0","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Newfoundland and Labrador,   Low Wage,Golden Shell Fisheries (2014) Limited,"Hickman's Harbour, NL A0C 1P0",9463-Fish and seafood plant workers,Unknown,1,20
Newfoundland and Labrador,   Low Wage,Height of Land Hotel Inc.,"CHURCHILL FALLS, NL A0R 1A0",6322-Cooks,Unknown,1,2
Newfoundland and Labrador,   Low Wage,J.Co Holdings Inc.,"St. John's, NL A1B 3R2",6322-Cooks,Unknown,1,2
Newfoundland and Labrador,   Low Wage,PDLC Enterprises Inc,"Labrador City, NL A2V 2K7",6322-Cooks,Unknown,1,4
Newfoundland and Labrador,   Low Wage,Quinlan Brothers Ltd.,"Bay de Verde, NL A0A 1E0",9463-Fish and seafood plant workers,Unknown,1,125
Newfoundland and Labrador,   Low Wage,Quin-Sea Fisheries,"St. John's, NL A1B 4B4",9618-Labourers in fish and seafood processing,Unknown,2,70
Newfoundland and Labrador,   Low Wage,Sunnyslope Foods Inc,"Torbay, NL A1K 1G3","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Newfoundland and Labrador,   Low Wage,TORBAY FUN FOODS LTD,"ST. JOHN'S, NL A1A 5B2",6322-Cooks,Unknown,1,1
Newfoundland and Labrador,   Low Wage,TORBAY FUN FOODS LTD,"ST. JOHN'S, NL A1A 5B2","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Newfoundland and Labrador,   Low Wage,Yellow Belly Brewery Ltd.,"St. John's, NL A1C 5J9",6322-Cooks,Unknown,1,12
Newfoundland and Labrador,  Primary Agriculture,Kent Fudge,"Grand Falls-Windsor, NL A2A 2J7",8431-General farm workers,Unknown,1,1
Newfoundland and Labrador,  Primary Agriculture,Lester's Farm Market,"St. John's, NL A1E 6J4",8431-General farm workers,Unknown,1,9
Newfoundland and Labrador,  Primary Agriculture,New World Dairy Inc,"St. David's, NL A0N 1X0",8431-General farm workers,Unknown,1,10
Newfoundland and Labrador,  Primary Agriculture,Ocean View Farm,"Bay Bulls, NL A0A 1C0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,2
Newfoundland and Labrador, Global Talent Stream,North Star Payroll,"St. John's, NL A1A 1B3",2173-Software engineers and designers,Unknown,1,1
Prince Edward Island,    High Wage,Core-life Construction Company Ltd,"Montague, PE C0A 1R0",7271-Carpenters,Unknown,1,1
Prince Edward Island,    High Wage,Seafood Express (PEI) Limited,"Charlottetown, PE C1E 3M9",7511-Transport truck drivers,Unknown,1,14
Prince Edward Island,   Low Wage,101775 PEI Inc.,"Charlottetown, PE C1A 4B1",6322-Cooks,Unknown,1,1
Prince Edward Island,   Low Wage,101872P.E.I. INC,"Margate, PE C0B 1M0","4412-Home support workers, housekeepers and related occupations",Unknown,1,1
Prince Edward Island,   Low Wage,ACADIAN SUPREME INC.,"Wellington, PE C0B 2E0",9463-Fish and seafood plant workers,Unknown,1,30
Prince Edward Island,   Low Wage,ADEEM Management Inc,"Charlottetown, PE C1A 0C9",6311-Food service supervisors,Unknown,1,1
Prince Edward Island,   Low Wage,ADEEM Management Inc,"Charlottetown, PE C1A 0C9",6322-Cooks,Unknown,1,1
Prince Edward Island,   Low Wage,AG Vest Inc,"Kensington, PE C0B 1M0",7271-Carpenters,Unknown,1,1
Prince Edward Island,   Low Wage,AgraWest Foods Ltd,"SOURIS, PE C0A 2B0","9617-Labourers in food, beverage and associated products processing",Unknown,1,12
Prince Edward Island,   Low Wage,BEACH POINT PROCESSING COMPANY,"Beach Point, PE C0A 1V0",9463-Fish and seafood plant workers,Unknown,2,130
Prince Edward Island,   Low Wage,Belle River Enterprises Ltd,"Belle River, PE C0A 1B0",9463-Fish and seafood plant workers,Unknown,1,12
Prince Edward Island,   Low Wage,Bombay Cuisine Inc,"Charlottetown, PE C1A 4M8",6322-Cooks,Unknown,1,1
Prince Edward Island,   Low Wage,Cedar Foods (2010) Limited Cedar's Eatery,"Charlottetown, PE C1A 4L1",6322-Cooks,Unknown,1,1
Prince Edward Island,   Low Wage,Charlottetown Fresh Casual Restaurants Inc.,"Charlottetown, PE C1A 4M9",0631-Restaurant and food service managers,Unknown,1,2
Prince Edward Island,   Low Wage,D.L. MCQUAID HOLDINGS SUMMERSIDE INC.,"SUMMERSIDE, PE C1N 4P7",6611-Cashiers,Unknown,1,1
Prince Edward Island,   Low Wage,D.L. MCQUAID HOLDINGS SUMMERSIDE INC.,"SUMMERSIDE, PE C1N 4P7","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Prince Edward Island,   Low Wage,North Lake Fisheries (2013) Inc.,"Elmira, PE C0A 1K0",9463-Fish and seafood plant workers,Unknown,2,100
Prince Edward Island,   Low Wage,Piccottcare Familia Services Inc.,"Charlottetown, PE C1A 0E3",6731-Light duty cleaners,Unknown,2,3
Prince Edward Island,   Low Wage,"Quality Inn & Suites, Summerside","SUMMERSIDE, PE C1N 4H7",6731-Light duty cleaners,Unknown,1,2
Prince Edward Island,   Low Wage,Royal Star Foods Ltd,"Tignish, PE C0B 2B0",9463-Fish and seafood plant workers,Unknown,1,90
Prince Edward Island,   Low Wage,Seafood 2000 Ltd.,"Georgetown, PE C0A 1L0",9463-Fish and seafood plant workers,Unknown,1,86
Prince Edward Island,   Low Wage,SOURIS THAI FOOD TAKE OUT & RESTAURANT,"SOURIS, PE C0A 2B0",6322-Cooks,Unknown,1,1
Prince Edward Island,  Primary Agriculture,100556 P.E.I. INC. G W.& R Visser Farms,"Vernon Bridge, PE C0A 2E0",8431-General farm workers,Unknown,1,4
Prince Edward Island,  Primary Agriculture,14188977 Canada Inc.,"Murray River, PE C0A  1W","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Corporation,1,2
Prince Edward Island,  Primary Agriculture,14188977 Canada Inc.,"Murray River, PE C0A  1W",8431-General farm workers,Corporation,1,16
Prince Edward Island,  Primary Agriculture,Atlantic Grown Organics Inc,"Spring Valley, PE C0B 1M0",0822-Managers in horticulture,Unknown,1,2
Prince Edward Island,  Primary Agriculture,Atlantic Grown Organics Inc,"Spring Valley, PE C0B 1M0","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",Unknown,1,2
Prince Edward Island,  Primary Agriculture,Atlantic Grown Organics Inc,"Spring Valley, PE C0B 1M0",8432-Nursery and greenhouse workers,Unknown,1,8
Prince Edward Island,  Primary Agriculture,Brookfield Gardens Inc,"Brookfield, PE C0A 1Y0",8431-General farm workers,Unknown,1,6
Prince Edward Island,  Primary Agriculture,Carruthers Farms Ltd,"Hamilton, PE C0B 1M0",8431-General farm workers,Unknown,1,3
Prince Edward Island,  Primary Agriculture,Eastern Exporters Limited,"SOURIS, PE C0A 2B0",8431-General farm workers,Unknown,1,2
Prince Edward Island,  Primary Agriculture,FORTUNE BRIDGE FARMS,"SOURIS, PE C0A 2B0",8611-Harvesting labourers,Unknown,1,3
Prince Edward Island,  Primary Agriculture,Havenlee Farms Inc.,"Summerside, PE C1N 4J9",8431-General farm workers,Unknown,1,2
Prince Edward Island,  Primary Agriculture,Mackenzie Produce,"Stratford, PE C1B 2R7",8431-General farm workers,Unknown,2,10
Prince Edward Island,  Primary Agriculture,McCardle Bros,"Kinkora, PE C0B 1N0",8431-General farm workers,Unknown,2,7
Prince Edward Island,  Primary Agriculture,Morley C. Wood and Sons Inc.,"Albany, PE C0B 1A0",8431-General farm workers,Unknown,1,2
Prince Edward Island,  Primary Agriculture,Nobra Holsteins Inc.,"Irishtown, PE C0B 1M0",8431-General farm workers,Unknown,1,3
Prince Edward Island,  Primary Agriculture,Verdant LLC,"Cardigan, PE C0A 1G0",8431-General farm workers,Unknown,1,4
Prince Edward Island,  Primary Agriculture,Victoria Potato Farm Inc.,"Crapaud, PE C0A 1J0",8431-General farm workers,Unknown,1,5
Prince Edward Island, Global Talent Stream,Iron Fox Games Inc.,"Charlottetown, PE C1C 1R4","5131-Producers, directors, choreographers and related occupations",Corporation,1,1
Prince Edward Island, Global Talent Stream,Tethys Aquaculture Canada Inc.,"SOURIS, PE C0A 2B0",2121-Biologists and related scientists,Unknown,1,1
Nova Scotia,    High Wage,3094037 Nova Scotia Limited,"Bedford, NS B4A 3Y4",6321-Chefs,Unknown,1,1
Nova Scotia,    High Wage,3287666 Nova Scotia Limited,"Halifax, NS B3H 4M2",6211-Retail sales supervisors,Unknown,1,1
