Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Approved LMIAs,Approved Positions
Newfoundland and Labrador,    High Wage,A.B Clarke Electric Ltd,"Cbs, NL A1W 5T8",1241-Administrative assistants,Unknown,1,1
Newfoundland and Labrador,    High Wage,AB Complex Inc.,"Gander, NL A1V 1X3","0013-Senior managers - financial, communications and other business services",Unknown,1,1
Newfoundland and Labrador,    High Wage,Central Regional Health Authority,"GRAND FALLS - WINDSOR, NL A2A 2E1",3111-Specialist physicians,Non-Profit Organization,2,2
Newfoundland and Labrador,    High Wage,Eastern Regional Health Authority,"Mount Pearl, NL A1N 3J5",3111-Specialist physicians,Unknown,1,1
Newfoundland and Labrador,    High Wage,Memorial University of Newfoundland and Labrador,"St. John's, NL A1C 5S7",4011-University professors and lecturers,Unknown,1,1
Newfoundland and Labrador,   Low Wage,60178 Newfoundland & Labrador Corp,"Placentia, NL A0B 2Y0",6311-Food service supervisors,Unknown,1,2
Newfoundland and Labrador,   Low Wage,61144 Newfoundland and Labrador Inc,"St John's, NL A1E 4P3",7452-Material handlers,Unknown,1,1
Newfoundland and Labrador,   Low Wage,72764 Newfoundland and Labrador Ltd.,"Springdale, NL A0J 1T0","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Newfoundland and Labrador,   Low Wage,86956 NEWFOUNDLAND & LABRADOR INC.,"St. John's, NL A1B 3R2",6341-Hairstylists and barbers,Unknown,1,1
Newfoundland and Labrador,   Low Wage,87602 NEWFOUNDLAND AND LABRADOR CORP,"Rocky Harbour, NL A0K 4N0",6211-Retail sales supervisors,Unknown,1,2
Newfoundland and Labrador,   Low Wage,Allens Fisheries Limited,"Benoits Cove, NL A0L 1A0",9618-Labourers in fish and seafood processing,Unknown,1,12
Newfoundland and Labrador,   Low Wage,AQUA CRAB PRODUCERS INC,"AQUAFORTE, NL A0A 1A0",9463-Fish and seafood plant workers,Unknown,1,21
Newfoundland and Labrador,   Low Wage,Atlantic Grocery Distributors Ltd,"Bay Roberts, NL A0A 1G0","6622-Store shelf stockers, clerks and order fillers",Unknown,1,5
Newfoundland and Labrador,   Low Wage,Atlantic Grocery Distributors Ltd,"Bay Roberts, NL A0A 1G0",7511-Transport truck drivers,Unknown,1,2
Newfoundland and Labrador,   Low Wage,B & F ENTERPRISES LTD.,"BAIE VERTE, NL A0K 1B0",6311-Food service supervisors,Unknown,1,1
Newfoundland and Labrador,   Low Wage,Baba Q's Smoke & Grill Restaurant Ltd,"Labrador City, NL A2V 2B6",6322-Cooks,Unknown,1,3
Newfoundland and Labrador,   Low Wage,Baba Q's Smoke & Grill Restaurant Ltd,"Labrador City, NL A2V 2B6",6512-Bartenders,Unknown,1,2
Newfoundland and Labrador,   Low Wage,Baba Q's Smoke & Grill Restaurant Ltd,"Labrador City, NL A2V 2B6","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,6
Newfoundland and Labrador,   Low Wage,Barry Group Inc,"Port De Grave, NL A0A 3J0",9463-Fish and seafood plant workers,Corporation,1,15
