Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Requested LMIAs,Requested Positions,Postal Code,Latitude,Longitude
Prince Edward Island ,High Wage ,Shelby Inc,"Charlottetown, PE C1E 1S4",60020-Retail and wholesale trade managers,Unknown,1,1,C1E 1S4,46.2728689,-63.16055039999999
Nova Scotia ,High Wage ,Audioptics Medical Incorporated,"Halifax, NS B3J 2C6",13100-Administrative officers,Unknown,1,1,B3J 2C6,44.6476449,-63.575608
Nova Scotia ,High Wage ,Ravina Transport Inc.,"Dartmouth, NS B3B 1L7",12200-Accounting technicians and bookkeepers,Unknown,1,1,B3B 1L7,44.704798,-63.61438749999999
Nova Scotia ,High Wage ,Ravina Transport Inc.,"Dartmouth, NS B3B 1L7",13110-Administrative assistants,Unknown,1,1,B3B 1L7,44.704798,-63.61438749999999
Nova Scotia ,High Wage ,Ravina Transport Inc.,"Dartmouth, NS B3B 1L7","72024-Supervisors, motor transport and other ground transit operators",Unknown,1,1,B3B 1L7,44.704798,-63.61438749999999
Nova Scotia ,Low Wage ,G.B.J. FOOD SERVICES LIMITED,"New Glasgow, NS B2H 2J8",62020-Food service supervisors,Unknown,1,1,B2H 2J8,45.5778213,-62.6642184
Nova Scotia ,Low Wage ,Tri Mark Foods Ltd.,"Bedford, NS B4A 3A7",62020-Food service supervisors,Unknown,1,1,B4A 3A7,44.7248994,-63.67361369999999
Nova Scotia ,Low Wage ,Ultimate Treats Inc.,"Dartmouth, NS B2X 1S2","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,6,B2X 1S2,44.6821755,-63.53644740000001
Nova Scotia ,Primary Agriculture ,15398045 Canada INC.,"Hilltown, NS B0W 3T0",80020-Managers in agriculture,Unknown,1,1,B0W 3T0,44.3120434,-65.8176555
Nova Scotia ,Primary Agriculture ,15398045 Canada INC.,"Hilltown, NS B0W 3T0",82030-Agricultural service contractors and farm supervisors,Unknown,1,2,B0W 3T0,44.3120434,-65.8176555
Nova Scotia ,Primary Agriculture ,15398045 Canada INC.,"Hilltown, NS B0W 3T0",85101-Harvesting labourers,Unknown,1,3,B0W 3T0,44.3120434,-65.8176555
New Brunswick ,High Wage ,MassLynx Consultants Ltd.,"Moncton, NB E1C 1W1","00012-Senior managers - financial, communications and other business services",Unknown,1,1,E1C 1W1,46.0906971,-64.7826795
New Brunswick ,High Wage ,Modular Fabrication Inc,"Miramichi, NB E1N 6K6",72106-Welders and related machine operators,Unknown,1,10,E1N 6K6,47.00572349999999,-65.4408231
New Brunswick ,High Wage ,PARRASHINE HOME DECOR INC,"QUISPAMSIS, NB E2E 1S5",13110-Administrative assistants,Unknown,1,1,E2E 1S5,45.4282614,-65.98324099999999
New Brunswick ,High Wage ,PJ Atlantic Restaurants (Fred-North) Ltd.,"Lower Coverdale, NB E1J 1J8",60030-Restaurant and food service managers,Unknown,1,1,E1J 1J8,46.0257037,-64.7107506
New Brunswick ,High Wage ,Premium Caulking Inc.,"Memramcook, NB E4K 3X6","54100-Program leaders and instructors in recreation, sport and fitness",Unknown,1,1,E4K 3X6,46.02896860000001,-64.58035149999999
New Brunswick ,High Wage ,SPRINGCLIFF SERVICE CONSULTING TRADING LTD.,"SAINT JOHN, NB E2J 2E7",13110-Administrative assistants,Unknown,1,1,E2J 2E7,45.2941568,-66.0345099
New Brunswick ,Low Wage ,SQUASH MONCTON LTD.,"Moncton, NB E1C 0R6","54100-Program leaders and instructors in recreation, sport and fitness",Unknown,1,1,E1C 0R6,46.09608679999999,-64.79883869999999
New Brunswick ,Primary Agriculture ,Agventure Fields Inc.,"Sainte Anne de Kent, NB E4S 1C6",82030-Agricultural service contractors and farm supervisors,Unknown,1,1,E4S 1C6,46.519813,-64.7324041
Quebec ,Global Talent Stream ,TRANSPORT LIVRIRIS & LIVRIRIS PRO INC.,"Lasalle, QC H8P 1L7",21232-Software developers and programmers,Unknown,1,2,H8P 1L7,45.4300169,-73.598506
Quebec ,High Wage ,10594237 Canada Inc.,"Gatineau, QC J9H 7L3",32201-Massage therapists,Unknown,1,1,J9H 7L3,45.4066575,-75.7753178
Quebec ,High Wage ,10703273 Canada Inc,"Gatineau, QC J8Z 1S8",60020-Retail and wholesale trade managers,Unknown,1,1,J8Z 1S8,45.4649404,-75.74051249999999
Quebec ,High Wage ,11601148 CANADA INC,"Mont-Royal, QC H4P 1J3",63200-Cooks,Unknown,1,1,H4P 1J3,45.4965625,-73.66542509999999
