"Employers who were Issued a Positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and Business Location in 2020 (October-December)",b,c,d,e,f
Province/Territory,Stream,Employer,Address,Occupation,Approved Positions
Newfoundland and Labrador,    High Wage,Central Regional Health Authority,"GRAND FALLS - WINDSOR, NL A2A 2E1",3111-Specialist physicians,2
Newfoundland and Labrador,    High Wage,Eastern Regional Health Authority,"Mount Pearl, NL A1N 3J5",3111-Specialist physicians,1
Newfoundland and Labrador,    High Wage,Memorial University of Newfoundland,"St. John's, NL A1B 3R7",4011-University professors and lecturers,1
Newfoundland and Labrador,    High Wage,Western Regional Health Authority,"Corner Brook, NL A2H 6J7",3111-Specialist physicians,2
Newfoundland and Labrador,   Low Wage,BJH Enterprises Inc.,"St. John's, NL A1B 3R4",6322-Cooks,1
Newfoundland and Labrador,   Low Wage,Bugden Enterprises,"Conception Bay South, NL A1W 3A3",6311-Food service supervisors,1
Newfoundland and Labrador,   Low Wage,CLARENVILLE FOODS INC,"PORTUGAL COVE, NL A1M 1E3",6322-Cooks,1
Newfoundland and Labrador,   Low Wage,Quinlan Brothers Ltd.,"Bay de Verde, NL A0A 1E0",9618-Labourers in fish and seafood processing,70
Newfoundland and Labrador,  Primary Agriculture,M&P Dairy Farm Ltd.,"Goulds, NL A1S 1G7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Newfoundland and Labrador,  Primary Agriculture,NL Berry Acres Inc.,"Whitbourne, NL A0B 3K0",8431-General farm workers,1
Newfoundland and Labrador,  Primary Agriculture,Viking Fur Inc.,"Cavendish, NL A0B 1J0",8431-General farm workers,4
Prince Edward Island,    High Wage,Bulk Carriers (P.E.I.) Limited,"Clyde River, PE C0A 1H3",7511-Transport truck drivers,10
Prince Edward Island,    High Wage,Business Porters Inc.,"Summerside, PE C1N 3H3",7511-Transport truck drivers,1
Prince Edward Island,    High Wage,Chez Island Group Ltd.,"Wellington, PE C0B 2E0",0631-Restaurant and food service managers,1
Prince Edward Island,    High Wage,GlobalMavin Inc.,"Charlottetown, PE C1A 0B4",2174-Computer programmers and interactive media developers,1
Prince Edward Island,    High Wage,Kensington Community Care Home Ltd,"Kensington, PE C0B 1M0","3413-Nurse aides, orderlies and patient service associates",2
Prince Edward Island,   Low Wage,101775 PEI Inc.,"Charlottetown, PE C1A 4B1",6322-Cooks,1
Prince Edward Island,   Low Wage,GPS Foods Inc,"Souris, PE C0A 2B0",6322-Cooks,1
Prince Edward Island,   Low Wage,Larkin Bros. Inc.,"Hunter River, PE C0A 1N0","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Prince Edward Island,   Low Wage,North Lake Fisheries (2013) Inc.,"Elmira, PE C0A 1K0",9463-Fish and seafood plant workers,40
Prince Edward Island,   Low Wage,Royal Star Foods Ltd,"Tignish, PE C0B 2B0",9463-Fish and seafood plant workers,36
Prince Edward Island,   Low Wage,South Shore Seafoods Ltd.,"Bloomfield, PE C0B 1E0",9463-Fish and seafood plant workers,164
Prince Edward Island,  Primary Agriculture,Atlantic Grown Organics Inc,"Kensington, PE C0B 1M0",8432-Nursery and greenhouse workers,8
Prince Edward Island,  Primary Agriculture,Eastern Exporters Limited,"Souris, PE C0A 2B0",8431-General farm workers,3
Prince Edward Island,  Primary Agriculture,Eastern Farms Ltd.,"Pownal, PE C1B 3S5",8431-General farm workers,8
Prince Edward Island,  Primary Agriculture,Frizzells Valleyville Farm Inc,"Hunter River, PE C0A 1N0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Prince Edward Island,  Primary Agriculture,Hickey Farms Limited,"Darnley, PE C0B 1M0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Prince Edward Island,  Primary Agriculture,HILLTOP PRODUCE LTD,"Kinkora, PE C0B 1N0",8431-General farm workers,5
Prince Edward Island,  Primary Agriculture,Jewell's of Prince Edward Island Inc.,"York RR, PE C0A 1P0",8431-General farm workers,8
Prince Edward Island,  Primary Agriculture,Kouwenberg Farm Inc.,"Millview, PE C0A 2E0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Prince Edward Island,  Primary Agriculture,MGS Holdings & Distribution Ltd.,"Alberton, PE C0B 1B0",8431-General farm workers,65
Prince Edward Island,  Primary Agriculture,Mol Farms Inc.,"Kinkora, PE C0B 1N0",8431-General farm workers,2
Prince Edward Island,  Primary Agriculture,Port Hill Farm Inc,"Tyne Valley RR#1, PE C0B 2C0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Prince Edward Island,  Primary Agriculture,Vanco Farms Ltd.,"Mount Albion, PE C1B 0R4",8431-General farm workers,17
Prince Edward Island,  Primary Agriculture,Verdant LLC,"Cardigan, PE C0A 1G0",8431-General farm workers,10
Prince Edward Island,  Primary Agriculture,Victoria Potato Farm Inc.,"Crapaud, PE C0A 1J0",8431-General farm workers,6
Prince Edward Island, Global Talent Stream,RMIS Imaging Services Inc.,"Summerside, PE C1N  1B",2173-Software engineers and designers,1
Nova Scotia,    High Wage,Auto Wheels in Motion Limited dba The Atlantic RV Exchange,"Head of Jeddore, NS B0J 1P0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Nova Scotia,    High Wage,Canus Logistics Inc.,"BEDFORD, NS B4A 1E6",4163-Business development officers and marketing researchers and consultants,1
Nova Scotia,    High Wage,Dmflix Ltd.,"Dartmouth, NS B2W 4J6",6211-Retail sales supervisors,1
Nova Scotia,    High Wage,Dormie Golf  Workshop Inc,"Halifax, NS B3K 2Y3","9217-Supervisors, textile, fabric, fur and leather products processing and manufacturing",1
Nova Scotia,    High Wage,Fertinvest Canada Inc,"Halifax, NS B3K 1H3","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Nova Scotia,    High Wage,Governors St Francis Xavier University,"Antigonish, NS B2G 2W5",4011-University professors and lecturers,1
