"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, January to March 2021",b,c,d,e,f
Province/Territory,Program Stream,Employer ,Address,Occupation,Approved Positions
Newfoundland and Labrador,    High Wage,Central Regional Health Authority,"GRAND FALLS - WINDSOR, NL A2A 2E1",3111-Specialist physicians,2
Newfoundland and Labrador,    High Wage,Central Regional Health Authority,"GRAND FALLS - WINDSOR, NL A2A 2E1",3141-Audiologists and speech-language pathologists,1
Newfoundland and Labrador,    High Wage,Grieg Seafarms NL Ltd.,"St Alban's, NL A0H 2E0",0823-Managers in aquaculture,1
Newfoundland and Labrador,    High Wage,Kraken Robotic Systems Inc.,"Mount Pearl, NL A1N 4P6",2133-Electrical and electronics engineers,1
Newfoundland and Labrador,   Low Wage,Barry Group Inc.,"Corner Brook, NL A2H 3E9",9463-Fish and seafood plant workers,48
Newfoundland and Labrador,   Low Wage,Barry Group Inc.,"Corner Brook, NL A2H 3E9",9618-Labourers in fish and seafood processing,12
Newfoundland and Labrador,   Low Wage,Burton's Adventure Ltd,"St John's, NL A1H 1A1",6322-Cooks,1
Newfoundland and Labrador,   Low Wage,Fibreglass Works Ltd,"Wareham,Centreville,Trinity, NL A0G 4P0","9535-Plastic products assemblers, finishers and inspectors",4
Newfoundland and Labrador,   Low Wage,Louis Gee's Pizza & Donairs,"CORNER BROOK, NL A2H 2Z3",6322-Cooks,1
Newfoundland and Labrador,   Low Wage,Patey & Sons Ltd,"River of Ponds, NL A0K 4M0",6322-Cooks,1
Newfoundland and Labrador,   Low Wage,Terra Vista Ltd.,"Glovertown, NL A0G 2L0",9463-Fish and seafood plant workers,15
Newfoundland and Labrador,  Primary Agriculture,J & C Sod Farm Ltd.,"Bay Bulls, NL A0A 1C0",8431-General farm workers,2
Newfoundland and Labrador, Global Talent Stream,HeyOrca Inc.,"St. John's, NL A1B 3P9",2174-Computer programmers and interactive media developers,2
Prince Edward Island,    High Wage,2108204 Alberta Ltd.,"Charlottetown, PE C1E 1K4",1523-Production logistics co-ordinators,1
Prince Edward Island,    High Wage,Canadian Nature Roots LTD.,"Stratford, PE C1B 2Y5","0016-Senior managers - construction, transportation, production and utilities",1
Prince Edward Island,    High Wage,KILDARE FISHERIES LTD,"Alberton, PE C0B 1B0",6315-Cleaning supervisors,4
Prince Edward Island,    High Wage,Seafood Express (PEI) Limited,"Charlottetown, PE C1E 3M9",7511-Transport truck drivers,10
Prince Edward Island,   Low Wage,Belle River Enterprises Ltd,"Belle River, PE C0A 1B0",9463-Fish and seafood plant workers,10
Prince Edward Island,   Low Wage,By the Water Shellfish (2012) Inc,"Borden Carleton, PE C0B 1X0",9463-Fish and seafood plant workers,25
Prince Edward Island,   Low Wage,North Lake Fisheries (2013) Inc.,"Elmira, PE C0A 1K0",9463-Fish and seafood plant workers,40
Prince Edward Island,   Low Wage,Perrys Construction Ltd.,"Tignish, PE C0B 2B0",7611-Construction trades helpers and labourers,10
Prince Edward Island,   Low Wage,Royal Star Foods Ltd,"Tignish, PE C0B 2B0",9463-Fish and seafood plant workers,75
Prince Edward Island,   Low Wage,Seafood 2000 Ltd.,"Georgetown, PE C0A 1L0",9463-Fish and seafood plant workers,102
Prince Edward Island,   Low Wage,Summerside Seafood Supreme Inc.,"Summerside, PE C1N 2V5",9463-Fish and seafood plant workers,25
Prince Edward Island,  Primary Agriculture,100556 P.E.I. INC. G W.& R Visser Farms,"Vernon Bridge, PE C0A 2E0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Prince Edward Island,  Primary Agriculture,100556 P.E.I. INC. G W.& R Visser Farms,"Vernon Bridge, PE C0A 2E0",8431-General farm workers,4
Prince Edward Island,  Primary Agriculture,101497 PEI Inc,"Cherry Valley, PE C0A 2E0",8431-General farm workers,12
Prince Edward Island,  Primary Agriculture,102045 PEI Inc.,"Montague, PE C0A 1R0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
Prince Edward Island,  Primary Agriculture,102045 PEI Inc.,"Montague, PE C0A 1R0",8431-General farm workers,50
Prince Edward Island,  Primary Agriculture,102095 PEI INC.,"Belle River, PE C0A 1B0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
Prince Edward Island,  Primary Agriculture,102095 PEI INC.,"Belle River, PE C0A 1B0",8431-General farm workers,20
Prince Edward Island,  Primary Agriculture,Atlantic Grown Organics Inc,"Kensington, PE C0B 1M0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Prince Edward Island,  Primary Agriculture,Atlantic Grown Organics Inc,"Kensington, PE C0B 1M0",8431-General farm workers,4
Prince Edward Island,  Primary Agriculture,Birch Farms Ltd.,"Summerside, PE C1N 4J9",8431-General farm workers,6
Prince Edward Island,  Primary Agriculture,BUNNY BURROW VEGETABLE CO. LTD,"Kinkora, PE C0B 1N0",8431-General farm workers,2
Prince Edward Island,  Primary Agriculture,Havenlee Farms Inc.,"Summerside, PE C1N 4J9",8431-General farm workers,2
Prince Edward Island,  Primary Agriculture,HILLTOP PRODUCE LTD,"Kinkora, PE C0B 1N0",8431-General farm workers,4
Prince Edward Island,  Primary Agriculture,Hy-Croft Farms Inc.,"Summerside, PE C1N 4V4",8431-General farm workers,6
Prince Edward Island,  Primary Agriculture,Middleton Farms Ltd,"Kinkora, PE C0B 1N0",8431-General farm workers,2
Prince Edward Island,  Primary Agriculture,Mol Farms Inc.,"Kinkora, PE C0B 1N0",8431-General farm workers,4
Prince Edward Island,  Primary Agriculture,Newland Farms Inc.,"Hunter River, PE C0A 1N0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
Prince Edward Island,  Primary Agriculture,Pure Pork Farms Ltd.,"Mount Albion, PE C1B 4B3",8431-General farm workers,2
Prince Edward Island,  Primary Agriculture,Smith Farms Ltd.,"Kinkora, PE C0B 1N0",8431-General farm workers,4
Prince Edward Island,  Primary Agriculture,Sunny Meadow Farms Inc,"North Milton, PE C1E 0X3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Prince Edward Island,  Primary Agriculture,Vanco Farms Ltd.,"Mount Albion, PE C1B 0R4",8431-General farm workers,9
