"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, October to December 2021",b,c,d,e,f,g,h
Province/Territory,Program Stream,Employer ,Address ,Occupation ,Incorporate Status,Approved LMIAs,Approved Positions
Newfoundland and Labrador,    High Wage,Central Regional Health Authority,"GRAND FALLS - WINDSOR, NL A2A 2E1",3111-Specialist physicians,Non-Profit Organization,2,3
Newfoundland and Labrador,    High Wage,Eastern Regional Health Authority,"Mount Pearl, NL A1N 3J5",3111-Specialist physicians,Unknown,2,2
Newfoundland and Labrador,    High Wage,Green Bay Fibre Products ltd,"King's Point, NL A0J 1H0",9531-Boat assemblers and inspectors,Unknown,1,3
Newfoundland and Labrador,   Low Wage,10565 NFLD Inc,"Happy Valley-Goose Bay, NL A0P 1C0",6731-Light duty cleaners,Unknown,1,2
Newfoundland and Labrador,   Low Wage,67527 Newfoundland and Labrador Limited,"COME-BY-CHANCE, NL A0B 1N0",6322-Cooks,Unknown,1,3
Newfoundland and Labrador,   Low Wage,72764 Newfoundland and Labrador Ltd.,"Springdale, NL A0J 1T0",6322-Cooks,Unknown,1,1
Newfoundland and Labrador,   Low Wage,BAIE VISTA INN LIMITED,"BAIE VERTE, NL A0K 1B0","6313-Accommodation, travel, tourism and related services supervisors",Unknown,1,1
Newfoundland and Labrador,   Low Wage,M&B Diner Ltd.,"Roddickton, NL A0K 4P0",6322-Cooks,Unknown,1,2
Newfoundland and Labrador,   Low Wage,M&B Diner Ltd.,"Roddickton, NL A0K 4P0",6513-Food and beverage servers,Unknown,1,2
Newfoundland and Labrador,   Low Wage,Normie's Enterprises Inc.,"Corner Brook, NL A2H 6G7",6322-Cooks,Unknown,1,2
Newfoundland and Labrador,   Low Wage,Shenanigans Bar & Grill,"Conception Bay South, NL A1X 7M8",6322-Cooks,Unknown,1,2
Newfoundland and Labrador,  Primary Agriculture,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,4
Newfoundland and Labrador,  Primary Agriculture,N&N Farm Limited,"Cormack, NL A8A 2R6","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,5
Newfoundland and Labrador, Global Talent Stream,Bluedrop ISM Limited,"St. John's, NL A1C 3S4",2174-Computer programmers and interactive media developers,Corporation,1,1
Prince Edward Island,    High Wage,Business Porters Inc.,"Charlottetown, PE C1E 0E4","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1,1
Prince Edward Island,    High Wage,Business Porters Inc.,"Charlottetown, PE C1E 0E4",7511-Transport truck drivers,Unknown,1,0
Prince Edward Island,    High Wage,Seafood Express (PEI) Limited,"Charlottetown, PE C1E 3M9",7511-Transport truck drivers,Unknown,2,28
Prince Edward Island,    High Wage,Tasty Indian Cuisine Inc.,"Charlottetown, PE C1A 1N4",6322-Cooks,Unknown,1,1
Prince Edward Island,   Low Wage,Atlantic Aqua Farms Ltd,"Borden-Carleton, PE C0B 1X0",8613-Aquaculture and marine harvest labourers,Unknown,1,9
Prince Edward Island,   Low Wage,Charlottetown Fresh Casual Restaurants Inc.,"Charlottetown, PE C1A 4M9",6322-Cooks,Unknown,1,2
Prince Edward Island,   Low Wage,mango fresh market ltd,"Charlottetown, PE C1A 4N7",6211-Retail sales supervisors,Unknown,1,1
Prince Edward Island,   Low Wage,mango fresh market ltd,"Charlottetown, PE C1A 4N7",7511-Transport truck drivers,Unknown,1,3
Prince Edward Island,   Low Wage,North Lake Fisheries (2013) Inc.,"Elmira, PE C0A 1K0",9463-Fish and seafood plant workers,Unknown,2,81
Prince Edward Island,   Low Wage,Royal Star Foods Ltd,"Tignish, PE C0B 2B0",9463-Fish and seafood plant workers,Unknown,1,40
Prince Edward Island,   Low Wage,Seafood 2000 Ltd.,"Georgetown, PE C0A 1L0",9463-Fish and seafood plant workers,Unknown,2,81
Prince Edward Island,   Low Wage,South Shore Seafoods Ltd.,"Bloomfield, PE C0B 1E0",9463-Fish and seafood plant workers,Unknown,3,195
Prince Edward Island,   Low Wage,Trout River Industries Inc.,"Coleman, PE C0B 1H0","9619-Other labourers in processing, manufacturing and utilities",Unknown,1,4
Prince Edward Island,  Primary Agriculture,100556 P.E.I. INC. G W.& R Visser Farms,"Vernon Bridge, PE C0A 2E0",8431-General farm workers,Unknown,2,2
Prince Edward Island,  Primary Agriculture,Atlantic Grown Organics Inc,"Spring Valley, PE C0B 1M0",0822-Managers in horticulture,Unknown,1,2
Prince Edward Island,  Primary Agriculture,Atlantic Grown Organics Inc,"Spring Valley, PE C0B 1M0","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",Unknown,1,2
Prince Edward Island,  Primary Agriculture,Atlantic Grown Organics Inc,"Spring Valley, PE C0B 1M0",8431-General farm workers,Unknown,1,10
Prince Edward Island,  Primary Agriculture,Canadian Nature Roots LTD.,"Stratford, PE C1B 2Y5",8431-General farm workers,Unknown,1,4
Prince Edward Island,  Primary Agriculture,Eastern Exporters Limited,"Souris, PE C0A 2B0",8431-General farm workers,Unknown,1,1
Prince Edward Island,  Primary Agriculture,Frizzells Valleyville Farm Inc,"Hunter River, PE C0A 1N0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,2
Prince Edward Island,  Primary Agriculture,Jewell's of Prince Edward Island Inc.,"York RR, PE C0A 1P0",8431-General farm workers,Corporation,1,2
Prince Edward Island,  Primary Agriculture,KINKORA HOLDINGS INC,"Kinkora, PE C0B 1N0",8611-Harvesting labourers,Unknown,2,9
Prince Edward Island,  Primary Agriculture,Mol Farms Inc.,"Kinkora, PE C0B 1N0",8431-General farm workers,Unknown,1,2
Prince Edward Island,  Primary Agriculture,Nobra Holsteins Inc.,"Irishtown, PE C0B 1M0",8431-General farm workers,Unknown,1,1
Prince Edward Island,  Primary Agriculture,Port Hill Farm Inc,"Tyne Valley RR#1, PE C0B 2C0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,1
Prince Edward Island,  Primary Agriculture,Pure Pork Farms Ltd.,"Mount Albion, PE C1B 4B3",8431-General farm workers,Unknown,1,1
Prince Edward Island,  Primary Agriculture,Smith Farms Ltd.,"Kinkora, PE C0B 1N0",8431-General farm workers,Unknown,1,6
Prince Edward Island,  Primary Agriculture,Vanco Farms Ltd.,"Mount Albion, PE C1B 0R4",8431-General farm workers,Unknown,2,50
Prince Edward Island,  Primary Agriculture,Verander Farms Inc.,"North Wiltshire, PE C0A 1Y0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,1
Prince Edward Island,  Primary Agriculture,Victoria Potato Farm Inc.,"Crapaud, PE C0A 1J0",8431-General farm workers,Unknown,3,8
Prince Edward Island, Global Talent Stream,Tethys Aquaculture Canada Inc.,"Souris, PE C0A 2B0",0212-Architecture and science managers,Unknown,1,1
Nova Scotia,    High Wage,3289828 NS LTD,"SACKVILLE, NS B4C 2N1",7237-Welders and related machine operators,Unknown,1,4
Nova Scotia,    High Wage,3289828 NS LTD,"SACKVILLE, NS B4C 2N1",7322-Motor vehicle body repairers,Unknown,1,3
Nova Scotia,    High Wage,Anytime Freight Services Inc.,"bedford, NS B4B 1J7",7511-Transport truck drivers,Unknown,1,2
Nova Scotia,    High Wage,ATLANTIC QUALITY PAINTING AND MAINTENANCE SERVICES LTD.,"Halifax, NS B3M 1J1",7294-Painters and decorators (except interior decorators),Unknown,1,1
Nova Scotia,    High Wage,Comfort Orthotics & Podiatry Clinic Inc.,"Bedford, NS B4A 3Y4",3125-Other professional occupations in health diagnosing and treating,Unknown,1,1
Nova Scotia,    High Wage,Dalhousie University,"Halifax, NS B3H 4H2",4011-University professors and lecturers,Unknown,1,1
Nova Scotia,    High Wage,Dhaba Express Restaurant & Takeaway Ltd,"Halifax, NS B3S 1C6",6322-Cooks,Unknown,1,1
Nova Scotia,    High Wage,GTL Transportation Inc,"Dartmouth, NS B3B 1V6",7511-Transport truck drivers,Unknown,2,5
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7","0016-Senior managers - construction, transportation, production and utilities",Unknown,2,2
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0211-Engineering managers,Unknown,2,2
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",1122-Professional occupations in business management consulting,Unknown,2,2
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",2132-Mechanical engineers,Unknown,1,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",2133-Electrical and electronics engineers,Unknown,1,1
Nova Scotia,    High Wage,Petite Riviere Vineyards Inc.,"Crousetown, NS B4V 6R2","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,1
Nova Scotia,    High Wage,Tidal Coast Construction Limited,"Bedford, NS B3M 2L4",0711-Construction managers,Unknown,1,1
Nova Scotia,    High Wage,TOPAZ TRANSPORT INC.,"BEAVER BANK, NS B4E 3J4",7511-Transport truck drivers,Unknown,1,4
Nova Scotia,   Low Wage,3099794 Nova Scotia Ltd.,"Enfield, NS B2T 1C8",6322-Cooks,Unknown,2,4
Nova Scotia,   Low Wage,3231974 Nova Scotia Limited,"Eastern Passage, NS B3G 1M4",9618-Labourers in fish and seafood processing,Unknown,1,3
Nova Scotia,   Low Wage,3274876 Nova Scotia Ltd,"Clarks Harbour, NS B0W 1P0",9463-Fish and seafood plant workers,Unknown,1,5
Nova Scotia,   Low Wage,7 Peppers grill,"Halifax, NS B3L 4P6",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,Apple Valley Foods Inc,"Kentville, NS B4N 3V7","9617-Labourers in food, beverage and associated products processing",Unknown,1,24
Nova Scotia,   Low Wage,BMC Seafoods Limited,"Meteghan, NS B0W 2J0",9463-Fish and seafood plant workers,Unknown,1,9
