"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, April to June 2022",b,c,d,e,f,g,h
Province/Territory,Program Stream,Employer ,Address ,Occupation ,Incorporate Status,Requested LMIAs,Requested Positions
Newfoundland and Labrador,    High Wage,10894516 Canada Inc. o/a The Podiatry Associates,"St. John's, NL A1B 3E1",3125-Other professional occupations in health diagnosing and treating,Corporation,1,1
Newfoundland and Labrador,    High Wage,Central Regional Health Authority,"GRAND FALLS - WINDSOR, NL A2A 2E1",3111-Specialist physicians,Non-Profit Organization,6,6
Newfoundland and Labrador,    High Wage,Eastern Regional Health Authority,"Mount Pearl, NL A1N 3J5",3111-Specialist physicians,Unknown,1,1
Newfoundland and Labrador,    High Wage,Stone Island Enterprises Inc,"Bay Bulls, NL A0A 1C0",9531-Boat assemblers and inspectors,Unknown,1,2
Newfoundland and Labrador,    High Wage,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",1221-Administrative officers,Corporation,1,1
Newfoundland and Labrador,    High Wage,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",2113-Geoscientists and oceanographers,Corporation,1,1
Newfoundland and Labrador,    High Wage,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",2232-Mechanical engineering technologists and technicians,Corporation,1,2
Newfoundland and Labrador,    High Wage,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",2263-Inspectors in public and environmental health and occupational health and safety,Corporation,2,2
Newfoundland and Labrador,    High Wage,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3","2273-Deck officers, water transport",Corporation,5,5
Newfoundland and Labrador,    High Wage,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3","2274-Engineer officers, water transport",Corporation,3,3
Newfoundland and Labrador,    High Wage,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3","7302-Contractors and supervisors, heavy equipment operator crews",Corporation,3,3
Newfoundland and Labrador,    High Wage,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",7371-Crane operators,Corporation,1,1
Newfoundland and Labrador,    High Wage,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3","7384-Other trades and related occupations, n.e.c.",Corporation,16,25
Newfoundland and Labrador,    High Wage,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",7612-Other trades helpers and labourers,Corporation,3,4
Newfoundland and Labrador,    High Wage,Western Regional Health Authority,"Corner Brook, NL A2H 6J7",3112-General practitioners and family physicians,Unknown,1,1
Newfoundland and Labrador,   Low Wage,72764 Newfoundland and Labrador Ltd.,"Springdale, NL A0J 1T0",6322-Cooks,Unknown,1,1
Newfoundland and Labrador,   Low Wage,BJH Enterprises Inc.,"St. John's, NL A1B 3R4","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Newfoundland and Labrador,   Low Wage,Burton's Adventure Ltd,"St John's, NL A1H 1A1",6311-Food service supervisors,Unknown,1,1
Newfoundland and Labrador,   Low Wage,CLARENVILLE FOODS INC,"PORTUGAL COVE, NL A1M 1E3",6322-Cooks,Unknown,1,2
Newfoundland and Labrador,   Low Wage,CLAYTON HOSPITALITY INC,"Gander, NL A1V 1P8",6322-Cooks,Unknown,1,1
Newfoundland and Labrador,   Low Wage,E&W Enterprises Limited,"Carbonear, NL A1Y 1A6",6311-Food service supervisors,Unknown,1,2
