"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, January to March 2024",b,c,d,e,f,g,h
Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Approved LMIAs,Approved Positions
Newfoundland and Labrador,Global Talent Stream,Veristart Technologies Inc.,"St. John's, NL A1H 1A2",2173-Software engineers and designers,Unknown,1,1
Newfoundland and Labrador,High Wage,91521 Newfoundland & Labrador Inc.,"Paradise, NL A1L 3B3",7271-Carpenters,Unknown,1,2
Newfoundland and Labrador,High Wage,Eastern Regional Health Authority,"Mount Pearl, NL A1N 3J5",3111-Specialist physicians,Unknown,1,1
Newfoundland and Labrador,High Wage,Genoa Design International,"Mt. Pearl, NL A1N 4R6",2253-Drafting technologists and technicians,Unknown,3,5
Newfoundland and Labrador,High Wage,Newfoundland and Labrador Health Services,"Grand Falls-Windsor, NL A2A 1Y4",3111-Specialist physicians,Unknown,1,1
Newfoundland and Labrador,High Wage,Physio & Co. (2021) Ltd.,"Bay Bulls, NL A0A 1C0",3142-Physiotherapists,Unknown,1,2
Newfoundland and Labrador,High Wage,Western Regional Health Authority,"Corner Brook, NL A2H 6J7",3111-Specialist physicians,Unknown,3,3
Newfoundland and Labrador,Low Wage,67527 Newfoundland and Labrador Limited,"COME-BY-CHANCE, NL A0B 1N0",6322-Cooks,Unknown,1,4
Newfoundland and Labrador,Low Wage,80707 Newfoundland and Labrador Inc.,"Corner Brook, NL A2H 6P4",6322-Cooks,Unknown,1,1
Newfoundland and Labrador,Low Wage,91521 Newfoundland & Labrador Inc.,"Paradise, NL A1L 3B3",7611-Construction trades helpers and labourers,Unknown,1,1
Newfoundland and Labrador,Low Wage,Allens Fisheries Limited,"Benoits Cove, NL A0L 1A0",9618-Labourers in fish and seafood processing,Unknown,1,40
Newfoundland and Labrador,Low Wage,AQUA CRAB PRODUCERS INC,"AQUAFORTE, NL A0A 1A0",9463-Fish and seafood plant workers,Unknown,1,23
Newfoundland and Labrador,Low Wage,Barry Group Inc,"Corner Brook, NL A2H 3E9",9463-Fish and seafood plant workers,Unknown,2,60
Newfoundland and Labrador,Low Wage,Barry Group Inc.,"Corner Brook, NL A2H 3E9",9618-Labourers in fish and seafood processing,Unknown,6,90
Newfoundland and Labrador,Low Wage,Blair Holdings Limited,"Corner Brook, NL A2H 4C5",6731-Light duty cleaners,Unknown,1,1
Newfoundland and Labrador,Low Wage,CAKEYHAND DESSERT FACTORY INC.,"Paradise, NL A1L 1P9",6321-Chefs,Unknown,1,1
Newfoundland and Labrador,Low Wage,Dallas Mercer Consulting Inc.,"Mount Pearl, NL A1C 5G4",6731-Light duty cleaners,Unknown,1,1
Newfoundland and Labrador,Low Wage,Fibreglass Works Ltd,"Wareham,Centreville,Trinity, NL A0G 4P0","9535-Plastic products assemblers, finishers and inspectors",Unknown,1,1
Newfoundland and Labrador,Low Wage,Five Corners Inc.,"St. John's, NL A1C 1E3",0631-Restaurant and food service managers,Unknown,1,1
Newfoundland and Labrador,Low Wage,Good fortune Food Industry Inc.,"St. John’s, NL A1B 1W2","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,3,3
Newfoundland and Labrador,Low Wage,Green Seafoods Limited,"Winterton, NL A0B 3M0",9618-Labourers in fish and seafood processing,Unknown,1,4
Newfoundland and Labrador,Low Wage,JBP Holdings Inc.,"Mount Pearl, NL A1N 5K8",6341-Hairstylists and barbers,Unknown,2,7
Newfoundland and Labrador,Low Wage,Ocean Choice International,"St. John's, NL A1B 3N4",9463-Fish and seafood plant workers,Unknown,2,90
