"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2021 and Business Location, July to September 2024",b,c,d,e,f,g,h
Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Approved LMIAs,Approved Positions
Newfoundland and Labrador                                                  ,Global Talent Stream  ,Veristart Technologies Inc.,"St. John's, NL A1H 1A2",21234-Web developers and programmers,Unknown,1,1
Newfoundland and Labrador                                                  ,Global Talent Stream  ,Vision33 Canada Inc,"St. John's, NL A1C 1A9",21221-Business system specialists,Unknown,1,1
Newfoundland and Labrador                                                  ,High Wage          ,13199657 Canada Inc.,"Fermeuse, NL A0A 2G0",60020-Retail and wholesale trade managers,Unknown,1,1
Newfoundland and Labrador                                                  ,High Wage          ,13744582 Canada Inc.,"Mount Pearl, NL A1N 5B2",62010-Retail sales supervisors,Unknown,1,1
Newfoundland and Labrador                                                  ,High Wage          ,13744582 Canada Inc.,"Mount Pearl, NL A1N 5B2",75201-Delivery service drivers and door-to-door distributors,Unknown,1,1
Newfoundland and Labrador                                                  ,High Wage          ,Advance Plus Tech Solutions Inc.,"Mount Pearl, NL A1N 1L9","12013-Supervisors, supply chain, tracking and scheduling coordination occupations",Unknown,1,1
Newfoundland and Labrador                                                  ,High Wage          ,Bursey Excavating & Development Inc,"St. John's, NL A1A 4Y3",72401-Heavy-duty equipment mechanics,Unknown,1,2
Newfoundland and Labrador                                                  ,High Wage          ,Bursey Excavating & Development Inc,"St. John's, NL A1A 4Y3",73400-Heavy equipment operators,Unknown,1,2
Newfoundland and Labrador                                                  ,High Wage          ,Dr Chandrasegaram Labrador Prof Dental Corp,"Happy Valley Goose Bay, NL A0P 1C0",12200-Accounting technicians and bookkeepers,Unknown,1,1
Newfoundland and Labrador                                                  ,High Wage          ,Dr Chandrasegaram Labrador Prof Dental Corp,"Happy Valley Goose Bay, NL A0P 1C0",13100-Administrative officers,Unknown,1,1
Newfoundland and Labrador                                                  ,High Wage          ,Labrador Grenfell Health,"Happy Valley-Goose Bay, NL A0P 1C0",31101-Specialists in surgery,Unknown,1,1
Newfoundland and Labrador                                                  ,High Wage          ,NatoJ Consulting Corporation,"Labrador city, NL A2V 2N5",13100-Administrative officers,Unknown,1,1
Newfoundland and Labrador                                                  ,High Wage          ,Newfoundland and Labrador Health Services,"Grand Falls-Windsor, NL A2A 1X3",31100-Specialists in clinical and laboratory medicine,Unknown,1,1
Newfoundland and Labrador                                                  ,High Wage          ,Osauhing TS Shipping,"St. John's, NL A1E 2E3",72201-Industrial electricians,Unknown,3,5
Newfoundland and Labrador                                                  ,High Wage          ,Osauhing TS Shipping,"St. John's, NL A1E 2E3","72602-Deck officers, water transport",Unknown,4,9
Newfoundland and Labrador                                                  ,High Wage          ,Osauhing TS Shipping,"St. John's, NL A1E 2E3","72603-Engineer officers, water transport",Unknown,3,6
Newfoundland and Labrador                                                  ,High Wage          ,Western Steel Works Inc.,"Corner Brook, NL A2H 6H6",72100-Machinists and machining and tooling inspectors,Unknown,1,1
Newfoundland and Labrador                                                  ,High Wage          ,YES BY PHONE REPAIRS LTD,"PARADISE, NL A1L 2P4",22311-Electronic service technicians (household and business equipment),Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage            ,63198 Newfoundland & Labrador Inc.,"St. John's, NL A1B 4A4","72411-Auto body collision, refinishing and glass technicians and damage repair estimators",Unknown,1,2
Newfoundland and Labrador                                                  ,Low Wage            ,66406 Newfoundland & Labrador Limited,"St. John's, NL A1B 4A4","72411-Auto body collision, refinishing and glass technicians and damage repair estimators",Unknown,1,2
Newfoundland and Labrador                                                  ,Low Wage            ,72764 Newfoundland and Labrador Ltd.,"Springdale, NL A0J 1T0","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage            ,Balaji Enterprises ltd.,"Springdale, NL A0J 1T0",64100-Retail salespersons and visual merchandisers,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage            ,Blair Holdings Limited,"Corner Brook, NL A2H 4C5",65310-Light duty cleaners,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage            ,CBS FOODS LTD,"CONCEPTION BAY, NL A1W 3A6",63200-Cooks,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage            ,Coady Construction and Excavating Limited,"Torbay, NL A1K 1K9",73400-Heavy equipment operators,Unknown,1,3
Newfoundland and Labrador                                                  ,Low Wage            ,Coady Construction and Excavating Limited,"Torbay, NL A1K 1K9",74203-Automotive and heavy truck and equipment parts installers and servicers,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage            ,Coady Construction and Excavating Limited,"Torbay, NL A1K 1K9",75110-Construction trades helpers and labourers,Unknown,1,3
Newfoundland and Labrador                                                  ,Low Wage            ,DQGANDER&GFW FOOD INC.,"Grand Falls, Windsor, NL A2A 2K2","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,6
Newfoundland and Labrador                                                  ,Low Wage            ,Elliott's Hotel Limited,"head of bay d'espoir, NL A0H 1R0",63200-Cooks,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage            ,Fibreglass Works Ltd,"Wareham,Centreville,Trinity, NL A0G 4P0","94212-Plastic products assemblers, finishers and inspectors",Unknown,1,4
