"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2021 and Business Location, October to December 2024",b,c,d,e,f,g,h
Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Approved LMIAs,Approved Positions
Newfoundland and Labrador                                                  ,High Wage,#1Nails,"St. John’s, NL A1B 1W3","63211-Estheticians, electrologists and related occupations",Unknown,1,2
Newfoundland and Labrador                                                  ,High Wage,Clarenville Vet Hospital Inc,"Clarenville, NL A5A 1Y9",31103-Veterinarians,Unknown,1,2
Newfoundland and Labrador                                                  ,High Wage,Provincial Health Authority,"Happy Valley-Goose Bay, NL A0P 1C0",31101-Specialists in surgery,Unknown,1,1
Newfoundland and Labrador                                                  ,High Wage,Young's Industrial Refrigeration,"Lethbridge, NL A0C 1V0","72402-Heating, refrigeration and air conditioning mechanics",Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage,72764 Newfoundland and Labrador Ltd.,"Springdale, NL A0J 1T0",62020-Food service supervisors,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage,72764 Newfoundland and Labrador Ltd.,"Springdale, NL A0J 1T0","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Newfoundland and Labrador                                                  ,Low Wage,76361 NL Inc.,"Deer Lake, NL A8A 1E6",62020-Food service supervisors,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage,76361 NL Inc.,"Deer Lake, NL A8A 1E6","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage,94005 Newfoundland and Labrador Inc.,"St. John’s, NL A1B 1W3","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Newfoundland and Labrador                                                  ,Low Wage,AQUA CRAB PRODUCERS INC,"AQUAFORTE, NL A0A 1A0",94142-Fish and seafood plant workers,Unknown,1,32
Newfoundland and Labrador                                                  ,Low Wage,B & F ENTERPRISES LTD.,"BAIE VERTE, NL A0K 1B0",62020-Food service supervisors,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage,B & F ENTERPRISES LTD.,"BAIE VERTE, NL A0K 1B0","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage,BAIE VISTA INN LIMITED,"BAIE VERTE, NL A0K 1B0",12200-Accounting technicians and bookkeepers,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage,BAIE VISTA INN LIMITED,"BAIE VERTE, NL A0K 1B0","62022-Accommodation, travel, tourism and related services supervisors",Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage,BJH Enterprises Inc.,"St. John's, NL A1B 3R4",63200-Cooks,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage,Blair Holdings Limited,"Corner Brook, NL A2H 4C5",65310-Light duty cleaners,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage,Capitol hair studio inc,"St. John's, NL A1A 0L2",63210-Hairstylists and barbers,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage,ECW Holdings Ltd,"St. John's, NL A1B 5C8","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Newfoundland and Labrador                                                  ,Low Wage,Fogo Island Co-operative Society Limited,"Seldom, Fogo Isalnd, NL A0G 3Z0",94142-Fish and seafood plant workers,Unknown,2,40
Newfoundland and Labrador                                                  ,Low Wage,Gary's Convenience Limited,"Glovertown, NL A0G 2L0",65100-Cashiers,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage,Gary's Convenience Limited,"Glovertown, NL A0G 2L0","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage,Golden Shell Fisheries (2014) Limited,"Hickman's Harbour, NL A0C 1P0",94142-Fish and seafood plant workers,Unknown,2,52
Newfoundland and Labrador                                                  ,Low Wage,Hermitage Processing Inc.,"Hermitage, NL A0H 1S0",94142-Fish and seafood plant workers,Unknown,1,5
Newfoundland and Labrador                                                  ,Low Wage,I.C. Pizza House Inc.,"PARADISE, NL A1L 1S6",62020-Food service supervisors,Unknown,1,2
Newfoundland and Labrador                                                  ,Low Wage,Indian Express LTD,"St.John's, NL A1A 5Z8",62020-Food service supervisors,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage,KER Holdings Limited,"Clarenville, NL A5A 1Y2",63200-Cooks,Unknown,2,4
Newfoundland and Labrador                                                  ,Low Wage,KER Holdings Limited,"Clarenville, NL A5A 1Y2",63202-Bakers,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage,LWD Holding,"Lethbridge, NL A0C 1V0",65100-Cashiers,Unknown,1,2
Newfoundland and Labrador                                                  ,Low Wage,Mahakal Foods Ltd,"Corner Brook, NL A2H 0J6",62020-Food service supervisors,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage,Meggscakes and Events Inc,"St. John's, NL A1E 0B9",63202-Bakers,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage,Megha Holdings Limited,"Corner Brook, NL A2H 6B9","44101-Home support workers, caregivers and related occupations",Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage,Memorial Cafe Inc,"St. John's, NL A1C 1G3","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Newfoundland and Labrador                                                  ,Low Wage,Ocean Choice International,"St. John's, NL A1B 3N4",94142-Fish and seafood plant workers,Unknown,1,35
Newfoundland and Labrador                                                  ,Low Wage,People's Food Inc.,"ST.JOHN'S, NL A1B 0A2",62020-Food service supervisors,Unknown,2,3
Newfoundland and Labrador                                                  ,Low Wage,Quinlan Brothers Ltd.,"Bay de Verde, NL A0A 1E0",94142-Fish and seafood plant workers,Unknown,1,195
Newfoundland and Labrador                                                  ,Low Wage,Quin-Sea Fisheries,"St. John's, NL A1C 1K4",94142-Fish and seafood plant workers,Unknown,3,32
Newfoundland and Labrador                                                  ,Low Wage,Quin-Sea Fisheries,"St. John's, NL A1C 1K4",95107-Labourers in fish and seafood processing,Unknown,5,189
Newfoundland and Labrador                                                  ,Low Wage,Royal Cleaning Services Inc.,"Mount Pearl, NL A1N 3G7",65310-Light duty cleaners,Unknown,1,3
Newfoundland and Labrador                                                  ,Low Wage,Sunnyslope Foods Inc,"Torbay, NL A1K 1G3",65200-Food and beverage servers,Unknown,1,1
Newfoundland and Labrador                                                  ,Primary Agriculture,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7",85100-Livestock labourers,Unknown,1,5
Newfoundland and Labrador                                                  ,Primary Agriculture,Munn Poultry Farm Limited,"CONCEPTION BAY SOUTH, NL A1X 5C7",82030-Agricultural service contractors and farm supervisors,Unknown,1,1
Newfoundland and Labrador                                                  ,Primary Agriculture,Munn Poultry Farm Limited,"CONCEPTION BAY SOUTH, NL A1X 5C7",85100-Livestock labourers,Unknown,1,1
Newfoundland and Labrador                                                  ,Primary Agriculture,Ocean View Farm,"Bay Bulls, NL A0A 1C0",82030-Agricultural service contractors and farm supervisors,Unknown,1,2
Prince Edward Island                                                       ,High Wage,Bulk Carriers (P.E.I.) Limited,"Clyde River, PE C0A 1H3",73300-Transport truck drivers,Unknown,2,20
Prince Edward Island                                                       ,High Wage,Garderie Educative Cornwall Child Education Centre,"Cornwall, PE C0A 1H0","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1
Prince Edward Island                                                       ,High Wage,Health PEI,"Charlottetown, PE C1A 7N8",31100-Specialists in clinical and laboratory medicine,Unknown,6,8
Prince Edward Island                                                       ,High Wage,J & C Ventures Inc,"CHARLOTTETOWN, PE C1C 0E5",72401-Heavy-duty equipment mechanics,Unknown,1,1
